zip,city,state,county,payout
02351,Abington,MA,Plymouth County,189.5
02018,Accord,MA,Plymouth County,189.5
01718,Acton,MA,Middlesex County,244.0
01720,Acton,MA,Middlesex County,244.0
02743,Acushnet,MA,Bristol County,193.0
01220,Adams,MA,Berkshire County,189.5
01001,Agawam,MA,Hampden County,193.0
02134,Allston,MA,Suffolk County,213.5
01913,Amesbury,MA,Essex County,217.5
01002,Amherst,MA,Hampshire County,189.5
01003,Amherst,MA,Hampshire County,189.5
01004,Amherst,MA,Hampshire County,189.5
01810,Andover,MA,Essex County,217.5
01812,Andover,MA,Essex County,217.5
01899,Andover,MA,Essex County,217.5
05501,Andover,MA,Essex County,217.5
05544,Andover,MA,Essex County,217.5
02474,Arlington,MA,Middlesex County,244.0
02476,Arlington,MA,Middlesex County,244.0
02475,Arlington Heights,MA,Middlesex County,244.0
01430,Ashburnham,MA,Worcester County,193.0
01431,Ashby,MA,Middlesex County,244.0
01330,Ashfield,MA,Franklin County,189.5
01721,Ashland,MA,Middlesex County,244.0
01222,Ashley Falls,MA,Berkshire County,189.5
02702,Assonet,MA,Bristol County,193.0
01331,Athol,MA,Worcester County,193.0
02703,Attleboro,MA,Bristol County,193.0
02763,Attleboro Falls,MA,Bristol County,193.0
01501,Auburn,MA,Worcester County,193.0
02466,Auburndale,MA,Middlesex County,244.0
02322,Avon,MA,Norfolk County,217.5
01432,Ayer,MA,Middlesex County,244.0
02457,Babson Park,MA,Norfolk County,217.5
01436,Baldwinville,MA,Worcester County,193.0
02630,Barnstable,MA,Barnstable County,193.0
01005,Barre,MA,Worcester County,193.0
01223,Becket,MA,Berkshire County,189.5
01730,Bedford,MA,Middlesex County,244.0
01007,Belchertown,MA,Hampshire County,189.5
02019,Bellingham,MA,Norfolk County,217.5
02478,Belmont,MA,Middlesex County,244.0
02779,Berkley,MA,Bristol County,193.0
01224,Berkshire,MA,Berkshire County,189.5
01503,Berlin,MA,Worcester County,193.0
01337,Bernardston,MA,Franklin County,189.5
01915,Beverly,MA,Essex County,217.5
01821,Billerica,MA,Middlesex County,244.0
01822,Billerica,MA,Middlesex County,244.0
01504,Blackstone,MA,Worcester County,193.0
01008,Blandford,MA,Hampden County,193.0
01740,Bolton,MA,Worcester County,193.0
01009,Bondsville,MA,Hampden County,193.0
02108,Boston,MA,Suffolk County,213.5
02109,Boston,MA,Suffolk County,213.5
02110,Boston,MA,Suffolk County,213.5
02111,Boston,MA,Suffolk County,213.5
02112,Boston,MA,Suffolk County,213.5
02113,Boston,MA,Suffolk County,213.5
02114,Boston,MA,Suffolk County,213.5
02115,Boston,MA,Suffolk County,213.5
02116,Boston,MA,Suffolk County,213.5
02117,Boston,MA,Suffolk County,213.5
02118,Boston,MA,Suffolk County,213.5
02123,Boston,MA,Suffolk County,213.5
02133,Boston,MA,Suffolk County,213.5
02163,Boston,MA,Suffolk County,213.5
02196,Boston,MA,Suffolk County,213.5
02199,Boston,MA,Suffolk County,213.5
02201,Boston,MA,Suffolk County,213.5
02203,Boston,MA,Suffolk County,213.5
02204,Boston,MA,Suffolk County,213.5
02205,Boston,MA,Suffolk County,213.5
02206,Boston,MA,Suffolk County,213.5
02210,Boston,MA,Suffolk County,213.5
02211,Boston,MA,Suffolk County,213.5
02212,Boston,MA,Suffolk County,213.5
02215,Boston,MA,Suffolk County,213.5
02217,Boston,MA,Suffolk County,213.5
02222,Boston,MA,Suffolk County,213.5
02241,Boston,MA,Suffolk County,213.5
02266,Boston,MA,Suffolk County,213.5
02283,Boston,MA,Suffolk County,213.5
02284,Boston,MA,Suffolk County,213.5
02293,Boston,MA,Suffolk County,213.5
02297,Boston,MA,Suffolk County,213.5
02298,Boston,MA,Suffolk County,213.5
01719,Boxborough,MA,Middlesex County,244.0
01921,Boxford,MA,Essex County,217.5
01505,Boylston,MA,Worcester County,193.0
02184,Braintree,MA,Norfolk County,217.5
02185,Braintree,MA,Norfolk County,217.5
02020,Brant Rock,MA,Plymouth County,189.5
02631,Brewster,MA,Barnstable County,193.0
02324,Bridgewater,MA,Plymouth County,189.5
02325,Bridgewater,MA,Plymouth County,189.5
02135,Brighton,MA,Suffolk County,213.5
01010,Brimfield,MA,Hampden County,193.0
02301,Brockton,MA,Plymouth County,189.5
02302,Brockton,MA,Plymouth County,189.5
02303,Brockton,MA,Plymouth County,189.5
02304,Brockton,MA,Plymouth County,189.5
02305,Brockton,MA,Plymouth County,189.5
01506,Brookfield,MA,Worcester County,193.0
02445,Brookline,MA,Norfolk County,217.5
02446,Brookline,MA,Norfolk County,217.5
02447,Brookline Village,MA,Norfolk County,217.5
02327,Bryantville,MA,Plymouth County,189.5
01338,Buckland,MA,Franklin County,189.5
01803,Burlington,MA,Middlesex County,244.0
01805,Burlington,MA,Middlesex County,244.0
02532,Buzzards Bay,MA,Barnstable County,193.0
02542,Buzzards Bay,MA,Barnstable County,193.0
01922,Byfield,MA,Essex County,217.5
02138,Cambridge,MA,Middlesex County,244.0
02139,Cambridge,MA,Middlesex County,244.0
02140,Cambridge,MA,Middlesex County,244.0
02141,Cambridge,MA,Middlesex County,244.0
02142,Cambridge,MA,Middlesex County,244.0
02238,Cambridge,MA,Middlesex County,244.0
02021,Canton,MA,Norfolk County,217.5
01741,Carlisle,MA,Middlesex County,244.0
02330,Carver,MA,Plymouth County,189.5
02534,Cataumet,MA,Barnstable County,193.0
02632,Centerville,MA,Barnstable County,193.0
02634,Centerville,MA,Barnstable County,193.0
01339,Charlemont,MA,Franklin County,189.5
02129,Charlestown,MA,Suffolk County,213.5
01507,Charlton,MA,Worcester County,193.0
01508,Charlton City,MA,Worcester County,193.0
01509,Charlton Depot,MA,Worcester County,193.0
02712,Chartley,MA,Bristol County,193.0
02633,Chatham,MA,Barnstable County,193.0
01824,Chelmsford,MA,Middlesex County,244.0
02150,Chelsea,MA,Suffolk County,213.5
01611,Cherry Valley,MA,Worcester County,193.0
01225,Cheshire,MA,Berkshire County,189.5
01011,Chester,MA,Hampden County,193.0
01012,Chesterfield,MA,Hampshire County,189.5
02467,Chestnut Hill,MA,Middlesex County,244.0
01013,Chicopee,MA,Hampden County,193.0
01014,Chicopee,MA,Hampden County,193.0
01020,Chicopee,MA,Hampden County,193.0
01021,Chicopee,MA,Hampden County,193.0
01022,Chicopee,MA,Hampden County,193.0
01510,Clinton,MA,Worcester County,193.0
02025,Cohasset,MA,Norfolk County,217.5
01340,Colrain,MA,Franklin County,189.5
01742,Concord,MA,Middlesex County,244.0
01341,Conway,MA,Franklin County,189.5
02635,Cotuit,MA,Barnstable County,193.0
02637,Cummaquid,MA,Barnstable County,193.0
01026,Cummington,MA,Hampshire County,189.5
01226,Dalton,MA,Berkshire County,189.5
01227,Dalton,MA,Berkshire County,189.5
01923,Danvers,MA,Essex County,217.5
02714,Dartmouth,MA,Bristol County,193.0
02026,Dedham,MA,Norfolk County,217.5
02027,Dedham,MA,Norfolk County,217.5
01342,Deerfield,MA,Franklin County,189.5
02638,Dennis,MA,Barnstable County,193.0
02639,Dennis Port,MA,Barnstable County,193.0
01434,Devens,MA,Worcester County,244.0
02715,Dighton,MA,Bristol County,193.0
02121,Dorchester,MA,Suffolk County,213.5
02122,Dorchester,MA,Suffolk County,213.5
02125,Dorchester,MA,Suffolk County,213.5
02124,Dorchester Center,MA,Suffolk County,213.5
01516,Douglas,MA,Worcester County,193.0
02030,Dover,MA,Norfolk County,217.5
01826,Dracut,MA,Middlesex County,244.0
01343,Drury,MA,Berkshire County,189.5
01571,Dudley,MA,Worcester County,193.0
01827,Dunstable,MA,Middlesex County,244.0
02331,Duxbury,MA,Plymouth County,189.5
02332,Duxbury,MA,Plymouth County,189.5
02128,East Boston,MA,Suffolk County,213.5
02228,East Boston,MA,Suffolk County,213.5
02333,East Bridgewater,MA,Plymouth County,189.5
01515,East Brookfield,MA,Worcester County,193.0
02641,East Dennis,MA,Barnstable County,193.0
02536,East Falmouth,MA,Barnstable County,193.0
02717,East Freetown,MA,Bristol County,193.0
01028,East Longmeadow,MA,Hampden County,193.0
02643,East Orleans,MA,Barnstable County,193.0
01029,East Otis,MA,Berkshire County,189.5
02537,East Sandwich,MA,Barnstable County,193.0
02718,East Taunton,MA,Bristol County,193.0
01438,East Templeton,MA,Worcester County,193.0
02032,East Walpole,MA,Norfolk County,217.5
02538,East Wareham,MA,Plymouth County,189.5
02189,East Weymouth,MA,Norfolk County,217.5
02642,Eastham,MA,Barnstable County,193.0
01027,Easthampton,MA,Hampshire County,189.5
02334,Easton,MA,Bristol County,193.0
02337,Elmwood,MA,Plymouth County,189.5
01344,Erving,MA,Franklin County,189.5
01929,Essex,MA,Essex County,217.5
02149,Everett,MA,Middlesex County,244.0
02719,Fairhaven,MA,Bristol County,193.0
02720,Fall River,MA,Bristol County,193.0
02721,Fall River,MA,Bristol County,193.0
02722,Fall River,MA,Bristol County,193.0
02723,Fall River,MA,Bristol County,193.0
02724,Fall River,MA,Bristol County,193.0
