zip,city,state,county,payout
55909,Adams,MN,Mower County,189.5
56110,Adrian,MN,Nobles County,189.5
55001,Afton,MN,Washington County,236.5
56307,Albany,MN,Stearns County,189.5
56007,Albert Lea,MN,Freeborn County,189.5
55301,Albertville,MN,Wright County,189.5
56009,Alden,MN,Freeborn County,189.5
55002,Almelund,MN,Chisago County,213.5
55910,Altura,MN,Winona County,189.5
56010,Amboy,MN,Blue Earth County,189.5
55304,Andover,MN,Anoka County,241.0
55302,Annandale,MN,Wright County,189.5
55303,Anoka,MN,Anoka County,241.0
55307,Arlington,MN,Sibley County,189.5
55912,Austin,MN,Mower County,189.5
56310,Avon,MN,Stearns County,189.5
56115,Balaton,MN,Lyon County,189.5
55003,Bayport,MN,Washington County,236.5
56116,Beaver Creek,MN,Rock County,189.5
55308,Becker,MN,Sherburne County,189.5
56312,Belgrade,MN,Stearns County,189.5
56011,Belle Plaine,MN,Scott County,236.5
55005,Bethel,MN,Anoka County,241.0
55309,Big Lake,MN,Sherburne County,189.5
56117,Bigelow,MN,Nobles County,189.5
55917,Blooming Prairie,MN,Steele County,189.5
56013,Blue Earth,MN,Faribault County,189.5
56313,Bock,MN,Mille Lacs County,189.5
55006,Braham,MN,Isanti County,213.5
56119,Brewster,MN,Nobles County,189.5
56014,Bricelyn,MN,Faribault County,189.5
55007,Brook Park,MN,Kanabec County,189.5
56316,Brooten,MN,Stearns County,189.5
55918,Brownsdale,MN,Mower County,189.5
55919,Brownsville,MN,Houston County,193.0
55312,Brownton,MN,Mcleod County,189.5
55313,Buffalo,MN,Wright County,189.5
55306,Burnsville,MN,Dakota County,241.0
55337,Burnsville,MN,Dakota County,241.0
56120,Butterfield,MN,Watonwan County,189.5
55920,Byron,MN,Olmsted County,189.5
55921,Caledonia,MN,Houston County,193.0
55008,Cambridge,MN,Isanti County,213.5
55009,Cannon Falls,MN,Goodhue County,213.5
55922,Canton,MN,Fillmore County,189.5
55315,Carver,MN,Carver County,189.5
55010,Castle Rock,MN,Dakota County,241.0
55011,Cedar,MN,Anoka County,241.0
55012,Center City,MN,Chisago County,213.5
55316,Champlin,MN,Hennepin County,236.5
56122,Chandler,MN,Murray County,189.5
55317,Chanhassen,MN,Carver County,189.5
55318,Chaska,MN,Carver County,189.5
55923,Chatfield,MN,Fillmore County,189.5
55013,Chisago City,MN,Chisago County,213.5
55014,Circle Pines,MN,Anoka County,241.0
55924,Claremont,MN,Dodge County,189.5
56016,Clarks Grove,MN,Freeborn County,189.5
55319,Clear Lake,MN,Sherburne County,189.5
55320,Clearwater,MN,Wright County,189.5
56017,Cleveland,MN,Le Sueur County,189.5
55321,Cokato,MN,Wright County,189.5
56320,Cold Spring,MN,Stearns County,189.5
56321,Collegeville,MN,Stearns County,189.5
55322,Cologne,MN,Carver County,189.5
56020,Conger,MN,Freeborn County,189.5
56228,Cosmos,MN,Meeker County,189.5
55016,Cottage Grove,MN,Washington County,236.5
56021,Courtland,MN,Nicollet County,189.5
55323,Crystal Bay,MN,Hennepin County,236.5
55925,Dakota,MN,Winona County,189.5
55017,Dalbo,MN,Isanti County,213.5
56022,Darfur,MN,Watonwan County,189.5
55324,Darwin,MN,Meeker County,189.5
55325,Dassel,MN,Meeker County,189.5
55327,Dayton,MN,Hennepin County,236.5
55328,Delano,MN,Wright County,189.5
56023,Delavan,MN,Faribault County,189.5
55018,Dennison,MN,Goodhue County,213.5
55926,Dexter,MN,Mower County,189.5
55927,Dodge Center,MN,Dodge County,189.5
55929,Dover,MN,Olmsted County,189.5
55019,Dundas,MN,Rice County,236.5
56024,Eagle Lake,MN,Blue Earth County,189.5
56025,Easton,MN,Faribault County,189.5
55344,Eden Prairie,MN,Hennepin County,236.5
55346,Eden Prairie,MN,Hennepin County,236.5
55347,Eden Prairie,MN,Hennepin County,236.5
55329,Eden Valley,MN,Meeker County,189.5
56128,Edgerton,MN,Pipestone County,189.5
55931,Eitzen,MN,Houston County,193.0
55932,Elgin,MN,Wabasha County,189.5
55330,Elk River,MN,Sherburne County,189.5
55020,Elko New Market,MN,Scott County,236.5
55054,Elko New Market,MN,Scott County,236.5
55933,Elkton,MN,Mower County,189.5
56026,Ellendale,MN,Steele County,189.5
56129,Ellsworth,MN,Nobles County,189.5
56027,Elmore,MN,Faribault County,189.5
56325,Elrosa,MN,Stearns County,189.5
56028,Elysian,MN,Le Sueur County,189.5
56029,Emmons,MN,Freeborn County,189.5
55331,Excelsior,MN,Hennepin County,236.5
55934,Eyota,MN,Olmsted County,189.5
55021,Faribault,MN,Rice County,236.5
55024,Farmington,MN,Dakota County,241.0
56329,Foley,MN,Benton County,189.5
55025,Forest Lake,MN,Washington County,236.5
56330,Foreston,MN,Mille Lacs County,189.5
55935,Fountain,MN,Fillmore County,189.5
56032,Freeborn,MN,Freeborn County,189.5
56331,Freeport,MN,Stearns County,189.5
55026,Frontenac,MN,Goodhue County,213.5
56033,Frost,MN,Faribault County,189.5
56131,Fulda,MN,Murray County,189.5
56034,Garden City,MN,Blue Earth County,189.5
55334,Gaylord,MN,Sibley County,189.5
56035,Geneva,MN,Freeborn County,189.5
55335,Gibbon,MN,Sibley County,189.5
56333,Gilman,MN,Benton County,189.5
55336,Glencoe,MN,Mcleod County,189.5
56036,Glenville,MN,Freeborn County,189.5
56037,Good Thunder,MN,Blue Earth County,189.5
55027,Goodhue,MN,Goodhue County,213.5
55936,Grand Meadow,MN,Mower County,189.5
55029,Grandy,MN,Isanti County,213.5
55338,Green Isle,MN,Sibley County,189.5
56335,Greenwald,MN,Stearns County,189.5
56243,Grove City,MN,Meeker County,189.5
55339,Hamburg,MN,Carver County,189.5
55340,Hamel,MN,Hennepin County,236.5
55031,Hampton,MN,Dakota County,241.0
55341,Hanover,MN,Wright County,189.5
56134,Hardwick,MN,Rock County,189.5
55939,Harmony,MN,Fillmore County,189.5
55032,Harris,MN,Chisago County,213.5
56042,Hartland,MN,Freeborn County,189.5
55033,Hastings,MN,Dakota County,241.0
55940,Hayfield,MN,Dodge County,189.5
56043,Hayward,MN,Freeborn County,189.5
56044,Henderson,MN,Sibley County,189.5
56138,Hills,MN,Rock County,189.5
55941,Hokah,MN,Houston County,193.0
56340,Holdingford,MN,Stearns County,189.5
56139,Holland,MN,Pipestone County,189.5
56045,Hollandale,MN,Freeborn County,189.5
55942,Homer,MN,Winona County,189.5
56046,Hope,MN,Steele County,189.5
55305,Hopkins,MN,Hennepin County,236.5
55343,Hopkins,MN,Hennepin County,236.5
55943,Houston,MN,Houston County,193.0
55349,Howard Lake,MN,Wright County,189.5
55575,Howard Lake,MN,Wright County,236.5
55038,Hugo,MN,Washington County,236.5
56047,Huntley,MN,Faribault County,189.5
55350,Hutchinson,MN,Mcleod County,189.5
56140,Ihlen,MN,Pipestone County,189.5
55076,Inver Grove Heights,MN,Dakota County,241.0
55077,Inver Grove Heights,MN,Dakota County,241.0
56141,Iona,MN,Murray County,189.5
55040,Isanti,MN,Isanti County,213.5
56342,Isle,MN,Mille Lacs County,189.5
56048,Janesville,MN,Waseca County,189.5
56144,Jasper,MN,Pipestone County,189.5
55352,Jordan,MN,Scott County,236.5
56146,Kanaranzi,MN,Rock County,189.5
56050,Kasota,MN,Le Sueur County,189.5
55944,Kasson,MN,Dodge County,189.5
55945,Kellogg,MN,Wabasha County,189.5
56147,Kenneth,MN,Rock County,189.5
55946,Kenyon,MN,Goodhue County,213.5
56051,Kiester,MN,Faribault County,189.5
56052,Kilkenny,MN,Le Sueur County,236.5
55353,Kimball,MN,Stearns County,189.5
55947,La Crescent,MN,Houston County,193.0
56056,La Salle,MN,Watonwan County,189.5
56054,Lafayette,MN,Nicollet County,189.5
56149,Lake Benton,MN,Lincoln County,189.5
55041,Lake City,MN,Wabasha County,189.5
56055,Lake Crystal,MN,Blue Earth County,189.5
55042,Lake Elmo,MN,Washington County,236.5
56151,Lake Wilson,MN,Murray County,189.5
55043,Lakeland,MN,Washington County,236.5
55044,Lakeville,MN,Dakota County,241.0
55949,Lanesboro,MN,Fillmore County,189.5
55950,Lansing,MN,Mower County,189.5
56057,Le Center,MN,Le Sueur County,189.5
55951,Le Roy,MN,Mower County,189.5
56058,Le Sueur,MN,Le Sueur County,189.5
56153,Leota,MN,Nobles County,189.5
55354,Lester Prairie,MN,Mcleod County,189.5
55952,Lewiston,MN,Winona County,189.5
56060,Lewisville,MN,Watonwan County,189.5
55045,Lindstrom,MN,Chisago County,213.5
56155,Lismore,MN,Nobles County,189.5
55355,Litchfield,MN,Meeker County,189.5
55356,Long Lake,MN,Hennepin County,236.5
55046,Lonsdale,MN,Rice County,236.5
55357,Loretto,MN,Hennepin County,236.5
55595,Loretto,MN,Hennepin County,236.5
55596,Loretto,MN,Hennepin County,236.5
55597,Loretto,MN,Hennepin County,236.5
55598,Loretto,MN,Hennepin County,236.5
55599,Loretto,MN,Hennepin County,236.5
56156,Luverne,MN,Rock County,189.5
55953,Lyle,MN,Mower County,189.5
55954,Mabel,MN,Fillmore County,189.5
56062,Madelia,MN,Watonwan County,189.5
56063,Madison Lake,MN,Blue Earth County,189.5
56158,Magnolia,MN,Rock County,189.5
56001,Mankato,MN,Blue Earth County,189.5
56002,Mankato,MN,Blue Earth County,189.5
56003,Mankato,MN,Nicollet County,189.5
55955,Mantorville,MN,Dodge County,189.5
55311,Maple Grove,MN,Hennepin County,236.5
55358,Maple Lake,MN,Wright County,189.5
55348,Maple Plain,MN,Hennepin County,236.5
55359,Maple Plain,MN,Hennepin County,236.5
55570,Maple Plain,MN,Hennepin County,236.5
55571,Maple Plain,MN,Hennepin County,236.5
55574,Maple Plain,MN,Hennepin County,236.5
55576,Maple Plain,MN,Hennepin County,236.5
55578,Maple Plain,MN,Hennepin County,236.5
55579,Maple Plain,MN,Hennepin County,236.5
55592,Maple Plain,MN,Hennepin County,189.5
55593,Maple Plain,MN,Hennepin County,236.5
56065,Mapleton,MN,Blue Earth County,189.5
55047,Marine On Saint Croix,MN,Washington County,236.5
55360,Mayer,MN,Carver County,189.5
55956,Mazeppa,MN,Wabasha County,189.5
55049,Medford,MN,Steele County,189.5
56352,Melrose,MN,Stearns County,189.5
55150,Mendota,MN,Dakota County,241.0
56353,Milaca,MN,Mille Lacs County,189.5
55957,Millville,MN,Wabasha County,189.5
55401,Minneapolis,MN,Hennepin County,236.5
55402,Minneapolis,MN,Hennepin County,236.5
55403,Minneapolis,MN,Hennepin County,236.5
55404,Minneapolis,MN,Hennepin County,236.5
55405,Minneapolis,MN,Hennepin County,236.5
55406,Minneapolis,MN,Hennepin County,236.5
