zip,city,state,county,payout
64401,Agency,MO,Buchanan County,189.5
65230,Armstrong,MO,Howard County,182.0
63010,Arnold,MO,Jefferson County,208.5
65320,Arrow Rock,MO,Saline County,182.0
65010,Ashland,MO,Boone County,182.0
63332,Augusta,MO,St. Charles County,213.0
65231,Auxvasse,MO,Callaway County,182.0
63011,Ballwin,MO,St. Louis County,226.0
63021,Ballwin,MO,St. Louis County,226.0
63022,Ballwin,MO,St. Louis County,226.0
63024,Ballwin,MO,St. Louis County,226.0
63012,Barnhart,MO,Jefferson County,208.5
64011,Bates City,MO,Lafayette County,189.5
63013,Beaufort,MO,Franklin County,208.5
63622,Belgrade,MO,Washington County,189.5
63333,Bellflower,MO,Montgomery County,189.5
64012,Belton,MO,Cass County,189.5
65232,Benton City,MO,Audrain County,182.0
63014,Berger,MO,Franklin County,208.5
63624,Bismarck,MO,St. Francois County,189.5
65321,Blackburn,MO,Saline County,182.0
65322,Blackwater,MO,Cooper County,182.0
63626,Blackwell,MO,Washington County,189.5
65014,Bland,MO,Gasconade County,189.5
63627,Bloomsdale,MO,Ste. Genevieve County,189.5
64013,Blue Springs,MO,Jackson County,193.0
64014,Blue Springs,MO,Jackson County,193.0
64015,Blue Springs,MO,Jackson County,193.0
63628,Bonne Terre,MO,St. Francois County,189.5
65233,Boonville,MO,Cooper County,182.0
63044,Bridgeton,MO,St. Louis County,226.0
64016,Buckner,MO,Jackson County,193.0
65237,Bunceton,MO,Cooper County,182.0
63630,Cadet,MO,Washington County,189.5
65239,Cairo,MO,Randolph County,182.0
63631,Caledonia,MO,Washington County,189.5
64017,Camden,MO,Ray County,189.5
64018,Camden Point,MO,Platte County,189.5
63015,Catawissa,MO,Franklin County,208.5
63016,Cedar Hill,MO,Jefferson County,208.5
65023,Centertown,MO,Cole County,182.0
65240,Centralia,MO,Boone County,182.0
63005,Chesterfield,MO,St. Louis County,226.0
63006,Chesterfield,MO,St. Louis County,226.0
63017,Chesterfield,MO,St. Louis County,226.0
65243,Clark,MO,Randolph County,182.0
64734,Cleveland,MO,Cass County,189.5
65244,Clifton Hill,MO,Randolph County,182.0
65201,Columbia,MO,Boone County,182.0
65202,Columbia,MO,Boone County,182.0
65203,Columbia,MO,Boone County,182.0
65205,Columbia,MO,Boone County,182.0
65211,Columbia,MO,Boone County,182.0
65212,Columbia,MO,Boone County,182.0
65215,Columbia,MO,Boone County,182.0
65216,Columbia,MO,Boone County,182.0
65217,Columbia,MO,Boone County,182.0
65218,Columbia,MO,Boone County,182.0
65299,Columbia,MO,Boone County,182.0
63338,Cottleville,MO,St. Charles County,213.0
63019,Crystal City,MO,Jefferson County,208.5
64440,De Kalb,MO,Buchanan County,189.5
63020,De Soto,MO,Jefferson County,208.5
64439,Dearborn,MO,Platte County,189.5
63341,Defiance,MO,St. Charles County,213.0
63023,Dittmer,MO,Jefferson County,208.5
63637,Doe Run,MO,St. Francois County,189.5
63342,Dutzow,MO,Warren County,189.5
63045,Earth City,MO,St. Louis County,226.0
64743,East Lynne,MO,Cass County,189.5
64444,Edgerton,MO,Platte County,189.5
63343,Elsberry,MO,Lincoln County,189.5
65032,Eugene,MO,Miller County,182.0
63025,Eureka,MO,St. Louis County,226.0
64024,Excelsior Springs,MO,Clay County,193.0
63345,Farber,MO,Audrain County,182.0
64028,Farley,MO,Platte County,189.5
63640,Farmington,MO,St. Francois County,189.5
64448,Faucett,MO,Buchanan County,189.5
65248,Fayette,MO,Howard County,182.0
63026,Fenton,MO,St. Louis County,226.0
63099,Fenton,MO,St. Louis County,226.0
63028,Festus,MO,Jefferson County,208.5
63030,Fletcher,MO,Washington County,189.5
63346,Flinthill,MO,St. Charles County,213.0
63031,Florissant,MO,St. Louis County,226.0
63032,Florissant,MO,St. Louis County,226.0
63033,Florissant,MO,St. Louis County,226.0
63034,Florissant,MO,St. Louis County,226.0
63347,Foley,MO,Lincoln County,189.5
63348,Foristell,MO,St. Charles County,213.0
65250,Franklin,MO,Howard County,182.0
64746,Freeman,MO,Cass County,189.5
63036,French Village,MO,St. Francois County,189.5
65251,Fulton,MO,Callaway County,182.0
65036,Gasconade,MO,Gasconade County,189.5
63037,Gerald,MO,Franklin County,208.5
65330,Gilliam,MO,Saline County,182.0
65254,Glasgow,MO,Howard County,182.0
64454,Gower,MO,Clinton County,189.5
64029,Grain Valley,MO,Jackson County,193.0
64030,Grandview,MO,Jackson County,193.0
63039,Gray Summit,MO,Franklin County,208.5
64034,Greenwood,MO,Jackson County,193.0
63041,Grubville,MO,Franklin County,208.5
65255,Hallsville,MO,Boone County,182.0
65256,Harrisburg,MO,Boone County,182.0
64701,Harrisonville,MO,Cass County,189.5
65039,Hartsburg,MO,Boone County,182.0
63349,Hawk Point,MO,Lincoln County,189.5
63042,Hazelwood,MO,St. Louis County,226.0
63047,Hematite,MO,Jefferson County,208.5
65040,Henley,MO,Cole County,182.0
64036,Henrietta,MO,Ray County,189.5
63048,Herculaneum,MO,Jefferson County,208.5
65041,Hermann,MO,Gasconade County,189.5
65257,Higbee,MO,Randolph County,182.0
63350,High Hill,MO,Montgomery County,189.5
63049,High Ridge,MO,Jefferson County,208.5
63050,Hillsboro,MO,Jefferson County,208.5
64040,Holden,MO,Johnson County,189.5
64048,Holt,MO,Clay County,193.0
