zip,city,state,county,payout
38606,Batesville,MS,Panola County,189.5
39520,Bay Saint Louis,MS,Hancock County,189.5
39521,Bay Saint Louis,MS,Hancock County,189.5
39423,Beaumont,MS,Perry County,189.5
39530,Biloxi,MS,Harrison County,208.5
39531,Biloxi,MS,Harrison County,208.5
39532,Biloxi,MS,Harrison County,208.5
39533,Biloxi,MS,Harrison County,208.5
39534,Biloxi,MS,Harrison County,208.5
39535,Biloxi,MS,Harrison County,208.5
39425,Brooklyn,MS,Forrest County,189.5
39426,Carriere,MS,Pearl River County,189.5
39429,Columbia,MS,Marion County,193.0
38619,Como,MS,Panola County,189.5
38620,Courtland,MS,Panola County,189.5
38621,Crenshaw,MS,Panola County,189.5
39525,Diamondhead,MS,Hancock County,189.5
39540,Diberville,MS,Harrison County,208.5
39552,Escatawpa,MS,Jackson County,189.5
39483,Foxworth,MS,Marion County,193.0
39553,Gautier,MS,Jackson County,189.5
39501,Gulfport,MS,Harrison County,208.5
39502,Gulfport,MS,Harrison County,208.5
39503,Gulfport,MS,Harrison County,208.5
39505,Gulfport,MS,Harrison County,208.5
39506,Gulfport,MS,Harrison County,208.5
39507,Gulfport,MS,Harrison County,208.5
39401,Hattiesburg,MS,Forrest County,189.5
39402,Hattiesburg,MS,Lamar County,193.0
39403,Hattiesburg,MS,Forrest County,189.5
39404,Hattiesburg,MS,Forrest County,189.5
39406,Hattiesburg,MS,Forrest County,189.5
39407,Hattiesburg,MS,Forrest County,189.5
38632,Hernando,MS,Desoto County,193.0
38637,Horn Lake,MS,Desoto County,193.0
39555,Hurley,MS,Jackson County,189.5
39556,Kiln,MS,Hancock County,189.5
39643,Kokomo,MS,Marion County,193.0
38641,Lake Cormorant,MS,Desoto County,193.0
39558,Lakeshore,MS,Hancock County,189.5
39451,Leakesville,MS,Greene County,177.5
39560,Long Beach,MS,Harrison County,208.5
39452,Lucedale,MS,George County,189.5
39455,Lumberton,MS,Lamar County,193.0
39457,Mc Neill,MS,Pearl River County,189.5
39561,McHenry,MS,Stone County,189.5
39456,McLain,MS,Greene County,177.5
39562,Moss Point,MS,Jackson County,189.5
39563,Moss Point,MS,Jackson County,189.5
39461,Neely,MS,Greene County,177.5
38651,Nesbit,MS,Desoto County,193.0
39462,New Augusta,MS,Perry County,189.5
39463,Nicholson,MS,Pearl River County,189.5
39564,Ocean Springs,MS,Jackson County,189.5
39566,Ocean Springs,MS,Jackson County,189.5
38654,Olive Branch,MS,Desoto County,193.0
39567,Pascagoula,MS,Jackson County,189.5
39568,Pascagoula,MS,Jackson County,189.5
39569,Pascagoula,MS,Jackson County,189.5
39581,Pascagoula,MS,Jackson County,189.5
39595,Pascagoula,MS,Jackson County,189.5
39571,Pass Christian,MS,Harrison County,208.5
39572,Pearlington,MS,Hancock County,189.5
39573,Perkinston,MS,Stone County,189.5
39465,Petal,MS,Forrest County,189.5
39466,Picayune,MS,Pearl River County,189.5
38658,Pope,MS,Panola County,189.5
39470,Poplarville,MS,Pearl River County,189.5
39475,Purvis,MS,Lamar County,193.0
39476,Richton,MS,Perry County,189.5
39478,Sandy Hook,MS,Marion County,193.0
38666,Sardis,MS,Panola County,189.5
39574,Saucier,MS,Harrison County,208.5
38671,Southaven,MS,Desoto County,193.0
38672,Southaven,MS,Desoto County,193.0
39522,Stennis Space Center,MS,Hancock County,189.5
39529,Stennis Space Center,MS,Hancock County,189.5
39482,Sumrall,MS,Lamar County,193.0
39565,Vancleave,MS,Jackson County,189.5
38680,Walls,MS,Desoto County,193.0
38686,Walls,MS,Desoto County,193.0
39576,Waveland,MS,Hancock County,189.5
39577,Wiggins,MS,Stone County,189.5
