zip,city,state,county,payout
58002,Absaraka,ND,Cass County,189.5
58004,Amenia,ND,Cass County,189.5
58005,Argusville,ND,Cass County,189.5
58006,Arthur,ND,Cass County,189.5
58007,Ayr,ND,Cass County,189.5
58420,Buchanan,ND,Stutsman County,189.5
58011,Buffalo,ND,Cass County,189.5
58012,Casselton,ND,Cass County,189.5
58424,Cleveland,ND,Stutsman County,189.5
58426,Courtenay,ND,Stutsman County,189.5
58021,Davenport,ND,Cass County,189.5
58429,Dazey,ND,Barnes County,189.5
58029,Erie,ND,Cass County,189.5
58102,Fargo,ND,Cass County,189.5
58103,Fargo,ND,Cass County,189.5
58104,Fargo,ND,Cass County,189.5
58105,Fargo,ND,Cass County,189.5
58106,Fargo,ND,Cass County,189.5
58107,Fargo,ND,Cass County,189.5
58108,Fargo,ND,Cass County,189.5
58109,Fargo,ND,Cass County,189.5
58121,Fargo,ND,Cass County,189.5
58122,Fargo,ND,Cass County,189.5
58124,Fargo,ND,Cass County,189.5
58125,Fargo,ND,Cass County,189.5
58126,Fargo,ND,Cass County,189.5
58031,Fingal,ND,Barnes County,189.5
58036,Gardner,ND,Cass County,189.5
58038,Grandin,ND,Cass County,189.5
58042,Harwood,ND,Cass County,189.5
58047,Horace,ND,Cass County,189.5
58048,Hunter,ND,Cass County,189.5
58401,Jamestown,ND,Stutsman County,189.5
58402,Jamestown,ND,Stutsman County,189.5
58405,Jamestown,ND,Stutsman County,189.5
58455,Kensal,ND,Stutsman County,189.5
58051,Kindred,ND,Cass County,189.5
58052,Leonard,ND,Cass County,189.5
58461,Litchville,ND,Barnes County,189.5
58059,Mapleton,ND,Cass County,189.5
58467,Medina,ND,Stutsman County,189.5
58472,Montpelier,ND,Stutsman County,189.5
58062,Nome,ND,Barnes County,189.5
58063,Oriska,ND,Barnes County,189.5
58064,Page,ND,Cass County,189.5
58065,Pillsbury,ND,Barnes County,189.5
58476,Pingree,ND,Stutsman County,189.5
58479,Rogers,ND,Barnes County,189.5
58480,Sanborn,ND,Barnes County,189.5
58481,Spiritwood,ND,Barnes County,189.5
58483,Streeter,ND,Stutsman County,189.5
58071,Tower City,ND,Cass County,189.5
58072,Valley City,ND,Barnes County,189.5
58078,West Fargo,ND,Cass County,189.5
58079,Wheatland,ND,Cass County,189.5
58492,Wimbledon,ND,Barnes County,189.5
58496,Woodworth,ND,Stutsman County,189.5
58497,Ypsilanti,ND,Stutsman County,189.5
