zip,city,state,county,payout
68710,Allen,NE,Dixon County,189.5
68304,Alvo,NE,Cass County,189.5
68621,Ames,NE,Dodge County,189.5
68002,Arlington,NE,Washington County,189.5
68003,Ashland,NE,Saunders County,189.5
68307,Avoca,NE,Cass County,189.5
68715,Battle Creek,NE,Madison County,189.5
68717,Belden,NE,Cedar County,189.5
68005,Bellevue,NE,Sarpy County,189.5
68123,Bellevue,NE,Sarpy County,189.5
68147,Bellevue,NE,Sarpy County,189.5
68317,Bennet,NE,Lancaster County,189.5
68007,Bennington,NE,Douglas County,193.0
68008,Blair,NE,Washington County,189.5
68009,Blair,NE,Washington County,189.5
68718,Bloomfield,NE,Knox County,189.5
68010,Boys Town,NE,Douglas County,193.0
68720,Brunswick,NE,Antelope County,189.5
68723,Carroll,NE,Wayne County,189.5
68015,Cedar Bluffs,NE,Saunders County,189.5
68016,Cedar Creek,NE,Cass County,189.5
68724,Center,NE,Knox County,189.5
68017,Ceresco,NE,Saunders County,189.5
68726,Clearwater,NE,Antelope County,189.5
68727,Coleridge,NE,Cedar County,189.5
68018,Colon,NE,Saunders County,189.5
68728,Concord,NE,Dixon County,189.5
68729,Creighton,NE,Knox County,189.5
68730,Crofton,NE,Knox County,189.5
68336,Davey,NE,Lancaster County,189.5
68339,Denton,NE,Lancaster County,189.5
68732,Dixon,NE,Dixon County,189.5
68347,Eagle,NE,Cass County,189.5
68636,Elgin,NE,Antelope County,189.5
68022,Elkhorn,NE,Douglas County,193.0
68349,Elmwood,NE,Cass County,189.5
68358,Firth,NE,Lancaster County,189.5
68736,Fordyce,NE,Cedar County,189.5
68023,Fort Calhoun,NE,Washington County,189.5
68025,Fremont,NE,Dodge County,189.5
68026,Fremont,NE,Dodge County,189.5
68366,Greenwood,NE,Cass County,189.5
68028,Gretna,NE,Sarpy County,189.5
68738,Hadar,NE,Pierce County,189.5
68368,Hallam,NE,Lancaster County,189.5
68739,Hartington,NE,Cedar County,189.5
68029,Herman,NE,Washington County,189.5
68372,Hickman,NE,Lancaster County,189.5
68740,Hoskins,NE,Wayne County,189.5
68033,Ithaca,NE,Saunders County,189.5
68034,Kennard,NE,Washington County,189.5
68128,La Vista,NE,Sarpy County,189.5
68745,Laurel,NE,Cedar County,189.5
68501,Lincoln,NE,Lancaster County,189.5
68502,Lincoln,NE,Lancaster County,189.5
68503,Lincoln,NE,Lancaster County,189.5
68504,Lincoln,NE,Lancaster County,189.5
68505,Lincoln,NE,Lancaster County,189.5
68506,Lincoln,NE,Lancaster County,189.5
68507,Lincoln,NE,Lancaster County,189.5
68508,Lincoln,NE,Lancaster County,189.5
68509,Lincoln,NE,Lancaster County,189.5
68510,Lincoln,NE,Lancaster County,189.5
68512,Lincoln,NE,Lancaster County,189.5
68514,Lincoln,NE,Lancaster County,189.5
68516,Lincoln,NE,Lancaster County,189.5
68517,Lincoln,NE,Lancaster County,189.5
68520,Lincoln,NE,Lancaster County,189.5
68521,Lincoln,NE,Lancaster County,189.5
68522,Lincoln,NE,Lancaster County,189.5
68523,Lincoln,NE,Lancaster County,189.5
68524,Lincoln,NE,Lancaster County,189.5
68526,Lincoln,NE,Lancaster County,189.5
68527,Lincoln,NE,Lancaster County,189.5
68528,Lincoln,NE,Lancaster County,189.5
68529,Lincoln,NE,Lancaster County,189.5
68531,Lincoln,NE,Lancaster County,189.5
68532,Lincoln,NE,Lancaster County,189.5
68542,Lincoln,NE,Lancaster County,189.5
68544,Lincoln,NE,Nebraska Statewide,189.5
68583,Lincoln,NE,Lancaster County,189.5
68588,Lincoln,NE,Lancaster County,189.5
68037,Louisville,NE,Cass County,189.5
68748,Madison,NE,Madison County,189.5
68749,Magnet,NE,Cedar County,189.5
68402,Malcolm,NE,Lancaster County,189.5
68040,Malmo,NE,Saunders County,189.5
68403,Manley,NE,Cass County,189.5
68404,Martell,NE,Lancaster County,189.5
68751,Maskell,NE,Dixon County,189.5
68747,Mclean,NE,Pierce County,189.5
68041,Mead,NE,Saunders County,189.5
68752,Meadow Grove,NE,Madison County,189.5
68042,Memphis,NE,Saunders County,189.5
68648,Morse Bluff,NE,Saunders County,189.5
68407,Murdock,NE,Cass County,189.5
68409,Murray,NE,Cass County,189.5
68413,Nehawka,NE,Cass County,189.5
68756,Neligh,NE,Antelope County,189.5
68757,Newcastle,NE,Dixon County,189.5
68758,Newman Grove,NE,Madison County,189.5
68044,Nickerson,NE,Dodge County,189.5
68760,Niobrara,NE,Knox County,189.5
68701,Norfolk,NE,Madison County,189.5
68702,Norfolk,NE,Madison County,189.5
68761,Oakdale,NE,Antelope County,189.5
68113,Offutt Afb,NE,Sarpy County,189.5
68101,Omaha,NE,Douglas County,193.0
68102,Omaha,NE,Douglas County,193.0
68103,Omaha,NE,Douglas County,193.0
68104,Omaha,NE,Douglas County,193.0
68105,Omaha,NE,Douglas County,193.0
68106,Omaha,NE,Douglas County,193.0
68107,Omaha,NE,Douglas County,193.0
68108,Omaha,NE,Douglas County,193.0
68109,Omaha,NE,Douglas County,193.0
68110,Omaha,NE,Douglas County,193.0
68111,Omaha,NE,Douglas County,193.0
68112,Omaha,NE,Douglas County,193.0
68114,Omaha,NE,Douglas County,193.0
68116,Omaha,NE,Douglas County,193.0
68117,Omaha,NE,Douglas County,193.0
68118,Omaha,NE,Douglas County,193.0
68119,Omaha,NE,Douglas County,193.0
68120,Omaha,NE,Douglas County,193.0
68122,Omaha,NE,Douglas County,193.0
68124,Omaha,NE,Douglas County,193.0
68127,Omaha,NE,Douglas County,193.0
68130,Omaha,NE,Douglas County,193.0
68131,Omaha,NE,Douglas County,193.0
68132,Omaha,NE,Douglas County,193.0
68134,Omaha,NE,Douglas County,193.0
68135,Omaha,NE,Douglas County,193.0
68136,Omaha,NE,Sarpy County,189.5
68137,Omaha,NE,Douglas County,193.0
68138,Omaha,NE,Sarpy County,189.5
68139,Omaha,NE,Douglas County,193.0
68142,Omaha,NE,Douglas County,193.0
68144,Omaha,NE,Douglas County,193.0
68145,Omaha,NE,Douglas County,193.0
68152,Omaha,NE,Douglas County,193.0
68154,Omaha,NE,Douglas County,193.0
68155,Omaha,NE,Douglas County,193.0
68157,Omaha,NE,Sarpy County,189.5
68164,Omaha,NE,Douglas County,193.0
68172,Omaha,NE,Douglas County,193.0
68175,Omaha,NE,Douglas County,193.0
68176,Omaha,NE,Douglas County,193.0
68178,Omaha,NE,Douglas County,193.0
68179,Omaha,NE,Douglas County,193.0
68180,Omaha,NE,Douglas County,193.0
68182,Omaha,NE,Douglas County,193.0
68183,Omaha,NE,Douglas County,193.0
68197,Omaha,NE,Douglas County,193.0
68198,Omaha,NE,Douglas County,193.0
68764,Orchard,NE,Antelope County,189.5
68765,Osmond,NE,Pierce County,189.5
68417,Otoe,NE,Otoe County,189.5
68419,Panama,NE,Lancaster County,189.5
68046,Papillion,NE,Sarpy County,189.5
68133,Papillion,NE,Sarpy County,189.5
68767,Pierce,NE,Pierce County,189.5
68768,Pilger,NE,Stanton County,189.5
68769,Plainview,NE,Pierce County,189.5
68048,Plattsmouth,NE,Cass County,189.5
68770,Ponca,NE,Dixon County,189.5
68050,Prague,NE,Saunders County,189.5
68771,Randolph,NE,Cedar County,189.5
68428,Raymond,NE,Lancaster County,189.5
68430,Roca,NE,Lancaster County,189.5
68773,Royal,NE,Antelope County,189.5
68774,Saint Helena,NE,Cedar County,189.5
68058,South Bend,NE,Cass County,189.5
68438,Sprague,NE,Lancaster County,189.5
68059,Springfield,NE,Sarpy County,189.5
68056,St Columbans,NE,Sarpy County,189.5
68779,Stanton,NE,Stanton County,189.5
68061,Tekamah,NE,Burt County,189.5
68781,Tilden,NE,Madison County,189.5
68455,Union,NE,Cass County,189.5
68064,Valley,NE,Douglas County,193.0
68065,Valparaiso,NE,Saunders County,189.5
68783,Verdigre,NE,Knox County,189.5
68066,Wahoo,NE,Saunders County,189.5
68784,Wakefield,NE,Dixon County,189.5
68461,Walton,NE,Lancaster County,189.5
68068,Washington,NE,Washington County,189.5
68785,Waterbury,NE,Dixon County,189.5
68069,Waterloo,NE,Douglas County,193.0
68786,Wausa,NE,Knox County,189.5
68462,Waverly,NE,Lancaster County,189.5
