zip,city,state,county,payout
11507,Albertson,NY,Nassau County,239.0
11930,Amagansett,NY,Suffolk County,226.0
10501,Amawalk,NY,Westchester County,193.0
11701,Amityville,NY,Suffolk County,226.0
11931,Aquebogue,NY,Suffolk County,226.0
10502,Ardsley,NY,Westchester County,193.0
10503,Ardsley On Hudson,NY,Westchester County,193.0
10504,Armonk,NY,Westchester County,193.0
11509,Atlantic Beach,NY,Nassau County,239.0
11702,Babylon,NY,Suffolk County,226.0
11510,Baldwin,NY,Nassau County,239.0
10505,Baldwin Place,NY,Westchester County,193.0
11706,Bay Shore,NY,Suffolk County,226.0
11705,Bayport,NY,Suffolk County,226.0
11709,Bayville,NY,Nassau County,239.0
10506,Bedford,NY,Westchester County,193.0
10507,Bedford Hills,NY,Westchester County,193.0
11710,Bellmore,NY,Nassau County,239.0
11713,Bellport,NY,Suffolk County,226.0
11714,Bethpage,NY,Nassau County,239.0
10913,Blauvelt,NY,Rockland County,193.0
11715,Blue Point,NY,Suffolk County,226.0
11716,Bohemia,NY,Suffolk County,226.0
11717,Brentwood,NY,Suffolk County,226.0
10509,Brewster,NY,Putnam County,189.5
10510,Briarcliff Manor,NY,Westchester County,193.0
11932,Bridgehampton,NY,Suffolk County,226.0
11718,Brightwaters,NY,Suffolk County,226.0
10708,Bronxville,NY,Westchester County,193.0
11719,Brookhaven,NY,Suffolk County,226.0
10511,Buchanan,NY,Westchester County,193.0
11933,Calverton,NY,Suffolk County,226.0
11514,Carle Place,NY,Nassau County,239.0
10512,Carmel,NY,Putnam County,189.5
11516,Cedarhurst,NY,Nassau County,239.0
11934,Center Moriches,NY,Suffolk County,226.0
11720,Centereach,NY,Suffolk County,226.0
11721,Centerport,NY,Suffolk County,226.0
11722,Central Islip,NY,Suffolk County,226.0
10514,Chappaqua,NY,Westchester County,193.0
10516,Cold Spring,NY,Putnam County,189.5
11724,Cold Spring Harbor,NY,Suffolk County,226.0
11725,Commack,NY,Suffolk County,226.0
10920,Congers,NY,Rockland County,193.0
11726,Copiague,NY,Suffolk County,226.0
11727,Coram,NY,Suffolk County,226.0
10567,Cortlandt Manor,NY,Westchester County,193.0
10517,Crompond,NY,Westchester County,193.0
10518,Cross River,NY,Westchester County,193.0
10519,Croton Falls,NY,Westchester County,193.0
10520,Croton On Hudson,NY,Westchester County,193.0
10521,Croton On Hudson,NY,Westchester County,193.0
11935,Cutchogue,NY,Suffolk County,226.0
11729,Deer Park,NY,Suffolk County,226.0
10522,Dobbs Ferry,NY,Westchester County,193.0
11937,East Hampton,NY,Suffolk County,226.0
11730,East Islip,NY,Suffolk County,226.0
11939,East Marion,NY,Suffolk County,226.0
11554,East Meadow,NY,Nassau County,239.0
11940,East Moriches,NY,Suffolk County,226.0
11731,East Northport,NY,Suffolk County,226.0
11732,East Norwich,NY,Nassau County,239.0
11942,East Quogue,NY,Suffolk County,226.0
11518,East Rockaway,NY,Nassau County,239.0
11733,East Setauket,NY,Suffolk County,226.0
10709,Eastchester,NY,Westchester County,193.0
11941,Eastport,NY,Suffolk County,226.0
11003,Elmont,NY,Nassau County,239.0
10523,Elmsford,NY,Westchester County,193.0
11735,Farmingdale,NY,Nassau County,239.0
11737,Farmingdale,NY,Nassau County,239.0
11738,Farmingville,NY,Suffolk County,226.0
06390,Fishers Island,NY,Suffolk County,226.0
11001,Floral Park,NY,Nassau County,239.0
11002,Floral Park,NY,Queens County,239.0
11010,Franklin Square,NY,Nassau County,239.0
11520,Freeport,NY,Nassau County,239.0
11530,Garden City,NY,Nassau County,239.0
11531,Garden City,NY,Nassau County,239.0
11599,Garden City,NY,Nassau County,239.0
10923,Garnerville,NY,Rockland County,193.0
10524,Garrison,NY,Putnam County,189.5
11542,Glen Cove,NY,Nassau County,239.0
11545,Glen Head,NY,Nassau County,239.0
11547,Glenwood Landing,NY,Nassau County,239.0
10526,Goldens Bridge,NY,Westchester County,193.0
10527,Granite Springs,NY,Westchester County,193.0
11020,Great Neck,NY,Nassau County,239.0
11021,Great Neck,NY,Nassau County,239.0
11022,Great Neck,NY,Nassau County,239.0
11023,Great Neck,NY,Nassau County,239.0
11024,Great Neck,NY,Nassau County,239.0
11026,Great Neck,NY,Nassau County,239.0
11027,Great Neck,NY,Nassau County,239.0
11739,Great River,NY,Suffolk County,226.0
11740,Greenlawn,NY,Suffolk County,226.0
11944,Greenport,NY,Suffolk County,226.0
11548,Greenvale,NY,Nassau County,239.0
11946,Hampton Bays,NY,Suffolk County,226.0
10528,Harrison,NY,Westchester County,193.0
10530,Hartsdale,NY,Westchester County,193.0
10706,Hastings On Hudson,NY,Westchester County,193.0
11788,Hauppauge,NY,Suffolk County,226.0
10927,Haverstraw,NY,Rockland County,193.0
10532,Hawthorne,NY,Westchester County,193.0
11549,Hempstead,NY,Nassau County,239.0
11550,Hempstead,NY,Nassau County,239.0
11551,Hempstead,NY,Nassau County,239.0
11557,Hewlett,NY,Nassau County,239.0
11801,Hicksville,NY,Nassau County,239.0
11802,Hicksville,NY,Nassau County,239.0
11815,Hicksville,NY,Nassau County,239.0
11819,Hicksville,NY,Nassau County,239.0
