zip,city,state,county,payout
43802,Adamsville,OH,Muskingum County,189.5
43101,Adelphi,OH,Ross County,189.5
44301,Akron,OH,Summit County,205.0
44302,Akron,OH,Summit County,205.0
44303,Akron,OH,Summit County,205.0
44304,Akron,OH,Summit County,205.0
44305,Akron,OH,Summit County,205.0
44306,Akron,OH,Summit County,205.0
44307,Akron,OH,Summit County,205.0
44308,Akron,OH,Summit County,205.0
44309,Akron,OH,Summit County,205.0
44310,Akron,OH,Summit County,205.0
44311,Akron,OH,Summit County,205.0
44312,Akron,OH,Summit County,205.0
44313,Akron,OH,Summit County,205.0
44314,Akron,OH,Summit County,205.0
44315,Akron,OH,Summit County,205.0
44316,Akron,OH,Summit County,205.0
44317,Akron,OH,Summit County,205.0
44319,Akron,OH,Summit County,205.0
44320,Akron,OH,Summit County,205.0
44321,Akron,OH,Summit County,205.0
44325,Akron,OH,Summit County,205.0
44326,Akron,OH,Summit County,205.0
44328,Akron,OH,Summit County,205.0
44333,Akron,OH,Summit County,205.0
44372,Akron,OH,Summit County,205.0
44396,Akron,OH,Summit County,205.0
44398,Akron,OH,Summit County,205.0
43001,Alexandria,OH,Licking County,189.5
44601,Alliance,OH,Stark County,208.5
43102,Amanda,OH,Fairfield County,189.5
43002,Amlin,OH,Franklin County,199.0
44003,Andover,OH,Ashtabula County,193.0
45303,Ansonia,OH,Darke County,193.0
44606,Apple Creek,OH,Wayne County,213.0
45304,Arcanum,OH,Darke County,193.0
44805,Ashland,OH,Ashland County,193.0
43003,Ashley,OH,Delaware County,189.5
44004,Ashtabula,OH,Ashtabula County,193.0
44005,Ashtabula,OH,Ashtabula County,193.0
43103,Ashville,OH,Pickaway County,189.5
44201,Atwater,OH,Portage County,193.0
44607,Augusta,OH,Carroll County,189.5
44202,Aurora,OH,Portage County,193.0
44010,Austinburg,OH,Ashtabula County,193.0
45612,Bainbridge,OH,Ross County,189.5
43105,Baltimore,OH,Fairfield County,189.5
44203,Barberton,OH,Summit County,205.0
44210,Bath,OH,Summit County,205.0
44140,Bay Village,OH,Cuyahoga County,217.5
44608,Beach City,OH,Stark County,208.5
44122,Beachwood,OH,Cuyahoga County,217.5
44146,Bedford,OH,Cuyahoga County,217.5
43310,Belle Center,OH,Logan County,189.5
43311,Bellefontaine,OH,Logan County,189.5
44609,Beloit,OH,Mahoning County,193.0
44017,Berea,OH,Cuyahoga County,217.5
44401,Berlin Center,OH,Mahoning County,193.0
43004,Blacklick,OH,Franklin County,199.0
43005,Bladensburg,OH,Knox County,189.5
43106,Bloomingburg,OH,Fayette County,189.5
43720,Blue Rock,OH,Muskingum County,189.5
44612,Bolivar,OH,Tuscarawas County,189.5
45617,Bourneville,OH,Ross County,189.5
44695,Bowerston,OH,Harrison County,189.5
45308,Bradford,OH,Darke County,193.0
44211,Brady Lake,OH,Portage County,193.0
44141,Brecksville,OH,Cuyahoga County,217.5
43107,Bremen,OH,Fairfield County,189.5
44613,Brewster,OH,Stark County,208.5
43109,Brice,OH,Franklin County,199.0
43006,Brinkhaven,OH,Holmes County,189.5
44402,Bristolville,OH,Trumbull County,193.0
44147,Broadview Heights,OH,Cuyahoga County,217.5
43007,Broadway,OH,Union County,189.5
