zip,city,state,county,payout
02801,Adamsville,RI,Newport County,193.0
02802,Albion,RI,Providence County,193.0
02804,Ashaway,RI,Washington County,189.5
02806,Barrington,RI,Bristol County,189.5
02807,Block Island,RI,Washington County,189.5
02808,Bradford,RI,Washington County,189.5
02809,Bristol,RI,Bristol County,189.5
02812,Carolina,RI,Washington County,189.5
02863,Central Falls,RI,Providence County,193.0
02813,Charlestown,RI,Washington County,189.5
02814,Chepachet,RI,Providence County,193.0
02815,Clayville,RI,Providence County,193.0
02816,Coventry,RI,Kent County,193.0
02910,Cranston,RI,Providence County,193.0
02920,Cranston,RI,Providence County,193.0
02921,Cranston,RI,Providence County,193.0
02864,Cumberland,RI,Providence County,193.0
02818,East Greenwich,RI,Kent County,193.0
02914,East Providence,RI,Providence County,193.0
02822,Exeter,RI,Washington County,189.5
02823,Fiskeville,RI,Providence County,193.0
02824,Forestdale,RI,Providence County,193.0
02825,Foster,RI,Providence County,193.0
02826,Glendale,RI,Providence County,193.0
02827,Greene,RI,Kent County,193.0
02828,Greenville,RI,Providence County,193.0
02829,Harmony,RI,Providence County,193.0
02830,Harrisville,RI,Providence County,193.0
02831,Hope,RI,Providence County,193.0
02832,Hope Valley,RI,Washington County,189.5
02833,Hopkinton,RI,Washington County,189.5
02835,Jamestown,RI,Newport County,193.0
02919,Johnston,RI,Providence County,193.0
02836,Kenyon,RI,Washington County,189.5
02881,Kingston,RI,Washington County,189.5
02865,Lincoln,RI,Providence County,193.0
02837,Little Compton,RI,Newport County,193.0
02838,Manville,RI,Providence County,193.0
02839,Mapleville,RI,Providence County,193.0
02842,Middletown,RI,Newport County,193.0
02882,Narragansett,RI,Washington County,189.5
02840,Newport,RI,Newport County,193.0
02841,Newport,RI,Newport County,193.0
02852,North Kingstown,RI,Washington County,189.5
02911,North Providence,RI,Providence County,193.0
02857,North Scituate,RI,Providence County,193.0
02896,North Smithfield,RI,Providence County,193.0
02858,Oakland,RI,Providence County,193.0
02859,Pascoag,RI,Providence County,193.0
02860,Pawtucket,RI,Providence County,193.0
02861,Pawtucket,RI,Providence County,193.0
02862,Pawtucket,RI,Providence County,193.0
02883,Peace Dale,RI,Washington County,189.5
02871,Portsmouth,RI,Newport County,193.0
02901,Providence,RI,Providence County,193.0
02902,Providence,RI,Providence County,193.0
02903,Providence,RI,Providence County,193.0
02904,Providence,RI,Providence County,193.0
02905,Providence,RI,Providence County,193.0
02906,Providence,RI,Providence County,193.0
02907,Providence,RI,Providence County,193.0
02908,Providence,RI,Providence County,193.0
02909,Providence,RI,Providence County,193.0
02912,Providence,RI,Providence County,193.0
02918,Providence,RI,Providence County,193.0
02940,Providence,RI,Providence County,193.0
02872,Prudence Island,RI,Newport County,193.0
02915,Riverside,RI,Providence County,193.0
02873,Rockville,RI,Washington County,189.5
02916,Rumford,RI,Providence County,193.0
02874,Saunderstown,RI,Washington County,189.5
02875,Shannock,RI,Washington County,189.5
02876,Slatersville,RI,Providence County,193.0
02877,Slocum,RI,Washington County,189.5
02917,Smithfield,RI,Providence County,193.0
02878,Tiverton,RI,Newport County,193.0
02879,Wakefield,RI,Washington County,189.5
02880,Wakefield,RI,Washington County,189.5
02885,Warren,RI,Bristol County,189.5
02886,Warwick,RI,Kent County,193.0
02887,Warwick,RI,Kent County,193.0
02888,Warwick,RI,Kent County,193.0
02889,Warwick,RI,Kent County,193.0
02817,West Greenwich,RI,Kent County,193.0
02892,West Kingston,RI,Washington County,189.5
02893,West Warwick,RI,Kent County,193.0
02891,Westerly,RI,Washington County,189.5
02894,Wood River Junction,RI,Washington County,189.5
02895,Woonsocket,RI,Providence County,193.0
02898,Wyoming,RI,Washington County,189.5
