zip,city,state,county,payout
29426,Adams Run,SC,Charleston County,193.0
29801,Aiken,SC,Aiken County,189.5
29803,Aiken,SC,Aiken County,189.5
29320,Arcadia,SC,Spartanburg County,189.5
29429,Awendaw,SC,Charleston County,193.0
29002,Ballentine,SC,Richland County,213.0
29842,Beech Island,SC,Aiken County,189.5
29009,Bethune,SC,Kershaw County,189.5
29010,Bishopville,SC,Lee County,189.5
29702,Blacksburg,SC,Cherokee County,189.5
29016,Blythewood,SC,Richland County,213.0
29316,Boiling Springs,SC,Spartanburg County,189.5
29431,Bonneau,SC,Berkeley County,193.0
29703,Bowling Green,SC,York County,189.5
29020,Camden,SC,Kershaw County,189.5
29021,Camden,SC,Kershaw County,189.5
29322,Campobello,SC,Spartanburg County,189.5
29433,Canadys,SC,Colleton County,189.5
29032,Cassatt,SC,Kershaw County,189.5
29704,Catawba,SC,York County,189.5
29401,Charleston,SC,Charleston County,193.0
29402,Charleston,SC,Charleston County,193.0
29403,Charleston,SC,Charleston County,193.0
29406,Charleston,SC,Charleston County,193.0
29407,Charleston,SC,Charleston County,193.0
29409,Charleston,SC,Charleston County,193.0
29412,Charleston,SC,Charleston County,193.0
29413,Charleston,SC,Charleston County,193.0
29414,Charleston,SC,Charleston County,193.0
29416,Charleston,SC,Charleston County,193.0
29417,Charleston,SC,Charleston County,193.0
29422,Charleston,SC,Charleston County,193.0
29423,Charleston,SC,Charleston County,193.0
29424,Charleston,SC,Charleston County,193.0
29425,Charleston,SC,Charleston County,193.0
29492,Charleston,SC,Berkeley County,193.0
29404,Charleston Afb,SC,Charleston County,193.0
29323,Chesnee,SC,Spartanburg County,189.5
29324,Clifton,SC,Spartanburg County,189.5
29710,Clover,SC,York County,189.5
29201,Columbia,SC,Richland County,213.0
29202,Columbia,SC,Richland County,213.0
29203,Columbia,SC,Richland County,213.0
29204,Columbia,SC,Richland County,213.0
29205,Columbia,SC,Richland County,213.0
29206,Columbia,SC,Richland County,213.0
29207,Columbia,SC,Richland County,213.0
29208,Columbia,SC,Richland County,213.0
29209,Columbia,SC,Richland County,213.0
29210,Columbia,SC,Richland County,213.0
29211,Columbia,SC,Richland County,213.0
29214,Columbia,SC,Richland County,213.0
29215,Columbia,SC,Richland County,213.0
29216,Columbia,SC,Richland County,213.0
29217,Columbia,SC,Richland County,213.0
29218,Columbia,SC,Richland County,213.0
29219,Columbia,SC,Richland County,213.0
29220,Columbia,SC,Richland County,213.0
29221,Columbia,SC,Richland County,213.0
29222,Columbia,SC,Richland County,213.0
29223,Columbia,SC,Richland County,213.0
29224,Columbia,SC,Richland County,213.0
29225,Columbia,SC,Richland County,213.0
29226,Columbia,SC,Richland County,213.0
29227,Columbia,SC,Richland County,213.0
29229,Columbia,SC,Richland County,213.0
29230,Columbia,SC,Richland County,213.0
29240,Columbia,SC,Richland County,213.0
29250,Columbia,SC,Richland County,213.0
29260,Columbia,SC,Richland County,213.0
29290,Columbia,SC,Richland County,213.0
29292,Columbia,SC,Richland County,213.0
29434,Cordesville,SC,Berkeley County,193.0
29435,Cottageville,SC,Colleton County,189.5
29330,Cowpens,SC,Spartanburg County,189.5
29436,Cross,SC,Berkeley County,193.0
29331,Cross Anchor,SC,Spartanburg County,189.5
29040,Dalzell,SC,Sumter County,213.0
29437,Dorchester,SC,Dorchester County,189.5
29334,Duncan,SC,Spartanburg County,189.5
29044,Eastover,SC,Richland County,213.0
29438,Edisto Island,SC,Charleston County,189.5
29045,Elgin,SC,Kershaw County,189.5
29046,Elliott,SC,Lee County,189.5
29338,Fingerville,SC,Spartanburg County,189.5
29439,Folly Beach,SC,Charleston County,193.0
29708,Fort Mill,SC,York County,189.5
29715,Fort Mill,SC,York County,189.5
