zip,city,state,county,payout
37010,Adams,TN,Montgomery County,189.5
38310,Adamsville,TN,Mcnairy County,189.5
37616,Afton,TN,Greene County,189.5
38001,Alamo,TN,Crockett County,189.5
37701,Alcoa,TN,Blount County,193.0
37012,Alexandria,TN,Dekalb County,189.5
38504,Allardt,TN,Fentress County,189.5
38541,Allons,TN,Overton County,189.5
38542,Allred,TN,Overton County,189.5
38543,Alpine,TN,Overton County,189.5
37301,Altamont,TN,Grundy County,189.5
37705,Andersonville,TN,Anderson County,193.0
37011,Antioch,TN,Davidson County,193.0
37013,Antioch,TN,Davidson County,193.0
37302,Apison,TN,Hamilton County,193.0
38449,Ardmore,TN,Giles County,189.5
38002,Arlington,TN,Shelby County,193.0
37389,Arnold AFB,TN,Coffee County,193.0
37014,Arrington,TN,Williamson County,193.0
37707,Arthur,TN,Claiborne County,189.5
37015,Ashland City,TN,Cheatham County,189.5
37303,Athens,TN,Mcminn County,189.5
37371,Athens,TN,Mcminn County,189.5
38004,Atoka,TN,Tipton County,189.5
38220,Atwood,TN,Carroll County,189.5
37016,Auburntown,TN,Cannon County,189.5
37304,Bakewell,TN,Hamilton County,193.0
38311,Bath Springs,TN,Decatur County,189.5
38544,Baxter,TN,Putnam County,193.0
37708,Bean Station,TN,Grainger County,189.5
38313,Beech Bluff,TN,Madison County,193.0
37018,Beechgrove,TN,Coffee County,193.0
37305,Beersheba Springs,TN,Grundy County,189.5
37020,Bell Buckle,TN,Bedford County,189.5
38006,Bells,TN,Crockett County,189.5
37306,Belvidere,TN,Franklin County,189.5
37307,Benton,TN,Polk County,193.0
38315,Bethel Springs,TN,Mcnairy County,189.5
37022,Bethpage,TN,Sumner County,189.5
38221,Big Sandy,TN,Benton County,189.5
37308,Birchwood,TN,Hamilton County,193.0
37709,Blaine,TN,Grainger County,189.5
37617,Blountville,TN,Sullivan County,193.0
37618,Bluff City,TN,Sullivan County,193.0
38007,Bogota,TN,Dyer County,189.5
38008,Bolivar,TN,Hardeman County,189.5
38010,Braden,TN,Fayette County,189.5
38316,Bradford,TN,Gibson County,193.0
37026,Bradyville,TN,Cannon County,189.5
37024,Brentwood,TN,Williamson County,193.0
37027,Brentwood,TN,Williamson County,193.0
37710,Briceville,TN,Anderson County,193.0
38011,Brighton,TN,Tipton County,189.5
37620,Bristol,TN,Sullivan County,193.0
37621,Bristol,TN,Sullivan County,193.0
37625,Bristol,TN,Sullivan County,193.0
38012,Brownsville,TN,Haywood County,189.5
38317,Bruceton,TN,Carroll County,189.5
38014,Brunswick,TN,Shelby County,193.0
38222,Buchanan,TN,Henry County,189.5
38318,Buena Vista,TN,Carroll County,189.5
38548,Buffalo Valley,TN,Putnam County,193.0
37711,Bulls Gap,TN,Hawkins County,189.5
38015,Burlison,TN,Tipton County,189.5
37029,Burns,TN,Dickson County,189.5
37640,Butler,TN,Johnson County,189.5
37713,Bybee,TN,Cocke County,189.5
38549,Byrdstown,TN,Pickett County,189.5
37309,Calhoun,TN,Mcminn County,189.5
38320,Camden,TN,Benton County,189.5
38550,Campaign,TN,Warren County,189.5
37714,Caryville,TN,Campbell County,189.5
37031,Castalian Springs,TN,Sumner County,189.5
38321,Cedar Grove,TN,Carroll County,189.5
37032,Cedar Hill,TN,Robertson County,189.5
37035,Chapmansboro,TN,Cheatham County,189.5
37310,Charleston,TN,Bradley County,189.5
37036,Charlotte,TN,Dickson County,189.5
37401,Chattanooga,TN,Hamilton County,193.0
37402,Chattanooga,TN,Hamilton County,193.0
37403,Chattanooga,TN,Hamilton County,193.0
37404,Chattanooga,TN,Hamilton County,193.0
37405,Chattanooga,TN,Hamilton County,193.0
37406,Chattanooga,TN,Hamilton County,193.0
37407,Chattanooga,TN,Hamilton County,193.0
37408,Chattanooga,TN,Hamilton County,193.0
37409,Chattanooga,TN,Hamilton County,193.0
37410,Chattanooga,TN,Hamilton County,193.0
37411,Chattanooga,TN,Hamilton County,193.0
37412,Chattanooga,TN,Hamilton County,193.0
37414,Chattanooga,TN,Hamilton County,193.0
37415,Chattanooga,TN,Hamilton County,193.0
37416,Chattanooga,TN,Hamilton County,193.0
37419,Chattanooga,TN,Hamilton County,193.0
37421,Chattanooga,TN,Hamilton County,193.0
37422,Chattanooga,TN,Hamilton County,193.0
37424,Chattanooga,TN,Hamilton County,193.0
37450,Chattanooga,TN,Hamilton County,193.0
38393,Chewalla,TN,Mcnairy County,189.5
37037,Christiana,TN,Rutherford County,193.0
