zip,city,state,county,payout
75001,Addison,TX,Dallas County,279.0
78101,Adkins,TX,Wilson County,227.0
78330,Agua Dulce,TX,Nueces County,166.0
75410,Alba,TX,Wood County,166.0
77411,Alief,TX,Harris County,253.5
75002,Allen,TX,Collin County,274.0
75013,Allen,TX,Collin County,274.0
75925,Alto,TX,Cherokee County,166.0
77511,Alvin,TX,Brazoria County,253.5
77512,Alvin,TX,Brazoria County,253.5
76225,Alvord,TX,Wise County,169.0
77515,Angleton,TX,Brazoria County,253.5
77516,Angleton,TX,Brazoria County,253.5
75409,Anna,TX,Collin County,274.0
79821,Anthony,TX,El Paso County,180.0
75926,Apple Springs,TX,Trinity County,166.0
76226,Argyle,TX,Denton County,279.0
76001,Arlington,TX,Tarrant County,279.0
76002,Arlington,TX,Tarrant County,279.0
76003,Arlington,TX,Tarrant County,279.0
76004,Arlington,TX,Tarrant County,279.0
76005,Arlington,TX,Tarrant County,279.0
76006,Arlington,TX,Tarrant County,279.0
76007,Arlington,TX,Tarrant County,279.0
76010,Arlington,TX,Tarrant County,279.0
76011,Arlington,TX,Tarrant County,279.0
76012,Arlington,TX,Tarrant County,279.0
76013,Arlington,TX,Tarrant County,279.0
76014,Arlington,TX,Tarrant County,279.0
76015,Arlington,TX,Tarrant County,279.0
76016,Arlington,TX,Tarrant County,279.0
76017,Arlington,TX,Tarrant County,279.0
76018,Arlington,TX,Tarrant County,279.0
76019,Arlington,TX,Tarrant County,279.0
76094,Arlington,TX,Tarrant County,279.0
76096,Arlington,TX,Tarrant County,279.0
75750,Arp,TX,Smith County,177.5
78001,Artesia Wells,TX,La Salle County,166.0
75411,Arthur City,TX,Lamar County,166.0
78002,Atascosa,TX,Bexar County,227.0
75751,Athens,TX,Henderson County,189.5
75752,Athens,TX,Henderson County,189.5
75551,Atlanta,TX,Cass County,166.0
76227,Aubrey,TX,Denton County,279.0
73301,Austin,TX,Travis County,228.5
73344,Austin,TX,Travis County,228.5
78701,Austin,TX,Travis County,228.5
78702,Austin,TX,Travis County,228.5
78703,Austin,TX,Travis County,228.5
78704,Austin,TX,Travis County,228.5
78705,Austin,TX,Travis County,228.5
78708,Austin,TX,Travis County,228.5
78709,Austin,TX,Travis County,228.5
78710,Austin,TX,Travis County,228.5
78711,Austin,TX,Travis County,228.5
78712,Austin,TX,Travis County,228.5
