zip,city,state,county,payout
20105,Aldie,VA,Loudoun County,189.5
22301,Alexandria,VA,Alexandria city,193.0
22302,Alexandria,VA,Alexandria city,193.0
22303,Alexandria,VA,Fairfax County,217.5
22304,Alexandria,VA,Alexandria city,193.0
22305,Alexandria,VA,Alexandria city,193.0
22306,Alexandria,VA,Fairfax County,217.5
22307,Alexandria,VA,Fairfax County,217.5
22308,Alexandria,VA,Fairfax County,217.5
22309,Alexandria,VA,Fairfax County,217.5
22310,Alexandria,VA,Fairfax County,217.5
22311,Alexandria,VA,Alexandria city,193.0
22312,Alexandria,VA,Fairfax County,217.5
22313,Alexandria,VA,Alexandria city,193.0
22314,Alexandria,VA,Alexandria city,193.0
22315,Alexandria,VA,Fairfax County,217.5
22320,Alexandria,VA,Alexandria city,193.0
22331,Alexandria,VA,Alexandria city,193.0
22332,Alexandria,VA,Alexandria city,193.0
22333,Alexandria,VA,Alexandria city,193.0
22334,Alexandria,VA,Alexandria city,193.0
22350,Alexandria,VA,Virginia Statewide,193.0
22003,Annandale,VA,Fairfax County,217.5
22201,Arlington,VA,Arlington County,213.5
22202,Arlington,VA,Arlington County,213.5
22203,Arlington,VA,Arlington County,213.5
22204,Arlington,VA,Arlington County,213.5
22205,Arlington,VA,Arlington County,213.5
22206,Arlington,VA,Arlington County,213.5
22207,Arlington,VA,Arlington County,213.5
22209,Arlington,VA,Arlington County,213.5
22210,Arlington,VA,Arlington County,213.5
22212,Arlington,VA,Arlington County,213.5
22213,Arlington,VA,Arlington County,213.5
22214,Arlington,VA,Arlington County,213.5
22215,Arlington,VA,Arlington County,213.5
22216,Arlington,VA,Arlington County,213.5
22217,Arlington,VA,Arlington County,213.5
22219,Arlington,VA,Arlington County,213.5
22225,Arlington,VA,Arlington County,213.5
22226,Arlington,VA,Arlington County,213.5
22227,Arlington,VA,Arlington County,213.5
22230,Arlington,VA,Arlington County,213.5
22240,Arlington,VA,Arlington County,213.5
22241,Arlington,VA,Arlington County,213.5
22242,Arlington,VA,Arlington County,213.5
22243,Arlington,VA,Arlington County,213.5
22244,Arlington,VA,Arlington County,213.5
22245,Arlington,VA,Arlington County,213.5
22246,Arlington,VA,Arlington County,213.5
20146,Ashburn,VA,Loudoun County,189.5
20147,Ashburn,VA,Loudoun County,189.5
20148,Ashburn,VA,Loudoun County,189.5
20149,Ashburn,VA,Loudoun County,189.5
23005,Ashland,VA,Hanover County,189.5
23011,Barhamsville,VA,New Kent County,193.0
23014,Beaumont,VA,Powhatan County,189.5
20136,Bristow,VA,Prince William County,193.0
23024,Bumpass,VA,Louisa County,189.5
22009,Burke,VA,Fairfax County,217.5
22015,Burke,VA,Fairfax County,217.5
23830,Carson,VA,Prince George County,189.5
20143,Catharpin,VA,Prince William County,193.0
20120,Centreville,VA,Fairfax County,217.5
