zip,city,state,county,payout
05441,Bakersfield,VT,Franklin County,189.5
05447,East Berkshire,VT,Franklin County,189.5
05448,East Fairfield,VT,Franklin County,189.5
05450,Enosburg Falls,VT,Franklin County,189.5
05479,Essex Junction,VT,Franklin County,189.5
05454,Fairfax,VT,Franklin County,189.5
05455,Fairfield,VT,Franklin County,189.5
05457,Franklin,VT,Franklin County,189.5
05459,Highgate Center,VT,Franklin County,189.5
05460,Highgate Springs,VT,Franklin County,189.5
05470,Montgomery,VT,Franklin County,189.5
05471,Montgomery Center,VT,Franklin County,189.5
05476,Richford,VT,Franklin County,189.5
05478,Saint Albans,VT,Franklin County,189.5
05481,Saint Albans Bay,VT,Franklin County,189.5
05483,Sheldon,VT,Franklin County,189.5
05485,Sheldon Springs,VT,Franklin County,189.5
05488,Swanton,VT,Franklin County,189.5
