zip,city,state,county,payout
35440,Abernant,AL,Tuscaloosa County,96.0
35005,Adamsville,AL,Jefferson County,96.0
35006,Adger,AL,Jefferson County,96.0
35441,Akron,AL,Hale County,44.0
35007,Alabaster,AL,Shelby County,96.0
35114,Alabaster,AL,Shelby County,96.0
35950,Albertville,AL,Marshall County,44.0
35951,Albertville,AL,Marshall County,44.0
35010,Alexander City,AL,Tallapoosa County,44.0
35011,Alexander City,AL,Tallapoosa County,44.0
36250,Alexandria,AL,Calhoun County,96.0
35013,Allgood,AL,Blount County,44.0
35014,Alpine,AL,Talladega County,44.0
35015,Alton,AL,Jefferson County,96.0
35952,Altoona,AL,Etowah County,96.0
36201,Anniston,AL,Calhoun County,96.0
36202,Anniston,AL,Calhoun County,96.0
36204,Anniston,AL,Calhoun County,96.0
36205,Anniston,AL,Calhoun County,96.0
36206,Anniston,AL,Calhoun County,96.0
36207,Anniston,AL,Calhoun County,96.0
35016,Arab,AL,Marshall County,44.0
35739,Ardmore,AL,Limestone County,44.0
35953,Ashville,AL,St. Clair County,44.0
36502,Atmore,AL,Escambia County,96.0
35954,Attalla,AL,Etowah County,96.0
36830,Auburn,AL,Lee County,44.0
36831,Auburn,AL,Lee County,44.0
36832,Auburn,AL,Lee County,44.0
36849,Auburn University,AL,Lee County,44.0
36505,Axis,AL,Mobile County,96.0
35019,Baileyton,AL,Cullman County,44.0
36507,Bay Minette,AL,Baldwin County,96.0
36509,Bayou La Batre,AL,Mobile County,96.0
35546,Berry,AL,Fayette County,96.0
35020,Bessemer,AL,Jefferson County,96.0
35021,Bessemer,AL,Jefferson County,96.0
35022,Bessemer,AL,Jefferson County,96.0
35023,Bessemer,AL,Jefferson County,96.0
36006,Billingsley,AL,Autauga County,44.0
35201,Birmingham,AL,Jefferson County,96.0
35202,Birmingham,AL,Jefferson County,96.0
35203,Birmingham,AL,Jefferson County,96.0
35204,Birmingham,AL,Jefferson County,96.0
35205,Birmingham,AL,Jefferson County,96.0
35206,Birmingham,AL,Jefferson County,96.0
35207,Birmingham,AL,Jefferson County,96.0
35208,Birmingham,AL,Jefferson County,96.0
35209,Birmingham,AL,Jefferson County,96.0
35210,Birmingham,AL,Jefferson County,96.0
35211,Birmingham,AL,Jefferson County,96.0
35212,Birmingham,AL,Jefferson County,96.0
35213,Birmingham,AL,Jefferson County,96.0
35214,Birmingham,AL,Jefferson County,96.0
35215,Birmingham,AL,Jefferson County,96.0
35216,Birmingham,AL,Jefferson County,96.0
35217,Birmingham,AL,Jefferson County,96.0
35218,Birmingham,AL,Jefferson County,96.0
35219,Birmingham,AL,Jefferson County,96.0
35220,Birmingham,AL,Jefferson County,96.0
35221,Birmingham,AL,Jefferson County,96.0
35222,Birmingham,AL,Jefferson County,96.0
35223,Birmingham,AL,Jefferson County,96.0
35224,Birmingham,AL,Jefferson County,96.0
35226,Birmingham,AL,Jefferson County,96.0
35228,Birmingham,AL,Jefferson County,96.0
35229,Birmingham,AL,Jefferson County,96.0
35231,Birmingham,AL,Jefferson County,96.0
35232,Birmingham,AL,Jefferson County,96.0
35233,Birmingham,AL,Jefferson County,96.0
