zip,city,state,county,payout
07710,Adelphia,NJ,Monmouth County,51.5
07401,Allendale,NJ,Bergen County,51.5
07711,Allenhurst,NJ,Monmouth County,51.5
08501,Allentown,NJ,Monmouth County,51.5
08720,Allenwood,NJ,Monmouth County,51.5
07620,Alpine,NJ,Bergen County,51.5
07712,Asbury Park,NJ,Monmouth County,51.5
07716,Atlantic Highlands,NJ,Monmouth County,51.5
08106,Audubon,NJ,Camden County,51.5
07001,Avenel,NJ,Middlesex County,54.5
07717,Avon By The Sea,NJ,Monmouth County,51.5
08007,Barrington,NJ,Camden County,51.5
07920,Basking Ridge,NJ,Somerset County,54.5
07002,Bayonne,NJ,Hudson County,51.5
07921,Bedminster,NJ,Somerset County,54.5
07718,Belford,NJ,Monmouth County,51.5
08502,Belle Mead,NJ,Somerset County,54.5
07109,Belleville,NJ,Essex County,54.5
08031,Bellmawr,NJ,Camden County,51.5
07715,Belmar,NJ,Monmouth County,51.5
07719,Belmar,NJ,Monmouth County,51.5
07621,Bergenfield,NJ,Bergen County,51.5
07922,Berkeley Heights,NJ,Union County,54.5
08009,Berlin,NJ,Camden County,51.5
07924,Bernardsville,NJ,Somerset County,54.5
08010,Beverly,NJ,Burlington County,51.5
08012,Blackwood,NJ,Camden County,51.5
07003,Bloomfield,NJ,Essex County,54.5
07403,Bloomingdale,NJ,Passaic County,54.5
07603,Bogota,NJ,Bergen County,51.5
07005,Boonton,NJ,Morris County,54.5
08505,Bordentown,NJ,Burlington County,51.5
08805,Bound Brook,NJ,Somerset County,54.5
07720,Bradley Beach,NJ,Monmouth County,51.5
08723,Brick,NJ,Ocean County,51.5
08724,Brick,NJ,Ocean County,51.5
08807,Bridgewater,NJ,Somerset County,54.5
08730,Brielle,NJ,Monmouth County,51.5
07926,Brookside,NJ,Morris County,54.5
07828,Budd Lake,NJ,Morris County,54.5
08016,Burlington,NJ,Burlington County,51.5
07405,Butler,NJ,Morris County,54.5
07006,Caldwell,NJ,Essex County,54.5
08102,Camden,NJ,Camden County,51.5
08103,Camden,NJ,Camden County,51.5
08104,Camden,NJ,Camden County,51.5
08105,Camden,NJ,Camden County,51.5
07072,Carlstadt,NJ,Bergen County,51.5
07008,Carteret,NJ,Middlesex County,54.5
07009,Cedar Grove,NJ,Essex County,54.5
07927,Cedar Knolls,NJ,Morris County,54.5
07928,Chatham,NJ,Morris County,54.5
08002,Cherry Hill,NJ,Camden County,51.5
08003,Cherry Hill,NJ,Camden County,51.5
08034,Cherry Hill,NJ,Camden County,51.5
07930,Chester,NJ,Morris County,54.5
08515,Chesterfield,NJ,Burlington County,51.5
07066,Clark,NJ,Union County,54.5
08020,Clarksboro,NJ,Gloucester County,51.5
08021,Clementon,NJ,Camden County,51.5
07010,Cliffside Park,NJ,Bergen County,51.5
07721,Cliffwood,NJ,Monmouth County,51.5
07011,Clifton,NJ,Passaic County,54.5
07012,Clifton,NJ,Passaic County,54.5
07013,Clifton,NJ,Passaic County,54.5
07014,Clifton,NJ,Passaic County,54.5
07624,Closter,NJ,Bergen County,51.5
08108,Collingswood,NJ,Camden County,51.5
07067,Colonia,NJ,Middlesex County,54.5
07722,Colts Neck,NJ,Monmouth County,51.5
08022,Columbus,NJ,Burlington County,51.5
07961,Convent Station,NJ,Morris County,54.5
08512,Cranbury,NJ,Mercer County,54.5
07016,Cranford,NJ,Union County,54.5
08514,Cream Ridge,NJ,Monmouth County,51.5
07626,Cresskill,NJ,Bergen County,51.5
08810,Dayton,NJ,Middlesex County,54.5
07723,Deal,NJ,Monmouth County,51.5
07627,Demarest,NJ,Bergen County,51.5
07834,Denville,NJ,Morris County,54.5
07801,Dover,NJ,Morris County,54.5
07628,Dumont,NJ,Bergen County,51.5
08812,Dunellen,NJ,Middlesex County,54.5
08816,East Brunswick,NJ,Middlesex County,54.5
07936,East Hanover,NJ,Morris County,54.5
07073,East Rutherford,NJ,Bergen County,51.5
07724,Eatontown,NJ,Monmouth County,51.5
07799,Eatontown,NJ,Monmouth County,51.5
07020,Edgewater,NJ,Bergen County,51.5
08817,Edison,NJ,Middlesex County,54.5
08820,Edison,NJ,Middlesex County,54.5
08837,Edison,NJ,Middlesex County,54.5
07202,Elizabeth,NJ,Union County,54.5
07208,Elizabeth,NJ,Union County,54.5
07407,Elmwood Park,NJ,Bergen County,51.5
07630,Emerson,NJ,Bergen County,51.5
07631,Englewood,NJ,Bergen County,51.5
07632,Englewood Cliffs,NJ,Bergen County,51.5
07726,Englishtown,NJ,Monmouth County,51.5
07021,Essex Fells,NJ,Essex County,54.5
07704,Fair Haven,NJ,Monmouth County,51.5
07410,Fair Lawn,NJ,Bergen County,51.5
07004,Fairfield,NJ,Essex County,54.5
07022,Fairview,NJ,Bergen County,51.5
07023,Fanwood,NJ,Union County,54.5
07931,Far Hills,NJ,Somerset County,54.5
07727,Farmingdale,NJ,Monmouth County,51.5
08821,Flagtown,NJ,Somerset County,54.5
07836,Flanders,NJ,Morris County,54.5
08518,Florence,NJ,Burlington County,51.5
07932,Florham Park,NJ,Morris County,54.5
08863,Fords,NJ,Middlesex County,54.5
07024,Fort Lee,NJ,Bergen County,51.5
07703,Fort Monmouth,NJ,Monmouth County,51.5
07417,Franklin Lakes,NJ,Bergen County,51.5
08823,Franklin Park,NJ,Somerset County,54.5
07728,Freehold,NJ,Monmouth County,51.5
07026,Garfield,NJ,Bergen County,51.5
07027,Garwood,NJ,Union County,54.5
08026,Gibbsboro,NJ,Camden County,51.5
08027,Gibbstown,NJ,Gloucester County,51.5
07933,Gillette,NJ,Morris County,54.5
07934,Gladstone,NJ,Somerset County,54.5
08028,Glassboro,NJ,Gloucester County,51.5
07028,Glen Ridge,NJ,Essex County,54.5
07452,Glen Rock,NJ,Bergen County,51.5
08029,Glendora,NJ,Camden County,51.5
08030,Gloucester City,NJ,Camden County,51.5
07935,Green Village,NJ,Morris County,54.5
07601,Hackensack,NJ,Bergen County,51.5
07602,Hackensack,NJ,Bergen County,51.5
08035,Haddon Heights,NJ,Camden County,51.5
08033,Haddonfield,NJ,Camden County,51.5
08036,Hainesport,NJ,Burlington County,51.5
07508,Haledon,NJ,Passaic County,54.5
07640,Harrington Park,NJ,Bergen County,51.5
07029,Harrison,NJ,Hudson County,51.5
07604,Hasbrouck Heights,NJ,Bergen County,51.5
07420,Haskell,NJ,Passaic County,54.5
07641,Haworth,NJ,Bergen County,51.5
07506,Hawthorne,NJ,Passaic County,54.5
07730,Hazlet,NJ,Monmouth County,51.5
08828,Helmetta,NJ,Middlesex County,54.5
07842,Hibernia,NJ,Morris County,54.5
08904,Highland Park,NJ,Middlesex County,54.5
07732,Highlands,NJ,Monmouth County,51.5
08520,Hightstown,NJ,Mercer County,51.5
08844,Hillsborough,NJ,Somerset County,54.5
07642,Hillsdale,NJ,Bergen County,51.5
07205,Hillside,NJ,Union County,54.5
07423,Ho Ho Kus,NJ,Bergen County,51.5
07030,Hoboken,NJ,Hudson County,51.5
07733,Holmdel,NJ,Monmouth County,51.5
08525,Hopewell,NJ,Mercer County,51.5
07731,Howell,NJ,Monmouth County,51.5
08526,Imlaystown,NJ,Monmouth County,51.5
08830,Iselin,NJ,Middlesex County,54.5
08527,Jackson,NJ,Ocean County,51.5
07097,Jersey City,NJ,Hudson County,51.5
07302,Jersey City,NJ,Hudson County,51.5
07303,Jersey City,NJ,Hudson County,51.5
07304,Jersey City,NJ,Hudson County,51.5
07305,Jersey City,NJ,Hudson County,51.5
