zip,city,state,county,payout
35440,Abernant,AL,Tuscaloosa County,74.0
35005,Adamsville,AL,Jefferson County,74.0
35006,Adger,AL,Jefferson County,74.0
35007,Alabaster,AL,Shelby County,74.0
35114,Alabaster,AL,Shelby County,74.0
35011,Alexander City,AL,Tallapoosa County,74.0
35014,Alpine,AL,Talladega County,74.0
35952,Altoona,AL,Etowah County,74.0
36201,Anniston,AL,Calhoun County,74.0
36202,Anniston,AL,Calhoun County,74.0
36206,Anniston,AL,Calhoun County,74.0
35953,Ashville,AL,St. Clair County,74.0
35954,Attalla,AL,Etowah County,74.0
36830,Auburn,AL,Lee County,74.0
36832,Auburn,AL,Lee County,74.0
36849,Auburn University,AL,Lee County,74.0
36003,Autaugaville,AL,Autauga County,74.0
35020,Bessemer,AL,Jefferson County,74.0
35021,Bessemer,AL,Jefferson County,74.0
35022,Bessemer,AL,Jefferson County,74.0
35023,Bessemer,AL,Jefferson County,74.0
36006,Billingsley,AL,Autauga County,74.0
35201,Birmingham,AL,Jefferson County,74.0
35202,Birmingham,AL,Jefferson County,74.0
35203,Birmingham,AL,Jefferson County,74.0
35204,Birmingham,AL,Jefferson County,74.0
35205,Birmingham,AL,Jefferson County,74.0
35206,Birmingham,AL,Jefferson County,74.0
35207,Birmingham,AL,Jefferson County,74.0
35208,Birmingham,AL,Jefferson County,74.0
35209,Birmingham,AL,Jefferson County,74.0
35210,Birmingham,AL,Jefferson County,74.0
35211,Birmingham,AL,Jefferson County,74.0
35212,Birmingham,AL,Jefferson County,74.0
35213,Birmingham,AL,Jefferson County,74.0
35214,Birmingham,AL,Jefferson County,74.0
35215,Birmingham,AL,Jefferson County,74.0
35216,Birmingham,AL,Jefferson County,74.0
35217,Birmingham,AL,Jefferson County,74.0
35218,Birmingham,AL,Jefferson County,74.0
35219,Birmingham,AL,Jefferson County,74.0
35220,Birmingham,AL,Jefferson County,74.0
35221,Birmingham,AL,Jefferson County,74.0
35222,Birmingham,AL,Jefferson County,74.0
35223,Birmingham,AL,Jefferson County,74.0
35224,Birmingham,AL,Jefferson County,74.0
35226,Birmingham,AL,Jefferson County,74.0
35228,Birmingham,AL,Jefferson County,74.0
35229,Birmingham,AL,Jefferson County,74.0
35231,Birmingham,AL,Jefferson County,74.0
35232,Birmingham,AL,Jefferson County,74.0
35233,Birmingham,AL,Jefferson County,74.0
35234,Birmingham,AL,Jefferson County,74.0
35235,Birmingham,AL,Jefferson County,74.0
35236,Birmingham,AL,Jefferson County,74.0
35237,Birmingham,AL,Jefferson County,74.0
35238,Birmingham,AL,Jefferson County,74.0
35242,Birmingham,AL,Shelby County,74.0
35243,Birmingham,AL,Jefferson County,74.0
35244,Birmingham,AL,Jefferson County,74.0
35246,Birmingham,AL,Jefferson County,74.0
35249,Birmingham,AL,Jefferson County,74.0
35253,Birmingham,AL,Jefferson County,74.0
35254,Birmingham,AL,Jefferson County,74.0
35255,Birmingham,AL,Jefferson County,74.0
35259,Birmingham,AL,Jefferson County,74.0
35260,Birmingham,AL,Jefferson County,74.0
35261,Birmingham,AL,Jefferson County,74.0
35266,Birmingham,AL,Jefferson County,74.0
35270,Birmingham,AL,Alabama Statewide,74.0
35282,Birmingham,AL,Jefferson County,74.0
35283,Birmingham,AL,Jefferson County,74.0
35285,Birmingham,AL,Jefferson County,74.0
35287,Birmingham,AL,Jefferson County,74.0
35288,Birmingham,AL,Jefferson County,74.0
35290,Birmingham,AL,Jefferson County,74.0
35291,Birmingham,AL,Jefferson County,74.0
35292,Birmingham,AL,Jefferson County,74.0
35293,Birmingham,AL,Jefferson County,74.0
35294,Birmingham,AL,Jefferson County,74.0
35295,Birmingham,AL,Jefferson County,74.0
35296,Birmingham,AL,Jefferson County,74.0
35297,Birmingham,AL,Jefferson County,74.0
35298,Birmingham,AL,Jefferson County,74.0
35032,Bon Air,AL,Talladega County,74.0
36008,Booth,AL,Autauga County,74.0
35033,Bremen,AL,Cullman County,74.0
35035,Brierfield,AL,Bibb County,74.0
35444,Brookwood,AL,Tuscaloosa County,74.0
35446,Buhl,AL,Tuscaloosa County,74.0
35040,Calera,AL,Shelby County,74.0
36013,Cecil,AL,Montgomery County,74.0
35042,Centreville,AL,Bibb County,74.0
35043,Chelsea,AL,Shelby County,74.0
35044,Childersburg,AL,Talladega County,74.0
35045,Clanton,AL,Chilton County,74.0
35046,Clanton,AL,Chilton County,74.0
35449,Coaling,AL,Tuscaloosa County,74.0
35452,Coker,AL,Tuscaloosa County,74.0
35051,Columbiana,AL,Shelby County,74.0
36020,Coosada,AL,Elmore County,74.0
35453,Cottondale,AL,Tuscaloosa County,74.0
36851,Cottonton,AL,Russell County,74.0
36853,Dadeville,AL,Tallapoosa County,74.0
36022,Deatsville,AL,Elmore County,74.0
35061,Dolomite,AL,Jefferson County,74.0
35456,Duncanville,AL,Tuscaloosa County,74.0
36023,East Tallassee,AL,Tallapoosa County,74.0
35457,Echola,AL,Tuscaloosa County,74.0
36024,Eclectic,AL,Elmore County,74.0
36025,Elmore,AL,Elmore County,74.0
35458,Elrod,AL,Tuscaloosa County,74.0
36026,Equality,AL,Coosa County,74.0
35064,Fairfield,AL,Jefferson County,74.0
36029,Fitzpatrick,AL,Bullock County,74.0
36031,Fort Davis,AL,Macon County,74.0
36032,Fort Deposit,AL,Lowndes County,74.0
36856,Fort Mitchell,AL,Russell County,74.0
35463,Fosters,AL,Tuscaloosa County,74.0
35901,Gadsden,AL,Etowah County,74.0
35904,Gadsden,AL,Etowah County,74.0
35905,Gadsden,AL,Etowah County,74.0
35907,Gadsden,AL,Etowah County,74.0
35972,Gallant,AL,Etowah County,74.0
35070,Garden City,AL,Cullman County,74.0
35074,Green Pond,AL,Bibb County,74.0
36039,Hardaway,AL,Macon County,74.0
35078,Harpersville,AL,Shelby County,74.0
36858,Hatchechubbee,AL,Russell County,74.0
35079,Hayden,AL,Blount County,74.0
