zip,city,state,county,payout
80002,Arvada,CO,Jefferson County,81.5
80003,Arvada,CO,Jefferson County,81.5
80004,Arvada,CO,Jefferson County,81.5
80005,Arvada,CO,Jefferson County,81.5
80007,Arvada,CO,Jefferson County,81.5
80010,Aurora,CO,Arapahoe County,90.0
80011,Aurora,CO,Arapahoe County,85.5
80012,Aurora,CO,Arapahoe County,90.0
80013,Aurora,CO,Arapahoe County,90.0
80014,Aurora,CO,Arapahoe County,90.0
80015,Aurora,CO,Arapahoe County,90.0
80016,Aurora,CO,Arapahoe County,90.0
80017,Aurora,CO,Arapahoe County,90.0
80018,Aurora,CO,Arapahoe County,90.0
80513,Berthoud,CO,Larimer County,88.0
80301,Boulder,CO,Boulder County,90.0
80302,Boulder,CO,Boulder County,90.0
80303,Boulder,CO,Boulder County,90.0
80304,Boulder,CO,Boulder County,90.0
80305,Boulder,CO,Boulder County,90.0
80601,Brighton,CO,Adams County,85.5
80602,Brighton,CO,Adams County,85.5
80020,Broomfield,CO,Broomfield County,85.5
80021,Broomfield,CO,Jefferson County,81.5
80023,Broomfield,CO,Broomfield County,85.5
80104,Castle Rock,CO,Douglas County,88.5
80108,Castle Rock,CO,Douglas County,88.5
80109,Castle Rock,CO,Douglas County,88.5
80903,Colorado Springs,CO,El Paso County,89.0
80904,Colorado Springs,CO,El Paso County,89.0
80905,Colorado Springs,CO,El Paso County,89.0
80906,Colorado Springs,CO,El Paso County,89.0
80907,Colorado Springs,CO,El Paso County,89.0
80908,Colorado Springs,CO,El Paso County,89.0
80909,Colorado Springs,CO,El Paso County,89.0
80915,Colorado Springs,CO,El Paso County,89.0
80917,Colorado Springs,CO,El Paso County,89.0
80918,Colorado Springs,CO,El Paso County,89.0
80919,Colorado Springs,CO,El Paso County,89.0
80920,Colorado Springs,CO,El Paso County,89.0
80921,Colorado Springs,CO,El Paso County,89.0
80922,Colorado Springs,CO,El Paso County,89.0
80923,Colorado Springs,CO,El Paso County,89.0
80924,Colorado Springs,CO,El Paso County,89.0
80926,Colorado Springs,CO,El Paso County,89.0
80927,Colorado Springs,CO,El Paso County,89.0
80938,Colorado Springs,CO,El Paso County,89.0
80951,Colorado Springs,CO,El Paso County,89.0
80022,Commerce City,CO,Adams County,85.5
80433,Conifer,CO,Jefferson County,81.5
80202,Denver,CO,Denver County,90.0
80203,Denver,CO,Denver County,90.0
80204,Denver,CO,Denver County,90.0
80205,Denver,CO,Denver County,90.0
80206,Denver,CO,Denver County,90.0
80207,Denver,CO,Denver County,90.0
80209,Denver,CO,Denver County,90.0
80210,Denver,CO,Denver County,90.0
80211,Denver,CO,Denver County,90.0
80212,Denver,CO,Denver County,90.0
80214,Denver,CO,Jefferson County,81.5
80215,Denver,CO,Jefferson County,81.5
80216,Denver,CO,Denver County,90.0
80218,Denver,CO,Denver County,90.0
80219,Denver,CO,Denver County,90.0
80220,Denver,CO,Denver County,90.0
80221,Denver,CO,Adams County,85.5
80222,Denver,CO,Denver County,90.0
80223,Denver,CO,Denver County,90.0
80224,Denver,CO,Denver County,90.0
80226,Denver,CO,Jefferson County,81.5
80227,Denver,CO,Jefferson County,90.0
80228,Denver,CO,Jefferson County,81.5
80229,Denver,CO,Adams County,85.5
80230,Denver,CO,Denver County,90.0
80231,Denver,CO,Denver County,90.0
80232,Denver,CO,Jefferson County,81.5
80233,Denver,CO,Adams County,85.5
80234,Denver,CO,Adams County,85.5
80235,Denver,CO,Jefferson County,90.0
80236,Denver,CO,Denver County,90.0
80237,Denver,CO,Denver County,90.0
80238,Denver,CO,Denver County,90.0
80239,Denver,CO,Denver County,90.0
80246,Denver,CO,Denver County,90.0
80247,Denver,CO,Arapahoe County,90.0
80249,Denver,CO,Denver County,90.0
80260,Denver,CO,Adams County,85.5
80615,Eaton,CO,Weld County,89.0
80106,Elbert,CO,El Paso County,81.5
80025,Eldorado Springs,CO,Boulder County,90.0
80107,Elizabeth,CO,Elbert County,81.5
80110,Englewood,CO,Arapahoe County,90.0
80111,Englewood,CO,Arapahoe County,90.0
80112,Englewood,CO,Arapahoe County,90.0
80113,Englewood,CO,Arapahoe County,90.0
80516,Erie,CO,Weld County,89.0
80620,Evans,CO,Weld County,89.0
80439,Evergreen,CO,Jefferson County,81.5
80521,Fort Collins,CO,Larimer County,88.0
80524,Fort Collins,CO,Larimer County,88.0
80525,Fort Collins,CO,Larimer County,88.0
80526,Fort Collins,CO,Larimer County,88.0
80528,Fort Collins,CO,Larimer County,88.0
80116,Franktown,CO,Douglas County,88.5
80401,Golden,CO,Jefferson County,81.5
80403,Golden,CO,Jefferson County,81.5
80631,Greeley,CO,Weld County,89.0
80634,Greeley,CO,Weld County,89.0
80640,Henderson,CO,Adams County,85.5
80534,Johnstown,CO,Weld County,89.0
80117,Kiowa,CO,Elbert County,81.5
80645,La Salle,CO,Weld County,89.0
80026,Lafayette,CO,Boulder County,90.0
80535,Laporte,CO,Larimer County,88.0
80118,Larkspur,CO,Douglas County,88.5
80120,Littleton,CO,Arapahoe County,90.0
80121,Littleton,CO,Arapahoe County,90.0
80122,Littleton,CO,Arapahoe County,90.0
80123,Littleton,CO,Jefferson County,81.5
80125,Littleton,CO,Douglas County,88.5
80126,Littleton,CO,Douglas County,88.5
80127,Littleton,CO,Jefferson County,81.5
80128,Littleton,CO,Jefferson County,81.5
80129,Littleton,CO,Douglas County,88.5
80130,Littleton,CO,Douglas County,88.5
80124,Lone Tree,CO,Douglas County,88.5
80501,Longmont,CO,Boulder County,90.0
80503,Longmont,CO,Boulder County,90.0
80504,Longmont,CO,Boulder County,89.0
80027,Louisville,CO,Boulder County,90.0
80537,Loveland,CO,Larimer County,88.0
80538,Loveland,CO,Larimer County,88.0
80829,Manitou Springs,CO,El Paso County,89.0
80542,Mead,CO,Weld County,89.0
80543,Milliken,CO,Weld County,89.0
80132,Monument,CO,El Paso County,89.0
80465,Morrison,CO,Jefferson County,81.5
80134,Parker,CO,Douglas County,88.5
80138,Parker,CO,Douglas County,88.5
80831,Peyton,CO,El Paso County,89.0
80135,Sedalia,CO,Douglas County,88.5
80241,Thornton,CO,Adams County,85.5
80547,Timnath,CO,Larimer County,88.0
80030,Westminster,CO,Adams County,85.5
80031,Westminster,CO,Adams County,85.5
80033,Wheat Ridge,CO,Jefferson County,81.5
80550,Windsor,CO,Weld County,89.0
