zip,city,state,county,payout
30101,Acworth,GA,Cobb County,78.0
30102,Acworth,GA,Cherokee County,74.0
30103,Adairsville,GA,Bartow County,74.0
30004,Alpharetta,GA,Fulton County,74.0
30005,Alpharetta,GA,Fulton County,74.0
30009,Alpharetta,GA,Fulton County,74.0
30022,Alpharetta,GA,Fulton County,74.0
30023,Alpharetta,GA,Fulton County,74.0
30104,Aragon,GA,Polk County,74.0
30301,Atlanta,GA,Fulton County,74.0
30302,Atlanta,GA,Fulton County,74.0
30303,Atlanta,GA,Fulton County,74.0
30304,Atlanta,GA,Fulton County,74.0
30305,Atlanta,GA,Fulton County,74.0
30306,Atlanta,GA,Fulton County,74.0
30307,Atlanta,GA,Dekalb County,74.0
30308,Atlanta,GA,Fulton County,74.0
30309,Atlanta,GA,Fulton County,74.0
30310,Atlanta,GA,Fulton County,74.0
30311,Atlanta,GA,Fulton County,74.0
30312,Atlanta,GA,Fulton County,74.0
30313,Atlanta,GA,Fulton County,74.0
30314,Atlanta,GA,Fulton County,74.0
30315,Atlanta,GA,Fulton County,74.0
30316,Atlanta,GA,Dekalb County,74.0
30317,Atlanta,GA,Dekalb County,74.0
30318,Atlanta,GA,Fulton County,74.0
30319,Atlanta,GA,Dekalb County,74.0
30320,Atlanta,GA,Clayton County,74.0
30321,Atlanta,GA,Fulton County,74.0
30322,Atlanta,GA,Dekalb County,74.0
30324,Atlanta,GA,Fulton County,74.0
30325,Atlanta,GA,Fulton County,74.0
30326,Atlanta,GA,Fulton County,74.0
30327,Atlanta,GA,Fulton County,74.0
30328,Atlanta,GA,Fulton County,74.0
30329,Atlanta,GA,Dekalb County,74.0
30331,Atlanta,GA,Fulton County,74.0
30332,Atlanta,GA,Fulton County,74.0
30333,Atlanta,GA,Fulton County,74.0
30334,Atlanta,GA,Fulton County,74.0
30336,Atlanta,GA,Fulton County,74.0
30337,Atlanta,GA,Fulton County,74.0
30338,Atlanta,GA,Dekalb County,74.0
30339,Atlanta,GA,Cobb County,74.0
30340,Atlanta,GA,Dekalb County,74.0
30341,Atlanta,GA,Dekalb County,74.0
30342,Atlanta,GA,Fulton County,74.0
30343,Atlanta,GA,Fulton County,74.0
30344,Atlanta,GA,Fulton County,74.0
30345,Atlanta,GA,Dekalb County,74.0
30346,Atlanta,GA,Dekalb County,74.0
30348,Atlanta,GA,Fulton County,74.0
30349,Atlanta,GA,Fulton County,74.0
30350,Atlanta,GA,Fulton County,74.0
30353,Atlanta,GA,Fulton County,74.0
30354,Atlanta,GA,Fulton County,74.0
30355,Atlanta,GA,Fulton County,74.0
30356,Atlanta,GA,Fulton County,74.0
30357,Atlanta,GA,Fulton County,74.0
30358,Atlanta,GA,Fulton County,74.0
30359,Atlanta,GA,Fulton County,74.0
30360,Atlanta,GA,Dekalb County,74.0
30361,Atlanta,GA,Fulton County,74.0
30362,Atlanta,GA,Fulton County,74.0
30363,Atlanta,GA,Fulton County,74.0
30364,Atlanta,GA,Fulton County,74.0
30366,Atlanta,GA,Fulton County,74.0
30368,Atlanta,GA,Fulton County,74.0
30369,Atlanta,GA,Fulton County,74.0
30370,Atlanta,GA,Fulton County,74.0
30371,Atlanta,GA,Fulton County,74.0
30374,Atlanta,GA,Fulton County,74.0
30375,Atlanta,GA,Fulton County,74.0
30377,Atlanta,GA,Fulton County,74.0
30378,Atlanta,GA,Fulton County,74.0
30380,Atlanta,GA,Fulton County,74.0
30384,Atlanta,GA,Fulton County,74.0
30385,Atlanta,GA,Fulton County,74.0
30388,Atlanta,GA,Fulton County,74.0
30392,Atlanta,GA,Fulton County,74.0
30394,Atlanta,GA,Fulton County,74.0
30396,Atlanta,GA,Fulton County,74.0
30398,Atlanta,GA,Fulton County,74.0
31106,Atlanta,GA,Fulton County,74.0
31107,Atlanta,GA,Fulton County,74.0
31119,Atlanta,GA,Fulton County,74.0
31126,Atlanta,GA,Fulton County,74.0
