zip,city,state,county,payout
83602,Banks,ID,Boise County,74.0
83702,Boise,ID,Ada County,78.0
83703,Boise,ID,Ada County,78.0
83704,Boise,ID,Ada County,78.0
83705,Boise,ID,Ada County,78.0
83706,Boise,ID,Ada County,78.0
83709,Boise,ID,Ada County,78.0
83712,Boise,ID,Ada County,78.0
83713,Boise,ID,Ada County,78.0
83604,Bruneau,ID,Owyhee County,74.0
83605,Caldwell,ID,Canyon County,74.0
83607,Caldwell,ID,Canyon County,74.0
83610,Cambridge,ID,Washington County,74.0
83611,Cascade,ID,Valley County,74.0
83226,Challis,ID,Custer County,74.0
83612,Council,ID,Adams County,74.0
83615,Donnelly,ID,Valley County,74.0
83616,Eagle,ID,Ada County,78.0
83714,Garden City,ID,Ada County,78.0
83622,Garden Valley,ID,Boise County,74.0
83624,Grand View,ID,Owyhee County,74.0
83628,Homedale,ID,Owyhee County,74.0
83629,Horseshoe Bend,ID,Boise County,74.0
83631,Idaho City,ID,Boise County,74.0
83634,Kuna,ID,Ada County,78.0
83639,Marsing,ID,Owyhee County,74.0
83638,Mccall,ID,Valley County,74.0
83641,Melba,ID,Canyon County,74.0
83642,Meridian,ID,Ada County,78.0
83646,Meridian,ID,Ada County,78.0
83680,Meridian,ID,Ada County,78.0
83644,Middleton,ID,Canyon County,74.0
83647,Mountain Home,ID,Elmore County,74.0
83651,Nampa,ID,Canyon County,74.0
83686,Nampa,ID,Canyon County,74.0
83687,Nampa,ID,Canyon County,74.0
83654,New Meadows,ID,Adams County,74.0
83655,New Plymouth,ID,Payette County,74.0
83660,Parma,ID,Canyon County,74.0
83661,Payette,ID,Payette County,74.0
83549,Riggins,ID,Idaho County,74.0
83669,Star,ID,Ada County,78.0
83301,Twin Falls,ID,Twin Falls County,74.0
83303,Twin Falls,ID,Twin Falls County,74.0
83672,Weiser,ID,Washington County,74.0
