zip,city,state,county,payout
41001,Alexandria,KY,Campbell County,74.0
41073,Bellevue,KY,Campbell County,74.0
41005,Burlington,KY,Boone County,74.0
41007,California,KY,Campbell County,74.0
41011,Covington,KY,Kenton County,74.0
41014,Covington,KY,Kenton County,74.0
41016,Covington,KY,Kenton County,74.0
41074,Dayton,KY,Campbell County,74.0
41018,Erlanger,KY,Kenton County,74.0
41042,Florence,KY,Boone County,74.0
41075,Fort Thomas,KY,Campbell County,74.0
41017,Ft Mitchell,KY,Kenton County,74.0
41048,Hebron,KY,Boone County,74.0
41051,Independence,KY,Kenton County,74.0
41015,Latonia,KY,Kenton County,74.0
41059,Melbourne,KY,Campbell County,74.0
41071,Newport,KY,Campbell County,74.0
41072,Newport,KY,Campbell County,74.0
41076,Newport,KY,Campbell County,74.0
41080,Petersburg,KY,Boone County,74.0
41085,Silver Grove,KY,Campbell County,74.0
41091,Union,KY,Boone County,74.0
41094,Walton,KY,Boone County,74.0
