zip,city,state,county,payout
64720,Adrian,MO,Bates County,74.0
64725,Archie,MO,Cass County,81.5
64012,Belton,MO,Cass County,81.5
64013,Blue Springs,MO,Jackson County,78.0
64014,Blue Springs,MO,Jackson County,78.0
64015,Blue Springs,MO,Jackson County,78.0
64016,Buckner,MO,Jackson County,78.0
64734,Cleveland,MO,Cass County,81.5
64739,Creighton,MO,Cass County,81.5
64742,Drexel,MO,Cass County,81.5
64743,East Lynne,MO,Cass County,81.5
64028,Farley,MO,Platte County,78.0
64746,Freeman,MO,Cass County,81.5
64747,Garden City,MO,Cass County,81.5
64029,Grain Valley,MO,Jackson County,78.0
64030,Grandview,MO,Jackson County,78.0
64034,Greenwood,MO,Jackson County,78.0
64701,Harrisonville,MO,Cass County,81.5
64050,Independence,MO,Jackson County,78.0
64051,Independence,MO,Jackson County,78.0
64052,Independence,MO,Jackson County,78.0
64053,Independence,MO,Jackson County,78.0
64054,Independence,MO,Jackson County,78.0
64055,Independence,MO,Jackson County,78.0
64056,Independence,MO,Jackson County,78.0
64057,Independence,MO,Jackson County,78.0
64058,Independence,MO,Jackson County,78.0
64101,Kansas City,MO,Jackson County,78.0
64102,Kansas City,MO,Jackson County,78.0
64105,Kansas City,MO,Jackson County,78.0
64106,Kansas City,MO,Jackson County,78.0
64108,Kansas City,MO,Jackson County,78.0
64109,Kansas City,MO,Jackson County,78.0
64110,Kansas City,MO,Jackson County,78.0
64111,Kansas City,MO,Jackson County,78.0
64112,Kansas City,MO,Jackson County,78.0
64113,Kansas City,MO,Jackson County,78.0
64114,Kansas City,MO,Jackson County,78.0
64116,Kansas City,MO,Clay County,74.0
64117,Kansas City,MO,Clay County,74.0
64118,Kansas City,MO,Clay County,74.0
64119,Kansas City,MO,Clay County,74.0
64120,Kansas City,MO,Jackson County,78.0
64121,Kansas City,MO,Jackson County,78.0
64123,Kansas City,MO,Jackson County,78.0
64124,Kansas City,MO,Jackson County,78.0
64125,Kansas City,MO,Jackson County,78.0
64126,Kansas City,MO,Jackson County,78.0
64127,Kansas City,MO,Jackson County,78.0
64128,Kansas City,MO,Jackson County,78.0
64129,Kansas City,MO,Jackson County,78.0
64130,Kansas City,MO,Jackson County,78.0
64131,Kansas City,MO,Jackson County,78.0
64132,Kansas City,MO,Jackson County,78.0
64133,Kansas City,MO,Jackson County,78.0
64134,Kansas City,MO,Jackson County,78.0
64136,Kansas City,MO,Jackson County,78.0
64137,Kansas City,MO,Jackson County,78.0
64138,Kansas City,MO,Jackson County,78.0
64139,Kansas City,MO,Jackson County,78.0
64141,Kansas City,MO,Jackson County,78.0
64144,Kansas City,MO,Jackson County,74.0
64145,Kansas City,MO,Jackson County,78.0
64146,Kansas City,MO,Jackson County,78.0
64147,Kansas City,MO,Jackson County,78.0
64148,Kansas City,MO,Jackson County,78.0
64149,Kansas City,MO,Jackson County,78.0
64151,Kansas City,MO,Platte County,78.0
64152,Kansas City,MO,Platte County,78.0
64153,Kansas City,MO,Platte County,78.0
64154,Kansas City,MO,Platte County,78.0
64155,Kansas City,MO,Clay County,74.0
64156,Kansas City,MO,Clay County,74.0
64157,Kansas City,MO,Clay County,74.0
64158,Kansas City,MO,Clay County,74.0
64161,Kansas City,MO,Clay County,74.0
64162,Kansas City,MO,Missouri Statewide,74.0
64163,Kansas City,MO,Platte County,78.0
64164,Kansas City,MO,Platte County,78.0
64165,Kansas City,MO,Clay County,74.0
64168,Kansas City,MO,Jackson County,78.0
64170,Kansas City,MO,Jackson County,78.0
64171,Kansas City,MO,Jackson County,78.0
64179,Kansas City,MO,Jackson County,78.0
64180,Kansas City,MO,Jackson County,78.0
64184,Kansas City,MO,Jackson County,78.0
64187,Kansas City,MO,Jackson County,78.0
64188,Kansas City,MO,Jackson County,74.0
64190,Kansas City,MO,Jackson County,78.0
64191,Kansas City,MO,Jackson County,78.0
64195,Kansas City,MO,Jackson County,78.0
64196,Kansas City,MO,Jackson County,78.0
64197,Kansas City,MO,Jackson County,78.0
64198,Kansas City,MO,Jackson County,78.0
64199,Kansas City,MO,Jackson County,78.0
64999,Kansas City,MO,Jackson County,78.0
64061,Kingsville,MO,Johnson County,74.0
64002,Lees Summit,MO,Jackson County,78.0
64063,Lees Summit,MO,Jackson County,78.0
64064,Lees Summit,MO,Jackson County,78.0
64065,Lees Summit,MO,Jackson County,78.0
64081,Lees Summit,MO,Jackson County,78.0
64082,Lees Summit,MO,Jackson County,78.0
64086,Lees Summit,MO,Jackson County,78.0
64066,Levasy,MO,Jackson County,78.0
64069,Liberty,MO,Clay County,74.0
64070,Lone Jack,MO,Jackson County,78.0
64075,Oak Grove,MO,Jackson County,78.0
64078,Peculiar,MO,Cass County,81.5
64079,Platte City,MO,Platte County,78.0
64080,Pleasant Hill,MO,Cass County,81.5
64083,Raymore,MO,Cass County,81.5
64150,Riverside,MO,Platte County,78.0
64088,Sibley,MO,Jackson County,78.0
64090,Strasburg,MO,Cass County,81.5
64092,Waldron,MO,Platte County,78.0
