zip,city,state,county,payout
27006,Advance,NC,Davie County,85.5
27201,Alamance,NC,Alamance County,81.5
27202,Altamahaw,NC,Alamance County,81.5
27007,Ararat,NC,Surry County,85.5
27203,Asheboro,NC,Randolph County,74.0
27204,Asheboro,NC,Randolph County,74.0
27205,Asheboro,NC,Randolph County,74.0
27009,Belews Creek,NC,Forsyth County,74.0
27010,Bethania,NC,Forsyth County,74.0
27212,Blanch,NC,Caswell County,85.5
27214,Browns Summit,NC,Guilford County,85.5
27215,Burlington,NC,Alamance County,81.5
27216,Burlington,NC,Alamance County,81.5
27217,Burlington,NC,Alamance County,81.5
27230,Cedar Falls,NC,Randolph County,74.0
27231,Cedar Grove,NC,Orange County,74.0
27012,Clemmons,NC,Forsyth County,74.0
27233,Climax,NC,Randolph County,74.0
27235,Colfax,NC,Guilford County,85.5
27014,Cooleemee,NC,Davie County,85.5
27016,Danbury,NC,Stokes County,85.5
27018,East Bend,NC,Yadkin County,85.5
27288,Eden,NC,Rockingham County,85.5
27289,Eden,NC,Rockingham County,85.5
27244,Elon,NC,Alamance County,81.5
27248,Franklinville,NC,Randolph County,74.0
27019,Germanton,NC,Stokes County,85.5
27249,Gibsonville,NC,Guilford County,85.5
27401,Greensboro,NC,Guilford County,85.5
27402,Greensboro,NC,Guilford County,85.5
27403,Greensboro,NC,Guilford County,85.5
27404,Greensboro,NC,Guilford County,85.5
27405,Greensboro,NC,Guilford County,85.5
27406,Greensboro,NC,Guilford County,85.5
27407,Greensboro,NC,Guilford County,85.5
27408,Greensboro,NC,Guilford County,85.5
27409,Greensboro,NC,Guilford County,85.5
27410,Greensboro,NC,Guilford County,85.5
27411,Greensboro,NC,Guilford County,85.5
27412,Greensboro,NC,Guilford County,85.5
27413,Greensboro,NC,Guilford County,85.5
27415,Greensboro,NC,Guilford County,85.5
27416,Greensboro,NC,Guilford County,85.5
27417,Greensboro,NC,Guilford County,85.5
27419,Greensboro,NC,Guilford County,85.5
27420,Greensboro,NC,Guilford County,85.5
27425,Greensboro,NC,Guilford County,85.5
27427,Greensboro,NC,Guilford County,85.5
27429,Greensboro,NC,Guilford County,85.5
27435,Greensboro,NC,Guilford County,85.5
