zip,city,state,county,payout
12405,Acra,NY,Greene County,36.5
12808,Adirondack,NY,Warren County,36.5
12202,Albany,NY,Albany County,36.5
12203,Albany,NY,Albany County,36.5
12204,Albany,NY,Albany County,36.5
12205,Albany,NY,Albany County,36.5
12206,Albany,NY,Albany County,36.5
12207,Albany,NY,Albany County,36.5
12208,Albany,NY,Albany County,36.5
12209,Albany,NY,Albany County,36.5
12210,Albany,NY,Albany County,36.5
12211,Albany,NY,Albany County,36.5
12222,Albany,NY,Albany County,36.5
12226,Albany,NY,Albany County,36.5
12007,Alcove,NY,Albany County,36.5
12008,Alplaus,NY,Schenectady County,36.5
12009,Altamont,NY,Albany County,36.5
12010,Amsterdam,NY,Montgomery County,36.5
12809,Argyle,NY,Washington County,36.5
12407,Ashland,NY,Greene County,36.5
12015,Athens,NY,Greene County,36.5
12810,Athol,NY,Warren County,36.5
12017,Austerlitz,NY,Columbia County,36.5
12018,Averill Park,NY,Rensselaer County,36.5
12019,Ballston Lake,NY,Saratoga County,36.5
12020,Ballston Spa,NY,Saratoga County,36.5
12022,Berlin,NY,Rensselaer County,36.5
12023,Berne,NY,Albany County,36.5
13739,Bloomville,NY,Delaware County,36.5
12814,Bolton Landing,NY,Warren County,36.5
13740,Bovina Center,NY,Delaware County,36.5
12024,Brainard,NY,Columbia County,36.5
12815,Brant Lake,NY,Warren County,36.5
12025,Broadalbin,NY,Fulton County,36.5
12027,Burnt Hills,NY,Saratoga County,36.5
12028,Buskirk,NY,Rensselaer County,36.5
12413,Cairo,NY,Greene County,36.5
12816,Cambridge,NY,Washington County,36.5
12029,Canaan,NY,Columbia County,36.5
13317,Canajoharie,NY,Montgomery County,36.5
12031,Carlisle,NY,Schoharie County,36.5
12032,Caroga Lake,NY,Fulton County,36.5
12033,Castleton On Hudson,NY,Rensselaer County,36.5
12035,Central Bridge,NY,Schoharie County,36.5
12036,Charlotteville,NY,Schoharie County,36.5
12037,Chatham,NY,Columbia County,36.5
12040,Cherry Plain,NY,Rensselaer County,36.5
13320,Cherry Valley,NY,Otsego County,36.5
12817,Chestertown,NY,Warren County,36.5
12041,Clarksville,NY,Albany County,36.5
12819,Clemons,NY,Washington County,36.5
12065,Clifton Park,NY,Saratoga County,36.5
12042,Climax,NY,Greene County,36.5
12043,Cobleskill,NY,Schoharie County,36.5
12045,Coeymans,NY,Albany County,36.5
12046,Coeymans Hollow,NY,Albany County,36.5
12047,Cohoes,NY,Albany County,36.5
12821,Comstock,NY,Washington County,36.5
13326,Cooperstown,NY,Otsego County,36.5
12822,Corinth,NY,Saratoga County,36.5
12418,Cornwallville,NY,Greene County,36.5
12823,Cossayuna,NY,Washington County,36.5
12051,Coxsackie,NY,Greene County,36.5
12052,Cropseyville,NY,Rensselaer County,36.5
13750,Davenport,NY,Delaware County,36.5
13751,Davenport Center,NY,Delaware County,36.5
12053,Delanson,NY,Schenectady County,36.5
13753,Delhi,NY,Delaware County,36.5
12054,Delmar,NY,Albany County,36.5
12824,Diamond Point,NY,Warren County,36.5
12056,Duanesburg,NY,Schenectady County,36.5
12422,Durham,NY,Greene County,36.5
12057,Eagle Bridge,NY,Washington County,36.5
12058,Earlton,NY,Greene County,36.5
12059,East Berne,NY,Albany County,36.5
12060,East Chatham,NY,Columbia County,36.5
12423,East Durham,NY,Greene County,36.5
12061,East Greenbush,NY,Rensselaer County,36.5
13757,East Meredith,NY,Delaware County,36.5
12062,East Nassau,NY,Rensselaer County,36.5
12063,East Schodack,NY,Rensselaer County,36.5
12064,East Worcester,NY,Otsego County,36.5
12066,Esperance,NY,Schoharie County,36.5
