zip,city,state,county,payout
19001,Abington,PA,Montgomery County,37.5
19002,Ambler,PA,Montgomery County,37.5
19003,Ardmore,PA,Montgomery County,37.5
19407,Audubon,PA,Montgomery County,37.5
19311,Avondale,PA,Chester County,36.5
19004,Bala Cynwyd,PA,Montgomery County,37.5
18910,Bedminster,PA,Bucks County,86.0
19020,Bensalem,PA,Bucks County,86.0
19312,Berwyn,PA,Chester County,37.5
19421,Birchrunville,PA,Chester County,36.5
18911,Blooming Glen,PA,Bucks County,86.0
19422,Blue Bell,PA,Montgomery County,37.5
19424,Blue Bell,PA,Montgomery County,37.5
19316,Brandamore,PA,Chester County,36.5
19405,Bridgeport,PA,Montgomery County,37.5
19007,Bristol,PA,Bucks County,86.0
19008,Broomall,PA,Delaware County,36.5
19009,Bryn Athyn,PA,Montgomery County,37.5
19010,Bryn Mawr,PA,Delaware County,37.5
18912,Buckingham,PA,Bucks County,86.0
18913,Carversville,PA,Bucks County,86.0
19423,Cedars,PA,Montgomery County,37.5
19317,Chadds Ford,PA,Delaware County,36.5
18914,Chalfont,PA,Bucks County,86.0
19318,Chatham,PA,Chester County,36.5
19425,Chester Springs,PA,Chester County,36.5
19319,Cheyney,PA,Delaware County,36.5
19320,Coatesville,PA,Chester County,36.5
19330,Cochranville,PA,Chester County,36.5
19426,Collegeville,PA,Montgomery County,37.5
18915,Colmar,PA,Montgomery County,37.5
19331,Concordville,PA,Delaware County,36.5
19339,Concordville,PA,Delaware County,36.5
19428,Conshohocken,PA,Montgomery County,37.5
19429,Conshohocken,PA,Montgomery County,37.5
18036,Coopersburg,PA,Lehigh County,86.0
19430,Creamery,PA,Montgomery County,37.5
18916,Danboro,PA,Bucks County,86.0
19432,Devault,PA,Chester County,36.5
19333,Devon,PA,Chester County,37.5
19335,Downingtown,PA,Chester County,36.5
18901,Doylestown,PA,Bucks County,86.0
18902,Doylestown,PA,Bucks County,86.0
19025,Dresher,PA,Montgomery County,37.5
18917,Dublin,PA,Bucks County,86.0
18039,Durham,PA,Bucks County,37.5
19408,Eagleville,PA,Montgomery County,37.5
18918,Earlington,PA,Montgomery County,37.5
19027,Elkins Park,PA,Montgomery County,37.5
18920,Erwinna,PA,Bucks County,86.0
19341,Exton,PA,Chester County,36.5
19030,Fairless Hills,PA,Bucks County,86.0
19409,Fairview Village,PA,Montgomery County,37.5
