zip,city,state,county,payout
37010,Adams,TN,Montgomery County,74.0
37011,Antioch,TN,Davidson County,77.5
37013,Antioch,TN,Davidson County,77.5
37014,Arrington,TN,Williamson County,74.0
37015,Ashland City,TN,Cheatham County,75.0
37016,Auburntown,TN,Cannon County,75.0
37024,Brentwood,TN,Williamson County,74.0
37027,Brentwood,TN,Williamson County,74.0
37031,Castalian Springs,TN,Sumner County,74.0
37032,Cedar Hill,TN,Robertson County,74.0
37034,Chapel Hill,TN,Marshall County,74.0
37035,Chapmansboro,TN,Cheatham County,75.0
37036,Charlotte,TN,Dickson County,75.0
37040,Clarksville,TN,Montgomery County,74.0
37041,Clarksville,TN,Montgomery County,74.0
37043,Clarksville,TN,Montgomery County,74.0
37044,Clarksville,TN,Montgomery County,74.0
37046,College Grove,TN,Williamson County,74.0
37048,Cottontown,TN,Sumner County,74.0
37049,Cross Plains,TN,Robertson County,74.0
37060,Eagleville,TN,Rutherford County,74.0
37062,Fairview,TN,Williamson County,74.0
37064,Franklin,TN,Williamson County,74.0
37065,Franklin,TN,Williamson County,74.0
37067,Franklin,TN,Williamson County,74.0
37068,Franklin,TN,Williamson County,74.0
37069,Franklin,TN,Williamson County,74.0
37066,Gallatin,TN,Sumner County,74.0
37071,Gladeville,TN,Wilson County,74.0
37070,Goodlettsville,TN,Davidson County,77.5
37072,Goodlettsville,TN,Davidson County,77.5
37073,Greenbrier,TN,Robertson County,74.0
37074,Hartsville,TN,Trousdale County,75.0
37075,Hendersonville,TN,Sumner County,74.0
37077,Hendersonville,TN,Sumner County,74.0
37076,Hermitage,TN,Davidson County,77.5
37080,Joelton,TN,Davidson County,77.5
37082,Kingston Springs,TN,Cheatham County,75.0
37086,La Vergne,TN,Rutherford County,74.0
37089,La Vergne,TN,Rutherford County,74.0
37085,Lascassas,TN,Rutherford County,74.0
37087,Lebanon,TN,Wilson County,74.0
37088,Lebanon,TN,Wilson County,74.0
37090,Lebanon,TN,Wilson County,74.0
37115,Madison,TN,Davidson County,77.5
37116,Madison,TN,Davidson County,77.5
37118,Milton,TN,Rutherford County,74.0
37121,Mount Juliet,TN,Wilson County,74.0
37122,Mount Juliet,TN,Wilson County,74.0
37127,Murfreesboro,TN,Rutherford County,74.0
37128,Murfreesboro,TN,Rutherford County,74.0
37129,Murfreesboro,TN,Rutherford County,74.0
37130,Murfreesboro,TN,Rutherford County,74.0
37131,Murfreesboro,TN,Rutherford County,74.0
37132,Murfreesboro,TN,Rutherford County,74.0
37133,Murfreesboro,TN,Rutherford County,74.0
37201,Nashville,TN,Davidson County,77.5
37202,Nashville,TN,Davidson County,77.5
37203,Nashville,TN,Davidson County,77.5
37204,Nashville,TN,Davidson County,77.5
37205,Nashville,TN,Davidson County,77.5
37206,Nashville,TN,Davidson County,77.5
37207,Nashville,TN,Davidson County,77.5
37208,Nashville,TN,Davidson County,77.5
37209,Nashville,TN,Davidson County,77.5
37210,Nashville,TN,Davidson County,77.5
37211,Nashville,TN,Davidson County,77.5
37212,Nashville,TN,Davidson County,77.5
37213,Nashville,TN,Davidson County,77.5
37214,Nashville,TN,Davidson County,77.5
37215,Nashville,TN,Davidson County,77.5
37216,Nashville,TN,Davidson County,77.5
37217,Nashville,TN,Davidson County,77.5
37218,Nashville,TN,Davidson County,77.5
37219,Nashville,TN,Davidson County,77.5
37220,Nashville,TN,Davidson County,77.5
37221,Nashville,TN,Davidson County,77.5
37222,Nashville,TN,Davidson County,77.5
37224,Nashville,TN,Davidson County,77.5
37227,Nashville,TN,Davidson County,77.5
37228,Nashville,TN,Davidson County,77.5
37229,Nashville,TN,Davidson County,77.5
37230,Nashville,TN,Davidson County,77.5
37232,Nashville,TN,Davidson County,77.5
37234,Nashville,TN,Davidson County,77.5
37235,Nashville,TN,Davidson County,77.5
37236,Nashville,TN,Davidson County,77.5
37238,Nashville,TN,Davidson County,77.5
37240,Nashville,TN,Davidson County,77.5
37241,Nashville,TN,Davidson County,77.5
37242,Nashville,TN,Davidson County,77.5
37243,Nashville,TN,Davidson County,77.5
37244,Nashville,TN,Davidson County,77.5
37246,Nashville,TN,Davidson County,77.5
37250,Nashville,TN,Davidson County,77.5
37135,Nolensville,TN,Williamson County,74.0
37136,Norene,TN,Wilson County,74.0
37138,Old Hickory,TN,Davidson County,77.5
37143,Pegram,TN,Cheatham County,75.0
37146,Pleasant View,TN,Cheatham County,75.0
37152,Ridgetop,TN,Robertson County,74.0
37153,Rockvale,TN,Rutherford County,74.0
37167,Smyrna,TN,Rutherford County,74.0
37171,Southside,TN,Montgomery County,74.0
37174,Spring Hill,TN,Williamson County,75.0
37172,Springfield,TN,Robertson County,74.0
37179,Thompsons Station,TN,Williamson County,74.0
37184,Watertown,TN,Wilson County,74.0
37187,White Bluff,TN,Dickson County,75.0
37188,White House,TN,Robertson County,74.0
37189,Whites Creek,TN,Davidson County,77.5
