zip,city,state,county,payout
75001,Addison,TX,Dallas County,74.0
75002,Allen,TX,Collin County,81.5
75013,Allen,TX,Collin County,81.5
75409,Anna,TX,Collin County,81.5
76226,Argyle,TX,Denton County,81.5
76001,Arlington,TX,Tarrant County,81.5
76002,Arlington,TX,Tarrant County,81.5
76003,Arlington,TX,Tarrant County,81.5
76004,Arlington,TX,Tarrant County,81.5
76005,Arlington,TX,Tarrant County,81.5
76006,Arlington,TX,Tarrant County,81.5
76007,Arlington,TX,Tarrant County,81.5
76010,Arlington,TX,Tarrant County,81.5
76011,Arlington,TX,Tarrant County,81.5
76012,Arlington,TX,Tarrant County,81.5
76013,Arlington,TX,Tarrant County,81.5
76014,Arlington,TX,Tarrant County,81.5
76015,Arlington,TX,Tarrant County,81.5
76016,Arlington,TX,Tarrant County,81.5
76017,Arlington,TX,Tarrant County,81.5
76018,Arlington,TX,Tarrant County,81.5
76019,Arlington,TX,Tarrant County,81.5
76094,Arlington,TX,Tarrant County,81.5
76096,Arlington,TX,Tarrant County,81.5
76227,Aubrey,TX,Denton County,81.5
73301,Austin,TX,Travis County,85.5
73344,Austin,TX,Travis County,85.5
78701,Austin,TX,Travis County,85.5
78702,Austin,TX,Travis County,85.5
78703,Austin,TX,Travis County,85.5
78704,Austin,TX,Travis County,85.5
78705,Austin,TX,Travis County,85.5
78708,Austin,TX,Travis County,85.5
78709,Austin,TX,Travis County,85.5
78710,Austin,TX,Travis County,85.5
78711,Austin,TX,Travis County,85.5
78712,Austin,TX,Travis County,85.5
78713,Austin,TX,Travis County,85.5
78714,Austin,TX,Travis County,85.5
78715,Austin,TX,Travis County,85.5
78716,Austin,TX,Travis County,85.5
78717,Austin,TX,Williamson County,78.0
78718,Austin,TX,Travis County,85.5
78719,Austin,TX,Travis County,85.5
78720,Austin,TX,Travis County,85.5
78721,Austin,TX,Travis County,85.5
78722,Austin,TX,Travis County,85.5
78723,Austin,TX,Travis County,85.5
78724,Austin,TX,Travis County,85.5
78725,Austin,TX,Travis County,85.5
78726,Austin,TX,Travis County,85.5
78727,Austin,TX,Travis County,85.5
78728,Austin,TX,Travis County,85.5
78729,Austin,TX,Williamson County,78.0
78730,Austin,TX,Travis County,85.5
78731,Austin,TX,Travis County,85.5
78732,Austin,TX,Travis County,85.5
78733,Austin,TX,Travis County,85.5
