zip,city,state,county,payout
84004,Alpine,UT,Utah County,77.5
84003,American Fork,UT,Utah County,77.5
84620,Aurora,UT,Sevier County,74.0
84713,Beaver,UT,Beaver County,74.0
84006,Bingham Canyon,UT,Salt Lake County,77.5
84007,Bluebell,UT,Duchesne County,77.5
84010,Bountiful,UT,Davis County,78.0
84719,Brian Head,UT,Iron County,74.0
84302,Brigham City,UT,Box Elder County,74.0
84720,Cedar City,UT,Iron County,74.0
84721,Cedar City,UT,Iron County,74.0
84013,Cedar Valley,UT,Utah County,77.5
84014,Centerville,UT,Davis County,78.0
84722,Central,UT,Washington County,74.0
84015,Clearfield,UT,Davis County,78.0
84016,Clearfield,UT,Davis County,78.0
84017,Coalville,UT,Summit County,74.0
84306,Collinston,UT,Box Elder County,74.0
84018,Croydon,UT,Morgan County,74.0
84783,Dammeron Valley,UT,Washington County,74.0
84624,Delta,UT,Millard County,74.0
84020,Draper,UT,Salt Lake County,77.5
84762,Duck Creek Village,UT,Kane County,74.0
84005,Eagle Mountain,UT,Utah County,77.5
84310,Eden,UT,Weber County,74.0
84626,Elberta,UT,Utah County,77.5
84725,Enterprise,UT,Washington County,74.0
84628,Eureka,UT,Juab County,74.0
84629,Fairview,UT,Sanpete County,77.5
84025,Farmington,UT,Davis County,78.0
84630,Fayette,UT,Sanpete County,77.5
84311,Fielding,UT,Box Elder County,74.0
84027,Fruitland,UT,Duchesne County,77.5
84312,Garland,UT,Box Elder County,74.0
84633,Goshen,UT,Utah County,77.5
84029,Grantsville,UT,Tooele County,74.0
84032,Heber City,UT,Wasatch County,74.0
84526,Helper,UT,Carbon County,74.0
84033,Henefer,UT,Summit County,74.0
84096,Herriman,UT,Salt Lake County,77.5
84784,Hildale,UT,Washington County,74.0
84056,Hill Afb,UT,Davis County,78.0
84314,Honeyville,UT,Box Elder County,74.0
84315,Hooper,UT,Weber County,74.0
84317,Huntsville,UT,Weber County,74.0
84737,Hurricane,UT,Washington County,74.0
84318,Hyde Park,UT,Cache County,74.0
84319,Hyrum,UT,Cache County,74.0
84738,Ivins,UT,Washington County,74.0
84036,Kamas,UT,Summit County,74.0
84742,Kanarraville,UT,Iron County,74.0
84037,Kaysville,UT,Davis County,78.0
84745,La Verkin,UT,Washington County,74.0
84040,Layton,UT,Davis County,78.0
84041,Layton,UT,Davis County,78.0
84043,Lehi,UT,Utah County,77.5
84639,Levan,UT,Juab County,74.0
84042,Lindon,UT,Utah County,77.5
84321,Logan,UT,Cache County,74.0
84341,Logan,UT,Cache County,74.0
84044,Magna,UT,Salt Lake County,77.5
84324,Mantua,UT,Box Elder County,74.0
84664,Mapleton,UT,Utah County,77.5
84325,Mendon,UT,Cache County,74.0
84047,Midvale,UT,Salt Lake County,77.5
84049,Midway,UT,Wasatch County,74.0
84645,Mona,UT,Juab County,74.0
84050,Morgan,UT,Morgan County,74.0
84646,Moroni,UT,Sanpete County,77.5
84648,Nephi,UT,Juab County,74.0
84757,New Harmony,UT,Washington County,74.0
84756,Newcastle,UT,Iron County,74.0
84054,North Salt Lake,UT,Davis County,78.0
84055,Oakley,UT,Summit County,74.0
84401,Ogden,UT,Weber County,74.0
84403,Ogden,UT,Weber County,74.0
84404,Ogden,UT,Weber County,74.0
84405,Ogden,UT,Weber County,74.0
84414,Ogden,UT,Weber County,74.0
84537,Orangeville,UT,Emery County,74.0
84057,Orem,UT,Utah County,77.5
84058,Orem,UT,Utah County,77.5
84097,Orem,UT,Utah County,77.5
84328,Paradise,UT,Cache County,74.0
84760,Paragonah,UT,Iron County,74.0
84060,Park City,UT,Summit County,74.0
84068,Park City,UT,Summit County,74.0
84098,Park City,UT,Summit County,74.0
84761,Parowan,UT,Iron County,74.0
84651,Payson,UT,Utah County,77.5
84061,Peoa,UT,Summit County,74.0
84781,Pine Valley,UT,Washington County,74.0
84062,Pleasant Grove,UT,Utah County,77.5
84330,Plymouth,UT,Box Elder County,74.0
84501,Price,UT,Carbon County,74.0
84332,Providence,UT,Cache County,74.0
84601,Provo,UT,Utah County,77.5
84602,Provo,UT,Utah County,77.5
84604,Provo,UT,Utah County,77.5
84606,Provo,UT,Utah County,77.5
84701,Richfield,UT,Sevier County,74.0
84333,Richmond,UT,Cache County,74.0
84065,Riverton,UT,Salt Lake County,77.5
84763,Rockville,UT,Washington County,74.0
84067,Roy,UT,Weber County,74.0
84069,Rush Valley,UT,Tooele County,74.0
84770,Saint George,UT,Washington County,74.0
84771,Saint George,UT,Washington County,74.0
84790,Saint George,UT,Washington County,74.0
84791,Saint George,UT,Washington County,74.0
84653,Salem,UT,Utah County,77.5
84654,Salina,UT,Sevier County,74.0
84101,Salt Lake City,UT,Salt Lake County,77.5
84102,Salt Lake City,UT,Salt Lake County,77.5
84103,Salt Lake City,UT,Salt Lake County,77.5
84104,Salt Lake City,UT,Salt Lake County,77.5
84105,Salt Lake City,UT,Salt Lake County,77.5
84106,Salt Lake City,UT,Salt Lake County,77.5
84107,Salt Lake City,UT,Salt Lake County,77.5
84108,Salt Lake City,UT,Salt Lake County,77.5
84109,Salt Lake City,UT,Salt Lake County,77.5
84111,Salt Lake City,UT,Salt Lake County,77.5
84115,Salt Lake City,UT,Salt Lake County,77.5
84116,Salt Lake City,UT,Salt Lake County,77.5
84117,Salt Lake City,UT,Salt Lake County,77.5
84118,Salt Lake City,UT,Salt Lake County,77.5
84121,Salt Lake City,UT,Salt Lake County,77.5
84123,Salt Lake City,UT,Salt Lake County,77.5
84124,Salt Lake City,UT,Salt Lake County,77.5
84070,Sandy,UT,Salt Lake County,77.5
84092,Sandy,UT,Salt Lake County,77.5
84093,Sandy,UT,Salt Lake County,77.5
84094,Sandy,UT,Salt Lake County,77.5
84765,Santa Clara,UT,Washington County,74.0
84655,Santaquin,UT,Utah County,77.5
84045,Saratoga Springs,UT,Utah County,77.5
84335,Smithfield,UT,Cache County,74.0
84095,South Jordan,UT,Salt Lake County,77.5
84660,Spanish Fork,UT,Utah County,77.5
84767,Springdale,UT,Washington County,74.0
84663,Springville,UT,Utah County,77.5
84665,Sterling,UT,Sanpete County,77.5
84071,Stockton,UT,Tooele County,74.0
84772,Summit,UT,Iron County,74.0
84075,Syracuse,UT,Davis County,78.0
84072,Tabiona,UT,Duchesne County,77.5
84074,Tooele,UT,Tooele County,74.0
84774,Toquerville,UT,Washington County,74.0
84337,Tremonton,UT,Box Elder County,74.0
84782,Veyo,UT,Washington County,74.0
84059,Vineyard,UT,Utah County,77.5
84779,Virgin,UT,Washington County,74.0
84082,Wallsburg,UT,Wasatch County,74.0
84780,Washington,UT,Washington County,74.0
84542,Wellington,UT,Carbon County,74.0
84339,Wellsville,UT,Cache County,74.0
84081,West Jordan,UT,Salt Lake County,77.5
84084,West Jordan,UT,Salt Lake County,77.5
84088,West Jordan,UT,Salt Lake County,77.5
84119,West Valley City,UT,Salt Lake County,77.5
84120,West Valley City,UT,Salt Lake County,77.5
84128,West Valley City,UT,Salt Lake County,77.5
84340,Willard,UT,Box Elder County,74.0
84087,Woods Cross,UT,Davis County,78.0
