zip,city,state,county,payout
98601,Amboy,WA,Clark County,78.5
98603,Ariel,WA,Cowlitz County,86.0
98604,Battle Ground,WA,Clark County,78.5
98605,Bingen,WA,Klickitat County,81.5
98606,Brush Prairie,WA,Clark County,78.5
98607,Camas,WA,Clark County,78.5
98609,Carrolls,WA,Cowlitz County,86.0
98610,Carson,WA,Skamania County,81.5
98611,Castle Rock,WA,Cowlitz County,86.0
98616,Cougar,WA,Cowlitz County,86.0
98625,Kalama,WA,Cowlitz County,86.0
98626,Kelso,WA,Cowlitz County,86.0
98629,La Center,WA,Clark County,78.5
98632,Longview,WA,Cowlitz County,86.0
98639,North Bonneville,WA,Skamania County,81.5
98642,Ridgefield,WA,Clark County,78.5
98581,Ryderwood,WA,Cowlitz County,86.0
98645,Silverlake,WA,Cowlitz County,86.0
98648,Stevenson,WA,Skamania County,81.5
98649,Toutle,WA,Cowlitz County,86.0
98651,Underwood,WA,Skamania County,81.5
98660,Vancouver,WA,Clark County,78.5
98661,Vancouver,WA,Clark County,78.5
98662,Vancouver,WA,Clark County,78.5
98663,Vancouver,WA,Clark County,78.5
98664,Vancouver,WA,Clark County,78.5
98665,Vancouver,WA,Clark County,78.5
98666,Vancouver,WA,Clark County,78.5
98668,Vancouver,WA,Clark County,78.5
98682,Vancouver,WA,Clark County,78.5
98683,Vancouver,WA,Clark County,78.5
98684,Vancouver,WA,Clark County,78.5
98685,Vancouver,WA,Clark County,78.5
98686,Vancouver,WA,Clark County,78.5
98687,Vancouver,WA,Clark County,78.5
98671,Washougal,WA,Clark County,78.5
98672,White Salmon,WA,Klickitat County,81.5
98674,Woodland,WA,Cowlitz County,86.0
98675,Yacolt,WA,Clark County,78.5
