zip,city,state,county,payout
35007,Alabaster,AL,Shelby County,32.5
35014,Alpine,AL,Talladega County,32.5
35610,Anderson,AL,Lauderdale County,32.5
36202,Anniston,AL,Calhoun County,32.5
36207,Anniston,AL,Calhoun County,32.5
35611,Athens,AL,Limestone County,32.5
36003,Autaugaville,AL,Autauga County,32.5
35545,Belk,AL,Fayette County,32.5
36901,Bellamy,AL,Sumter County,32.5
35216,Birmingham,AL,Jefferson County,32.5
35224,Birmingham,AL,Jefferson County,32.5
35237,Birmingham,AL,Jefferson County,32.5
35292,Birmingham,AL,Jefferson County,32.5
35956,Boaz,AL,Etowah County,32.5
36427,Brewton,AL,Escambia County,32.5
35038,Burnwell,AL,Walker County,32.5
35052,Cook Springs,AL,St. Clair County,32.5
35602,Decatur,AL,Morgan County,32.5
36436,Dickinson,AL,Clarke County,32.5
35463,Fosters,AL,Tuscaloosa County,32.5
36446,Fulton,AL,Clarke County,32.5
35559,Glen Allen,AL,Fayette County,32.5
35560,Goodsprings,AL,Walker County,32.5
35077,Hanceville,AL,Cullman County,32.5
36039,Hardaway,AL,Macon County,32.5
35749,Harvest,AL,Madison County,32.5
36264,Heflin,AL,Cleburne County,32.5
35080,Helena,AL,Shelby County,32.5
35571,Hodges,AL,Franklin County,32.5
36543,Huxford,AL,Escambia County,32.5
36910,Jachin,AL,Choctaw County,32.5
36545,Jackson,AL,Clarke County,32.5
36749,Jones,AL,Autauga County,32.5
35087,Joppa,AL,Cullman County,32.5
35469,Knoxville,AL,Greene County,32.5
36865,Loachapoka,AL,Lee County,32.5
35098,Logan,AL,Cullman County,32.5
35112,Margaret,AL,St. Clair County,32.5
36553,McIntosh,AL,Washington County,32.5
36640,Mobile,AL,Mobile County,32.5
36141,Montgomery,AL,Montgomery County,32.5
36467,Opp,AL,Covington County,32.5
36065,Pine Level,AL,Montgomery County,32.5
36564,Point Clear,AL,Baldwin County,32.5
35481,Reform,AL,Pickens County,32.5
35135,Riverside,AL,St. Clair County,32.5
36701,Selma,AL,Dallas County,32.5
36577,Spanish Fort,AL,Baldwin County,32.5
36275,Spring Garden,AL,Cherokee County,32.5
35147,Sterrett,AL,Shelby County,32.5
35161,Talladega,AL,Talladega County,32.5
36784,Thomasville,AL,Clarke County,32.5
35401,Tuscaloosa,AL,Tuscaloosa County,32.5
