zip,city,state,county,payout
72921,Alma,AR,Crawford County,32.5
71998,Arkadelphia,AR,Clark County,32.5
72501,Batesville,AR,Independence County,32.5
72011,Bauxite,AR,Saline County,32.5
72714,Bella Vista,AR,Benton County,32.5
72715,Bella Vista,AR,Benton County,32.5
72018,Benton,AR,Saline County,32.5
72158,Benton,AR,Saline County,32.5
72617,Big Flat,AR,Baxter County,32.5
71929,Bismarck,AR,Hot Spring County,32.5
72414,Black Oak,AR,Craighead County,32.5
72020,Bradford,AR,White County,32.5
72021,Brinkley,AR,Monroe County,32.5
71828,Cale,AR,Nevada County,32.5
71725,Carthage,AR,Dallas County,32.5
71940,Delight,AR,Pike County,32.5
71730,El Dorado,AR,Union County,32.5
71740,Emerson,AR,Columbia County,32.5
72534,Floral,AR,Independence County,32.5
72913,Fort Smith,AR,Sebastian County,32.5
72917,Fort Smith,AR,Sebastian County,32.5
72733,Gateway,AR,Benton County,32.5
71943,Glenwood,AR,Pike County,32.5
72602,Harrison,AR,Boone County,32.5
72640,Hasty,AR,Newton County,32.5
72545,Heber Springs,AR,Cleburne County,32.5
71647,Hermitage,AR,Bradley County,32.5
71802,Hope,AR,Hempstead County,32.5
72741,Johnson,AR,Washington County,32.5
72353,Lambrook,AR,Phillips County,32.5
71952,Langley,AR,Pike County,32.5
72644,Lead Hill,AR,Boone County,32.5
72219,Little Rock,AR,Pulaski County,32.5
71655,Monticello,AR,Drew County,32.5
71657,Monticello,AR,Drew County,32.5
72561,Mount Pleasant,AR,Izard County,32.5
72661,Oakland,AR,Marion County,32.5
71961,Oden,AR,Montgomery County,32.5
71855,Ozan,AR,Hempstead County,32.5
72855,Paris,AR,Logan County,32.5
72458,Powhatan,AR,Lawrence County,32.5
72672,Pyatt,AR,Marion County,32.5
72460,Ravenden Springs,AR,Randolph County,32.5
71665,Rison,AR,Cleveland County,32.5
72812,Russellville,AR,Pope County,32.5
72464,Saint Francis,AR,Clay County,32.5
72575,Salado,AR,Independence County,32.5
72466,Smithville,AR,Lawrence County,32.5
72764,Springdale,AR,Washington County,32.5
71765,Strong,AR,Union County,32.5
71972,Vandervoort,AR,Polk County,32.5
72683,Vendor,AR,Newton County,32.5
71862,Washington,AR,Hempstead County,32.5
