zip,city,state,county,payout
85332,Congress,AZ,Yavapai County,32.5
86003,Flagstaff,AZ,Coconino County,32.5
86035,Leupp,AZ,Coconino County,32.5
85014,Phoenix,AZ,Maricopa County,32.5
85021,Phoenix,AZ,Maricopa County,32.5
86305,Prescott,AZ,Yavapai County,32.5
85545,Roosevelt,AZ,Gila County,32.5
85255,Scottsdale,AZ,Maricopa County,32.5
85256,Scottsdale,AZ,Maricopa County,32.5
85257,Scottsdale,AZ,Maricopa County,32.5
85388,Surprise,AZ,Maricopa County,32.5
86045,Tuba City,AZ,Coconino County,32.5
85363,Youngtown,AZ,Maricopa County,32.5
