zip,city,state,county,payout
06334,Bozrah,CT,New London County,32.5
06022,Collinsville,CT,Hartford County,32.5
06753,Cornwall,CT,Litchfield County,32.5
06754,Cornwall Bridge,CT,Litchfield County,32.5
06813,Danbury,CT,Fairfield County,32.5
06032,Farmington,CT,Hartford County,32.5
06247,Hampton,CT,Windham County,32.5
06142,Hartford,CT,Hartford County,32.5
06161,Hartford,CT,Hartford County,32.5
06791,Harwinton,CT,Litchfield County,32.5
06443,Madison,CT,New Haven County,32.5
06451,Meriden,CT,New Haven County,32.5
06353,Montville,CT,New London County,32.5
06354,Moosup,CT,Windham County,32.5
06812,New Fairfield,CT,Fairfield County,32.5
06507,New Haven,CT,New Haven County,32.5
06532,New Haven,CT,New Haven County,32.5
06357,Niantic,CT,New London County,32.5
06474,North Westchester,CT,New London County,32.5
06850,Norwalk,CT,Fairfield County,32.5
06856,Norwalk,CT,Fairfield County,32.5
06876,Redding Ridge,CT,Fairfield County,32.5
06901,Stamford,CT,Fairfield County,32.5
06133,West Hartford,CT,Hartford County,32.5
06388,West Mystic,CT,New London County,32.5
06881,Westport,CT,Fairfield County,32.5
06281,Woodstock,CT,Windham County,32.5
