zip,city,state,county,payout
32715,Altamonte Springs,FL,Seminole County,32.5
33820,Alturas,FL,Polk County,32.5
32704,Apopka,FL,Orange County,32.5
34269,Arcadia,FL,Desoto County,32.5
32530,Bagdad,FL,Santa Rosa County,32.5
34420,Belleview,FL,Marion County,32.5
33487,Boca Raton,FL,Palm Beach County,32.5
33498,Boca Raton,FL,Palm Beach County,32.5
33834,Bowling Green,FL,Hardee County,32.5
34212,Bradenton,FL,Manatee County,32.5
32322,Carrabelle,FL,Franklin County,32.5
32427,Caryville,FL,Washington County,32.5
32625,Cedar Key,FL,Levy County,32.5
33763,Clearwater,FL,Pinellas County,32.5
32922,Cocoa,FL,Brevard County,32.5
32923,Cocoa,FL,Brevard County,32.5
33097,Coconut Creek,FL,Broward County,32.5
32628,Cross City,FL,Dixie County,32.5
34429,Crystal River,FL,Citrus County,32.5
33525,Dade City,FL,Pasco County,32.5
32115,Daytona Beach,FL,Volusia County,32.5
32116,Daytona Beach,FL,Volusia County,32.5
32124,Daytona Beach,FL,Volusia County,32.5
32130,De Leon Springs,FL,Volusia County,32.5
33445,Delray Beach,FL,Palm Beach County,32.5
34697,Dunedin,FL,Pinellas County,32.5
34432,Dunnellon,FL,Marion County,32.5
33928,Estero,FL,Lee County,32.5
33324,Fort Lauderdale,FL,Broward County,32.5
33337,Fort Lauderdale,FL,Broward County,32.5
33907,Fort Myers,FL,Lee County,32.5
33912,Fort Myers,FL,Lee County,32.5
33931,Fort Myers Beach,FL,Lee County,32.5
33932,Fort Myers Beach,FL,Lee County,32.5
34267,Fort Ogden,FL,Desoto County,32.5
34950,Fort Pierce,FL,St. Lucie County,32.5
34981,Fort Pierce,FL,St. Lucie County,32.5
32605,Gainesville,FL,Alachua County,32.5
32042,Graham,FL,Bradford County,32.5
33454,Greenacres,FL,Palm Beach County,32.5
32330,Greensboro,FL,Gadsden County,32.5
32640,Hawthorne,FL,Putnam County,32.5
33002,Hialeah,FL,Miami-Dade County,32.5
33475,Hobe Sound,FL,Martin County,32.5
33022,Hollywood,FL,Broward County,32.5
33035,Homestead,FL,Miami-Dade County,32.5
33039,Homestead,FL,Miami-Dade County,32.5
32148,Interlachen,FL,Putnam County,32.5
32654,Island Grove,FL,Alachua County,32.5
32220,Jacksonville,FL,Duval County,32.5
32224,Jacksonville,FL,Duval County,32.5
34957,Jensen Beach,FL,Martin County,32.5
33458,Jupiter,FL,Palm Beach County,32.5
33469,Jupiter,FL,Palm Beach County,32.5
34739,Kenansville,FL,Osceola County,32.5
34742,Kissimmee,FL,Osceola County,32.5
34745,Kissimmee,FL,Osceola County,32.5
34758,Kissimmee,FL,Osceola County,32.5
34759,Kissimmee,FL,Polk County,32.5
33898,Lake Wales,FL,Polk County,32.5
33462,Lake Worth,FL,Palm Beach County,32.5
33815,Lakeland,FL,Polk County,32.5
33771,Largo,FL,Pinellas County,32.5
32752,Longwood,FL,Seminole County,32.5
32902,Melbourne,FL,Brevard County,32.5
32934,Melbourne,FL,Brevard County,32.5
32941,Melbourne,FL,Brevard County,32.5
33111,Miami,FL,Miami-Dade County,32.5
33125,Miami,FL,Miami-Dade County,32.5
33144,Miami,FL,Miami-Dade County,32.5
33146,Miami,FL,Miami-Dade County,32.5
33179,Miami,FL,Miami-Dade County,32.5
33188,Miami,FL,Miami-Dade County,32.5
33261,Miami,FL,Miami-Dade County,32.5
33280,Miami,FL,Miami-Dade County,32.5
33056,Miami Gardens,FL,Miami-Dade County,32.5
32345,Monticello,FL,Jefferson County,32.5
32668,Morriston,FL,Levy County,32.5
34101,Naples,FL,Collier County,32.5
34103,Naples,FL,Collier County,32.5
34105,Naples,FL,Collier County,32.5
34110,Naples,FL,Collier County,32.5
34268,Nocatee,FL,Desoto County,32.5
33903,North Fort Myers,FL,Lee County,32.5
32067,Orange Park,FL,Clay County,32.5
32806,Orlando,FL,Orange County,32.5
32867,Orlando,FL,Orange County,32.5
32897,Orlando,FL,Orange County,32.5
32174,Ormond Beach,FL,Volusia County,32.5
32175,Ormond Beach,FL,Volusia County,32.5
32767,Paisley,FL,Lake County,32.5
32503,Pensacola,FL,Escambia County,32.5
32508,Pensacola,FL,Escambia County,32.5
32534,Pensacola,FL,Escambia County,32.5
33565,Plant City,FL,Hillsborough County,32.5
32181,Pomona Park,FL,Putnam County,32.5
32127,Port Orange,FL,Volusia County,32.5
34668,Port Richey,FL,Pasco County,32.5
34953,Port Saint Lucie,FL,St. Lucie County,32.5
34983,Port Saint Lucie,FL,St. Lucie County,32.5
34985,Port Saint Lucie,FL,St. Lucie County,32.5
33955,Punta Gorda,FL,Charlotte County,32.5
33421,Royal Palm Beach,FL,Palm Beach County,32.5
32086,Saint Augustine,FL,St. Johns County,32.5
32355,Saint Marks,FL,Wakulla County,32.5
33716,Saint Petersburg,FL,Pinellas County,32.5
34233,Sarasota,FL,Sarasota County,32.5
34239,Sarasota,FL,Sarasota County,32.5
33772,Seminole,FL,Pinellas County,32.5
34488,Silver Springs,FL,Marion County,32.5
34489,Silver Springs,FL,Marion County,32.5
32301,Tallahassee,FL,Leon County,32.5
32302,Tallahassee,FL,Leon County,32.5
32318,Tallahassee,FL,Leon County,32.5
32399,Tallahassee,FL,Leon County,32.5
33618,Tampa,FL,Hillsborough County,32.5
33634,Tampa,FL,Hillsborough County,32.5
33689,Tampa,FL,Hillsborough County,32.5
32777,Tangerine,FL,Orange County,32.5
34250,Terra Ceia,FL,Manatee County,32.5
32580,Valparaiso,FL,Okaloosa County,32.5
34292,Venice,FL,Sarasota County,32.5
32962,Vero Beach,FL,Indian River County,32.5
32965,Vero Beach,FL,Indian River County,32.5
33544,Wesley Chapel,FL,Pasco County,32.5
34786,Windermere,FL,Orange County,32.5
34778,Winter Garden,FL,Orange County,32.5
33881,Winter Haven,FL,Polk County,32.5
34797,Yalaha,FL,Lake County,32.5
33542,Zephyrhills,FL,Pasco County,32.5
