zip,city,state,county,payout
83311,Albion,ID,Cassia County,32.5
83221,Blackfoot,ID,Bingham County,32.5
83716,Boise,ID,Ada County,32.5
83811,Clark Fork,ID,Bonner County,32.5
83239,Georgetown,ID,Bear Lake County,32.5
83241,Grace,ID,Caribou County,32.5
83425,Hamer,ID,Jefferson County,32.5
83537,Kendrick,ID,Latah County,32.5
83634,Kuna,ID,Ada County,32.5
83342,Malta,ID,Cassia County,32.5
83644,Middleton,ID,Canyon County,32.5
83656,Notus,ID,Canyon County,32.5
83822,Oldtown,ID,Bonner County,32.5
83201,Pocatello,ID,Bannock County,32.5
83206,Pocatello,ID,Bannock County,32.5
83209,Pocatello,ID,Bannock County,32.5
83854,Post Falls,ID,Kootenai County,32.5
83349,Richfield,ID,Lincoln County,32.5
83443,Ririe,ID,Jefferson County,32.5
83274,Shelley,ID,Bingham County,32.5
83869,Spirit Lake,ID,Kootenai County,32.5
83353,Sun Valley,ID,Blaine County,32.5
