zip,city,state,county,payout
46910,Akron,IN,Fulton County,32.5
46710,Avilla,IN,Noble County,32.5
46301,Beverly Shores,IN,Porter County,32.5
47512,Bicknell,IN,Knox County,32.5
47831,Blanford,IN,Vermillion County,32.5
47836,Bridgeton,IN,Parke County,32.5
47012,Brookville,IN,Franklin County,32.5
47926,Burnettsville,IN,White County,32.5
47519,Cannelburg,IN,Daviess County,32.5
46115,Carthage,IN,Rush County,32.5
47928,Cayuga,IN,Vermillion County,32.5
47929,Chalmers,IN,White County,32.5
47611,Chrisney,IN,Spencer County,32.5
47847,Dana,IN,Vermillion County,32.5
46036,Elwood,IN,Madison County,32.5
47706,Evansville,IN,Vanderburgh County,32.5
47712,Evansville,IN,Vanderburgh County,32.5
47720,Evansville,IN,Vanderburgh County,32.5
47849,Fairbanks,IN,Sullivan County,32.5
46039,Forest,IN,Clinton County,32.5
46862,Fort Wayne,IN,Allen County,32.5
46130,Fountaintown,IN,Shelby County,32.5
46930,Fowlerton,IN,Grant County,32.5
46932,Galveston,IN,Cass County,32.5
46409,Gary,IN,Lake County,32.5
47342,Gaston,IN,Delaware County,32.5
47344,Greensboro,IN,Henry County,32.5
47853,Harmony,IN,Clay County,32.5
47437,Huron,IN,Lawrence County,32.5
46203,Indianapolis,IN,Marion County,32.5
46204,Indianapolis,IN,Marion County,32.5
46225,Indianapolis,IN,Marion County,32.5
46229,Indianapolis,IN,Marion County,32.5
46234,Indianapolis,IN,Marion County,32.5
46241,Indianapolis,IN,Marion County,32.5
46251,Indianapolis,IN,Marion County,32.5
47351,Kennard,IN,Henry County,32.5
46760,Kimmell,IN,Noble County,32.5
46903,Kokomo,IN,Howard County,32.5
46538,Leesburg,IN,Kosciusko County,32.5
46765,Leo,IN,Allen County,32.5
47551,Leopold,IN,Perry County,32.5
47354,Losantville,IN,Randolph County,32.5
47859,Marshall,IN,Parke County,32.5
46154,Maxwell,IN,Hancock County,32.5
46155,Mays,IN,Rush County,32.5
47302,Muncie,IN,Delaware County,32.5
47306,Muncie,IN,Delaware County,32.5
47150,New Albany,IN,Floyd County,32.5
47863,New Goshen,IN,Vigo County,32.5
46553,New Paris,IN,Elkhart County,32.5
47968,New Ross,IN,Montgomery County,32.5
47264,Norman,IN,Jackson County,32.5
47660,Oakland City,IN,Gibson County,32.5
46778,Petroleum,IN,Wells County,32.5
46562,Pierceton,IN,Kosciusko County,32.5
47166,Ramsey,IN,Harrison County,32.5
47977,Remington,IN,Jasper County,32.5
47574,Rome,IN,Perry County,32.5
46376,Schneider,IN,Lake County,32.5
46787,South Whitley,IN,Whitley County,32.5
47460,Spencer,IN,Owen County,32.5
46985,Star City,IN,Pulaski County,32.5
47881,Staunton,IN,Clay County,32.5
46986,Swayzee,IN,Grant County,32.5
46571,Topeka,IN,Lagrange County,32.5
46181,Trafalgar,IN,Johnson County,32.5
47591,Vincennes,IN,Knox County,32.5
47598,Winslow,IN,Pike County,32.5
46077,Zionsville,IN,Boone County,32.5
