zip,city,state,county,payout
42201,Aberdeen,KY,Butler County,32.5
40801,Ages Brookside,KY,Harlan County,32.5
41105,Ashland,KY,Boyd County,32.5
40003,Bagdad,KY,Shelby County,32.5
42320,Beaver Dam,KY,Ohio County,32.5
42321,Beech Creek,KY,Muhlenberg County,32.5
41004,Brooksville,KY,Bracken County,32.5
42210,Brownsville,KY,Edmonson County,32.5
42720,Cane Valley,KY,Adair County,32.5
40923,Cannon,KY,Knox County,32.5
40012,Chaplin,KY,Nelson County,32.5
41016,Covington,KY,Kenton County,32.5
42033,Crayne,KY,Crittenden County,32.5
40823,Cumberland,KY,Harlan County,32.5
40930,Dewitt,KY,Knox County,32.5
42339,Dunmor,KY,Muhlenberg County,32.5
40317,Elliottville,KY,Rowan County,32.5
41219,Flatgap,KY,Johnson County,32.5
40143,Hardinsburg,KY,Breckinridge County,32.5
41049,Hillsboro,KY,Fleming County,32.5
42350,Island,KY,Mclean County,32.5
40337,Jeffersonville,KY,Montgomery County,32.5
40847,Kenvir,KY,Harlan County,32.5
41539,Kimper,KY,Pike County,32.5
41754,Krypton,KY,Perry County,32.5
41015,Latonia,KY,Kenton County,32.5
42351,Lewisport,KY,Hancock County,32.5
40502,Lexington,KY,Fayette County,32.5
40513,Lexington,KY,Fayette County,32.5
40516,Lexington,KY,Fayette County,32.5
40523,Lexington,KY,Fayette County,32.5
40550,Lexington,KY,Fayette County,32.5
40750,London,KY,Kentucky Statewide,32.5
40204,Louisville,KY,Jefferson County,32.5
40208,Louisville,KY,Jefferson County,32.5
40211,Louisville,KY,Jefferson County,32.5
40232,Louisville,KY,Jefferson County,32.5
40292,Louisville,KY,Jefferson County,32.5
42762,Millwood,KY,Grayson County,32.5
40856,Miracle,KY,Bell County,32.5
42441,Nebo,KY,Hopkins County,32.5
40049,Nerinx,KY,Marion County,32.5
40355,New Liberty,KY,Owen County,32.5
40468,Perryville,KY,Boyle County,32.5
41844,Pippa Passes,KY,Knott County,32.5
40473,Renfro Valley,KY,Rockcastle County,32.5
42638,Revelo,KY,Mccreary County,32.5
42372,Sacramento,KY,Mclean County,32.5
42453,Saint Charles,KY,Hopkins County,32.5
40065,Shelbyville,KY,Shelby County,32.5
40376,Slade,KY,Powell County,32.5
41175,South Shore,KY,Greenup County,32.5
42647,Stearns,KY,Mccreary County,32.5
40486,Tyner,KY,Jackson County,32.5
42461,Uniontown,KY,Union County,32.5
40076,Waddy,KY,Shelby County,32.5
41093,Wallingford,KY,Fleming County,32.5
40873,Wallins Creek,KY,Harlan County,32.5
42462,Waverly,KY,Union County,32.5
41180,Webbville,KY,Lawrence County,32.5
42463,Wheatcroft,KY,Webster County,32.5
40392,Winchester,KY,Clark County,32.5
41274,Wittensville,KY,Johnson County,32.5
