zip,city,state,county,payout
71221,Bastrop,LA,Morehouse County,32.5
70806,Baton Rouge,LA,East. Baton Rouge County,32.5
70810,Baton Rouge,LA,East. Baton Rouge County,32.5
70813,Baton Rouge,LA,East. Baton Rouge County,32.5
70816,Baton Rouge,LA,East. Baton Rouge County,32.5
70822,Baton Rouge,LA,East. Baton Rouge County,32.5
71113,Bossier City,LA,Bossier County,32.5
71225,Calhoun,LA,Ouachita County,32.5
71410,Calvin,LA,Winn County,32.5
71016,Castor,LA,Bienville County,32.5
70521,Cecilia,LA,St. Martin County,32.5
71323,Center Point,LA,Avoyelles County,32.5
71232,Delhi,LA,Richland County,32.5
71233,Delta,LA,Madison County,32.5
70346,Donaldsonville,LA,Ascension County,32.5
71023,Doyline,LA,Webster County,32.5
71235,Dubach,LA,Lincoln County,32.5
70537,Evangeline,LA,Acadia County,32.5
70734,Geismar,LA,Ascension County,32.5
70054,Gretna,LA,Jefferson County,32.5
70403,Hammond,LA,Tangipahoa County,32.5
71438,Hineston,LA,Rapides County,32.5
70744,Holden,LA,Livingston County,32.5
70062,Kenner,LA,Jefferson County,32.5
70750,Krotz Springs,LA,St. Landry County,32.5
70445,Lacombe,LA,St. Tammany County,32.5
70593,Lafayette,LA,Lafayette County,32.5
70629,Lake Charles,LA,Calcasieu County,32.5
70652,Longville,LA,Beauregard County,32.5
71351,Marksville,LA,Avoyelles County,32.5
70075,Meraux,LA,St. Bernard County,32.5
70653,Merryville,LA,Beauregard County,32.5
70005,Metairie,LA,Jefferson County,32.5
71354,Monterey,LA,Concordia County,32.5
71355,Moreauville,LA,Avoyelles County,32.5
70114,New Orleans,LA,Orleans County,32.5
70143,New Orleans,LA,Orleans County,32.5
70760,New Roads,LA,Pointe Coupee County,32.5
70079,Norco,LA,St. Charles County,32.5
70081,Pilottown,LA,Plaquemines County,32.5
71065,Pleasant Hill,LA,Sabine County,32.5
71268,Quitman,LA,Jackson County,32.5
70580,Reddell,LA,Evangeline County,32.5
71068,Ringgold,LA,Bienville County,32.5
70086,Saint James,LA,St. James County,32.5
70395,Schriever,LA,Terrebonne County,32.5
71072,Shongaloo,LA,Webster County,32.5
71135,Shreveport,LA,Caddo County,32.5
71136,Shreveport,LA,Caddo County,32.5
71073,Sibley,LA,Webster County,32.5
71474,Simpson,LA,Vernon County,32.5
70664,Sulphur,LA,Calcasieu County,32.5
70464,Talisheek,LA,St. Tammany County,32.5
70465,Tangipahoa,LA,Tangipahoa County,32.5
70466,Tickfaw,LA,Tangipahoa County,32.5
70783,Ventress,LA,Pointe Coupee County,32.5
70589,Washington,LA,St. Landry County,32.5
70096,Westwego,LA,Jefferson County,32.5
71295,Winnsboro,LA,Franklin County,32.5
