zip,city,state,county,payout
01002,Amherst,MA,Hampshire County,32.5
01503,Berlin,MA,Worcester County,32.5
01337,Bernardston,MA,Franklin County,32.5
02123,Boston,MA,Suffolk County,32.5
02204,Boston,MA,Suffolk County,32.5
02205,Boston,MA,Suffolk County,32.5
02206,Boston,MA,Suffolk County,32.5
02631,Brewster,MA,Barnstable County,32.5
01010,Brimfield,MA,Hampden County,32.5
02301,Brockton,MA,Plymouth County,32.5
02327,Bryantville,MA,Plymouth County,32.5
01803,Burlington,MA,Middlesex County,32.5
02712,Chartley,MA,Bristol County,32.5
01510,Clinton,MA,Worcester County,32.5
02026,Dedham,MA,Norfolk County,32.5
02638,Dennis,MA,Barnstable County,32.5
02536,East Falmouth,MA,Barnstable County,32.5
01029,East Otis,MA,Berkshire County,32.5
02721,Fall River,MA,Bristol County,32.5
01420,Fitchburg,MA,Worcester County,32.5
01354,Gill,MA,Franklin County,32.5
01033,Granby,MA,Hampshire County,32.5
01937,Hathorne,MA,Essex County,32.5
02043,Hingham,MA,Plymouth County,32.5
02044,Hingham,MA,Plymouth County,32.5
01747,Hopedale,MA,Worcester County,32.5
01748,Hopkinton,MA,Middlesex County,32.5
02364,Kingston,MA,Plymouth County,32.5
01842,Lawrence,MA,Essex County,32.5
01053,Leeds,MA,Hampshire County,32.5
01525,Linwood,MA,Worcester County,32.5
01850,Lowell,MA,Middlesex County,32.5
01901,Lynn,MA,Essex County,32.5
01903,Lynn,MA,Essex County,32.5
01904,Lynn,MA,Essex County,32.5
02738,Marion,MA,Plymouth County,32.5
02050,Marshfield,MA,Plymouth County,32.5
01756,Mendon,MA,Worcester County,32.5
01844,Methuen,MA,Essex County,32.5
02349,Middleboro,MA,Plymouth County,32.5
01243,Middlefield,MA,Hampshire County,32.5
01760,Natick,MA,Middlesex County,32.5
01531,New Braintree,MA,Worcester County,32.5
02459,Newton Center,MA,Middlesex County,32.5
01247,North Adams,MA,Berkshire County,32.5
02355,North Carver,MA,Plymouth County,32.5
02356,North Easton,MA,Bristol County,32.5
01061,Northampton,MA,Hampshire County,32.5
02061,Norwell,MA,Plymouth County,32.5
02653,Orleans,MA,Barnstable County,32.5
01201,Pittsfield,MA,Berkshire County,32.5
01203,Pittsfield,MA,Berkshire County,32.5
02762,Plainville,MA,Norfolk County,32.5
02559,Pocasset,MA,Barnstable County,32.5
02370,Rockland,MA,Plymouth County,32.5
01367,Rowe,MA,Franklin County,32.5
01969,Rowley,MA,Essex County,32.5
01971,Salem,MA,Essex County,32.5
01129,Springfield,MA,Hampden County,32.5
01775,Stow,MA,Middlesex County,32.5
02667,Wellfleet,MA,Barnstable County,32.5
01984,Wenham,MA,Essex County,32.5
02670,West Dennis,MA,Barnstable County,32.5
01085,Westfield,MA,Hampden County,32.5
01086,Westfield,MA,Hampden County,32.5
01095,Wilbraham,MA,Hampden County,32.5
02543,Woods Hole,MA,Barnstable County,32.5
01097,Woronoco,MA,Hampden County,32.5
