zip,city,state,county,payout
49705,Afton,MI,Cheboygan County,32.5
48414,Bancroft,MI,Shiawassee County,32.5
49013,Bangor,MI,Van Buren County,32.5
49402,Branch,MI,Mason County,32.5
48722,Bridgeport,MI,Saginaw County,32.5
49620,Buckley,MI,Wexford County,32.5
48417,Burt,MI,Saginaw County,32.5
49720,Charlevoix,MI,Charlevoix County,32.5
48038,Clinton Township,MI,Macomb County,32.5
48421,Columbiaville,MI,Lapeer County,32.5
49625,Copemish,MI,Manistee County,32.5
49821,Daggett,MI,Menominee County,32.5
48207,Detroit,MI,Wayne County,32.5
48223,Detroit,MI,Wayne County,32.5
48235,Detroit,MI,Wayne County,32.5
48130,Dexter,MI,Washtenaw County,32.5
48822,Eagle,MI,Clinton County,32.5
48824,East Lansing,MI,Ingham County,32.5
49627,Eastport,MI,Antrim County,32.5
48333,Farmington,MI,Oakland County,32.5
49408,Fennville,MI,Allegan County,32.5
49634,Filer City,MI,Manistee County,32.5
48501,Flint,MI,Genesee County,32.5
48551,Flint,MI,Genesee County,32.5
48735,Gagetown,MI,Tuscola County,32.5
49737,Good Hart,MI,Emmet County,32.5
48837,Grand Ledge,MI,Eaton County,32.5
49514,Grand Rapids,MI,Kent County,32.5
49546,Grand Rapids,MI,Kent County,32.5
48739,Hale,MI,Iosco County,32.5
49419,Hamilton,MI,Allegan County,32.5
49241,Hanover,MI,Jackson County,32.5
48030,Hazel Park,MI,Oakland County,32.5
49847,Hermansville,MI,Menominee County,32.5
49744,Herron,MI,Alpena County,32.5
49060,Hickory Corners,MI,Barry County,32.5
49245,Homer,MI,Calhoun County,32.5
49640,Honor,MI,Benzie County,32.5
49747,Hubbard Lake,MI,Alpena County,32.5
48845,Hubbardston,MI,Ionia County,32.5
49248,Jasper,MI,Lenawee County,32.5
49428,Jenison,MI,Ottawa County,32.5
48741,Kingston,MI,Tuscola County,32.5
48908,Lansing,MI,Ingham County,32.5
48911,Lansing,MI,Ingham County,32.5
49064,Lawrence,MI,Van Buren County,32.5
49654,Leland,MI,Leelanau County,32.5
48451,Linden,MI,Genesee County,32.5
49431,Ludington,MI,Mason County,32.5
49656,Luther,MI,Lake County,32.5
49665,Marion,MI,Osceola County,32.5
48040,Marysville,MI,St. Clair County,32.5
49436,Mears,MI,Oceana County,32.5
49072,Mendon,MI,St. Joseph County,32.5
48455,Metamora,MI,Lapeer County,32.5
49256,Morenci,MI,Lenawee County,32.5
49444,Muskegon,MI,Muskegon County,32.5
49119,New Troy,MI,Berrien County,32.5
49448,Nunica,MI,Ottawa County,32.5
48649,Oakley,MI,Saginaw County,32.5
49265,Onsted,MI,Lenawee County,32.5
48466,Peck,MI,Sanilac County,32.5
49450,Pullman,MI,Allegan County,32.5
48066,Roseville,MI,Macomb County,32.5
48663,Saginaw,MI,Saginaw County,32.5
48880,Saint Louis,MI,Gratiot County,32.5
48759,Sebewaing,MI,Huron County,32.5
49344,Shelbyville,MI,Allegan County,32.5
48883,Shepherd,MI,Isabella County,32.5
48886,Six Lakes,MI,Montcalm County,32.5
49887,Stephenson,MI,Menominee County,32.5
48312,Sterling Heights,MI,Macomb County,32.5
48890,Sunfield,MI,Eaton County,32.5
48764,Tawas City,MI,Iosco County,32.5
48007,Troy,MI,Oakland County,32.5
48085,Troy,MI,Oakland County,32.5
48475,Ubly,MI,Huron County,32.5
48090,Warren,MI,Macomb County,32.5
48093,Warren,MI,Macomb County,32.5
49689,Wellston,MI,Manistee County,32.5
48325,West Bloomfield,MI,Oakland County,32.5
48383,White Lake,MI,Oakland County,32.5
48386,White Lake,MI,Oakland County,32.5
48197,Ypsilanti,MI,Washtenaw County,32.5
