zip,city,state,county,payout
55909,Adams,MN,Mower County,32.5
56308,Alexandria,MN,Douglas County,32.5
55307,Arlington,MN,Sibley County,32.5
55706,Babbitt,MN,St. Louis County,32.5
56435,Backus,MN,Cass County,32.5
56116,Beaver Creek,MN,Rock County,32.5
56626,Bena,MN,Cass County,32.5
56631,Bowstring,MN,Itasca County,32.5
56014,Bricelyn,MN,Faribault County,32.5
55918,Brownsdale,MN,Mower County,32.5
55317,Chanhassen,MN,Carver County,32.5
55923,Chatfield,MN,Fillmore County,32.5
55719,Chisholm,MN,St. Louis County,32.5
55320,Clearwater,MN,Wright County,32.5
56320,Cold Spring,MN,Stearns County,32.5
56228,Cosmos,MN,Meeker County,32.5
56022,Darfur,MN,Watonwan County,32.5
55926,Dexter,MN,Mower County,32.5
56125,Dovray,MN,Murray County,32.5
55802,Duluth,MN,St. Louis County,32.5
55808,Duluth,MN,St. Louis County,32.5
55815,Duluth,MN,St. Louis County,32.5
55347,Eden Prairie,MN,Hennepin County,32.5
55732,Embarrass,MN,St. Louis County,32.5
56328,Flensburg,MN,Morrison County,32.5
56544,Frazee,MN,Becker County,32.5
56036,Glenville,MN,Freeborn County,32.5
56547,Glyndon,MN,Clay County,32.5
56037,Good Thunder,MN,Blue Earth County,32.5
55029,Grandy,MN,Isanti County,32.5
56336,Grey Eagle,MN,Todd County,32.5
56338,Hillman,MN,Morrison County,32.5
56647,Hines,MN,Beltrami County,32.5
55941,Hokah,MN,Houston County,32.5
56045,Hollandale,MN,Freeborn County,32.5
55350,Hutchinson,MN,Mcleod County,32.5
56455,Ironton,MN,Crow Wing County,32.5
56146,Kanaranzi,MN,Rock County,32.5
56251,Kandiyohi,MN,Kandiyohi County,32.5
56051,Kiester,MN,Faribault County,32.5
56054,Lafayette,MN,Nicollet County,32.5
55949,Lanesboro,MN,Fillmore County,32.5
55950,Lansing,MN,Mower County,32.5
56344,Lastrup,MN,Morrison County,32.5
56651,Lengby,MN,Mahnomen County,32.5
56153,Leota,MN,Nobles County,32.5
56060,Lewisville,MN,Watonwan County,32.5
56345,Little Falls,MN,Morrison County,32.5
56655,Longville,MN,Cass County,32.5
55763,Makinen,MN,St. Louis County,32.5
55360,Mayer,MN,Carver County,32.5
56263,Milroy,MN,Redwood County,32.5
55445,Minneapolis,MN,Hennepin County,32.5
55459,Minneapolis,MN,Hennepin County,32.5
55474,Minneapolis,MN,Hennepin County,32.5
55051,Mora,MN,Kanabec County,32.5
56274,Norcross,MN,Grant County,32.5
56569,Ogema,MN,Becker County,32.5
56570,Osage,MN,Becker County,32.5
55961,Ostrander,MN,Fillmore County,32.5
56571,Ottertail,MN,Otter Tail County,32.5
56662,Outing,MN,Cass County,32.5
56281,Prinsburg,MN,Kandiyohi County,32.5
56750,Red Lake Falls,MN,Red Lake County,32.5
56672,Remer,MN,Cass County,32.5
56578,Rochert,MN,Becker County,32.5
56169,Russell,MN,Lyon County,32.5
55102,Saint Paul,MN,Ramsey County,32.5
55109,Saint Paul,MN,Ramsey County,32.5
55114,Saint Paul,MN,Ramsey County,32.5
55123,Saint Paul,MN,Dakota County,32.5
55145,Saint Paul,MN,Ramsey County,32.5
55146,Saint Paul,MN,Ramsey County,32.5
56083,Sanborn,MN,Redwood County,32.5
55973,Sargeant,MN,Mower County,32.5
55073,Scandia,MN,Washington County,32.5
56288,Spicer,MN,Kandiyohi County,32.5
55784,Swan River,MN,Itasca County,32.5
56583,Tintah,MN,Traverse County,32.5
55085,Vermillion,MN,Dakota County,32.5
56588,Vining,MN,Otter Tail County,32.5
56096,Waterville,MN,Le Sueur County,32.5
