zip,city,state,county,payout
38601,Abbeville,MS,Lafayette County,32.5
39602,Brookhaven,MS,Lincoln County,32.5
39631,Centreville,MS,Wilkinson County,32.5
39324,Clara,MS,Wayne County,32.5
38733,Cleveland,MS,Bolivar County,32.5
39060,Clinton,MS,Hinds County,32.5
39701,Columbus,MS,Lowndes County,32.5
39710,Columbus,MS,Lowndes County,32.5
38925,Duck Hill,MS,Montgomery County,32.5
38740,Duncan,MS,Bolivar County,32.5
39067,Ethel,MS,Attala County,32.5
39744,Eupora,MS,Webster County,32.5
39069,Fayette,MS,Jefferson County,32.5
39078,Georgetown,MS,Copiah County,32.5
38901,Grenada,MS,Grenada County,32.5
39505,Gulfport,MS,Harrison County,32.5
39401,Hattiesburg,MS,Forrest County,32.5
39402,Hattiesburg,MS,Lamar County,32.5
38851,Houston,MS,Chickasaw County,32.5
38754,Isola,MS,Humphreys County,32.5
39092,Lake,MS,Scott County,32.5
38641,Lake Cormorant,MS,Desoto County,32.5
39098,Ludlow,MS,Scott County,32.5
39341,Macon,MS,Noxubee County,32.5
39753,Mayhew,MS,Lowndes County,32.5
39302,Meridian,MS,Lauderdale County,32.5
38760,Metcalfe,MS,Washington County,32.5
39459,Moselle,MS,Jones County,32.5
39120,Natchez,MS,Adams County,32.5
39347,Pachuta,MS,Jasper County,32.5
39145,Pelahatchie,MS,Rankin County,32.5
39350,Philadelphia,MS,Neshoba County,32.5
38951,Pittsboro,MS,Calhoun County,32.5
39150,Port Gibson,MS,Claiborne County,32.5
38952,Schlater,MS,Leflore County,32.5
38772,Scott,MS,Bolivar County,32.5
39479,Seminary,MS,Covington County,32.5
39361,Shuqualak,MS,Noxubee County,32.5
39666,Summit,MS,Pike County,32.5
38959,Swiftown,MS,Leflore County,32.5
39168,Taylorsville,MS,Smith County,32.5
38674,Tiplersville,MS,Tippah County,32.5
38874,Toccopola,MS,Pontotoc County,32.5
38801,Tupelo,MS,Lee County,32.5
39667,Tylertown,MS,Walthall County,32.5
39565,Vancleave,MS,Jackson County,32.5
38680,Walls,MS,Desoto County,32.5
39772,Weir,MS,Choctaw County,32.5
39192,West,MS,Attala County,32.5
