zip,city,state,county,payout
28810,Asheville,NC,Buncombe County,32.5
28513,Ayden,NC,Pitt County,32.5
27809,Battleboro,NC,Nash County,32.5
27919,Belvidere,NC,Perquimans County,32.5
28713,Bryson City,NC,Swain County,32.5
27216,Burlington,NC,Alamance County,32.5
28205,Charlotte,NC,Mecklenburg County,32.5
28226,Charlotte,NC,Mecklenburg County,32.5
28281,Charlotte,NC,Mecklenburg County,32.5
28299,Charlotte,NC,Mecklenburg County,32.5
28021,Cherryville,NC,Gaston County,32.5
28023,China Grove,NC,Rowan County,32.5
27235,Colfax,NC,Guilford County,32.5
27818,Como,NC,Hertford County,32.5
28025,Concord,NC,Cabarrus County,32.5
28026,Concord,NC,Cabarrus County,32.5
28523,Cove City,NC,Craven County,32.5
28615,Creston,NC,Ashe County,32.5
27237,Cumnock,NC,Lee County,32.5
28435,Currie,NC,Pender County,32.5
28038,Earl,NC,Cleveland County,32.5
27822,Elm City,NC,Wilson County,32.5
27827,Falkland,NC,Pitt County,32.5
28314,Fayetteville,NC,Cumberland County,32.5
28626,Fleetwood,NC,Ashe County,32.5
27248,Franklinville,NC,Randolph County,32.5
28052,Gastonia,NC,Gaston County,32.5
28628,Glen Alpine,NC,Burke County,32.5
27252,Goldston,NC,Chatham County,32.5
28630,Granite Falls,NC,Caldwell County,32.5
27407,Greensboro,NC,Guilford County,32.5
27411,Greensboro,NC,Guilford County,32.5
27425,Greensboro,NC,Guilford County,32.5
27497,Greensboro,NC,Guilford County,32.5
27837,Grimesland,NC,Pitt County,32.5
27941,Harbinger,NC,Currituck County,32.5
27258,Haw River,NC,Alamance County,32.5
27262,High Point,NC,Guilford County,32.5
28538,Hookerton,NC,Greene County,32.5
28546,Jacksonville,NC,Onslow County,32.5
28081,Kannapolis,NC,Cabarrus County,32.5
28352,Laurinburg,NC,Scotland County,32.5
27546,Lillington,NC,Harnett County,32.5
28358,Lumberton,NC,Robeson County,32.5
28453,Magnolia,NC,Duplin County,32.5
28650,Maiden,NC,Catawba County,32.5
28105,Matthews,NC,Mecklenburg County,32.5
28755,Micaville,NC,Yancey County,32.5
28756,Mill Spring,NC,Polk County,32.5
28906,Murphy,NC,Cherokee County,32.5
28564,New Bern,NC,Craven County,32.5
28660,Olin,NC,Iredell County,32.5
27040,Pfafftown,NC,Forsyth County,32.5
28370,Pinehurst,NC,Moore County,32.5
27043,Pinnacle,NC,Stokes County,32.5
27613,Raleigh,NC,Wake County,32.5
27640,Raleigh,NC,Wake County,32.5
27656,Raleigh,NC,Wake County,32.5
27675,Raleigh,NC,Wake County,32.5
27869,Rich Square,NC,Northampton County,32.5
28456,Riegelwood,NC,Columbus County,32.5
28383,Rowland,NC,Robeson County,32.5
28146,Salisbury,NC,Rowan County,32.5
27873,Saratoga,NC,Wilson County,32.5
28699,Scotts,NC,Alexander County,32.5
27878,Sharpsburg,NC,Nash County,32.5
27974,Shiloh,NC,Camden County,32.5
28776,Skyland,NC,Buncombe County,32.5
27881,Speed,NC,Edgecombe County,32.5
27882,Spring Hope,NC,Nash County,32.5
27355,Staley,NC,Randolph County,32.5
27883,Stantonsburg,NC,Wilson County,32.5
28582,Stella,NC,Carteret County,32.5
28778,Swannanoa,NC,Buncombe County,32.5
27360,Thomasville,NC,Davidson County,32.5
27371,Troy,NC,Montgomery County,32.5
27982,Waves,NC,Dare County,32.5
28787,Weaverville,NC,Buncombe County,32.5
27053,Westfield,NC,Stokes County,32.5
28479,Winnabow,NC,Brunswick County,32.5
27105,Winston Salem,NC,Forsyth County,32.5
28480,Wrightsville Beach,NC,New Hanover County,32.5
28790,Zirconia,NC,Henderson County,32.5
