zip,city,state,county,payout
58313,Balta,ND,Pierce County,32.5
58015,Christine,ND,Richland County,32.5
58733,Des Lacs,ND,Ward County,32.5
58436,Ellendale,ND,Dickey County,32.5
58104,Fargo,ND,Cass County,32.5
58040,Gwinner,ND,Sargent County,32.5
58544,Hazelton,ND,Emmons County,32.5
58052,Leonard,ND,Cass County,32.5
58258,Mekinock,ND,Grand Forks County,32.5
58646,Mott,ND,Hettinger County,32.5
58563,New Salem,ND,Morton County,32.5
58564,Raleigh,ND,Grant County,32.5
58368,Rugby,ND,Pierce County,32.5
58568,Selfridge,ND,Sioux County,32.5
58655,South Heart,ND,Stark County,32.5
58074,Wahpeton,ND,Richland County,32.5
58497,Ypsilanti,ND,Stutsman County,32.5
