zip,city,state,county,payout
87105,Albuquerque,NM,Bernalillo County,32.5
87112,Albuquerque,NM,Bernalillo County,32.5
87116,Albuquerque,NM,Bernalillo County,32.5
87153,Albuquerque,NM,Bernalillo County,32.5
87154,Albuquerque,NM,Bernalillo County,32.5
87184,Albuquerque,NM,Bernalillo County,32.5
87187,Albuquerque,NM,Bernalillo County,32.5
87191,Albuquerque,NM,Bernalillo County,32.5
87193,Albuquerque,NM,Bernalillo County,32.5
87006,Bosque,NM,Socorro County,32.5
87931,Caballo,NM,Sierra County,32.5
87007,Casa Blanca,NM,Cibola County,32.5
88417,Cuervo,NM,Guadalupe County,32.5
87023,Jarales,NM,Valencia County,32.5
87032,Mcintosh,NM,Torrance County,32.5
87319,Mentmore,NM,Mckinley County,32.5
87320,Mexican Springs,NM,Mckinley County,32.5
87035,Moriarty,NM,Torrance County,32.5
87328,Navajo,NM,Mckinley County,32.5
87321,Ramah,NM,Cibola County,32.5
87047,Sandia Park,NM,Bernalillo County,32.5
87745,Sapello,NM,San Miguel County,32.5
87583,Villanueva,NM,San Miguel County,32.5
