zip,city,state,county,payout
44302,Akron,OH,Summit County,32.5
44306,Akron,OH,Summit County,32.5
43001,Alexandria,OH,Licking County,32.5
45304,Arcanum,OH,Darke County,32.5
44608,Beach City,OH,Stark County,32.5
44122,Beachwood,OH,Cuyahoga County,32.5
45305,Bellbrook,OH,Greene County,32.5
45106,Bethel,OH,Clermont County,32.5
45614,Bidwell,OH,Gallia County,32.5
43909,Blaine,OH,Belmont County,32.5
43402,Bowling Green,OH,Wood County,32.5
43406,Bradner,OH,Wood County,32.5
44211,Brady Lake,OH,Portage County,32.5
43913,Brilliant,OH,Jefferson County,32.5
44142,Brookpark,OH,Cuyahoga County,32.5
44822,Butler,OH,Richland County,32.5
43009,Cable,OH,Champaign County,32.5
44405,Campbell,OH,Mahoning County,32.5
44406,Canfield,OH,Mahoning County,32.5
44703,Canton,OH,Stark County,32.5
44707,Canton,OH,Stark County,32.5
44799,Canton,OH,Stark County,32.5
45719,Chauncey,OH,Athens County,32.5
45618,Cherry Fork,OH,Adams County,32.5
44026,Chesterland,OH,Geauga County,32.5
45826,Chickasaw,OH,Mercer County,32.5
45601,Chillicothe,OH,Ross County,32.5
45211,Cincinnati,OH,Hamilton County,32.5
45222,Cincinnati,OH,Hamilton County,32.5
45225,Cincinnati,OH,Hamilton County,32.5
45250,Cincinnati,OH,Hamilton County,32.5
45252,Cincinnati,OH,Hamilton County,32.5
45254,Cincinnati,OH,Hamilton County,32.5
45280,Cincinnati,OH,Hamilton County,32.5
45999,Cincinnati,OH,Hamilton County,32.5
44191,Cleveland,OH,Cuyahoga County,32.5
45003,College Corner,OH,Preble County,32.5
43210,Columbus,OH,Franklin County,32.5
43291,Columbus,OH,Franklin County,32.5
44217,Creston,OH,Wayne County,32.5
45724,Cutler,OH,Washington County,32.5
44618,Dalton,OH,Wayne County,32.5
45403,Dayton,OH,Montgomery County,32.5
45415,Dayton,OH,Montgomery County,32.5
45429,Dayton,OH,Montgomery County,32.5
45431,Dayton,OH,Greene County,32.5
45459,Dayton,OH,Montgomery County,32.5
45482,Dayton,OH,Montgomery County,32.5
45833,Delphos,OH,Allen County,32.5
43017,Dublin,OH,Franklin County,32.5
44413,East Palestine,OH,Columbiana County,32.5
44626,East Sparta,OH,Stark County,32.5
44097,Eastlake,OH,Lake County,32.5
45838,Elgin,OH,Van Wert County,32.5
45018,Fairfield,OH,Butler County,32.5
44837,Greenwich,OH,Huron County,32.5
45633,Hallsville,OH,Ross County,32.5
43930,Hammondsville,OH,Jefferson County,32.5
43974,Harrisville,OH,Harrison County,32.5
43056,Heath,OH,Licking County,32.5
45841,Jenera,OH,Hancock County,32.5
44637,Killbuck,OH,Holmes County,32.5
43333,Lewistown,OH,Logan County,32.5
44640,Limaville,OH,Stark County,32.5
44253,Litchfield,OH,Medina County,32.5
45339,Ludlow Falls,OH,Miami County,32.5
44644,Malvern,OH,Carroll County,32.5
44902,Mansfield,OH,Richland County,32.5
44904,Mansfield,OH,Richland County,32.5
43334,Marengo,OH,Morrow County,32.5
43302,Marion,OH,Marion County,32.5
44646,Massillon,OH,Stark County,32.5
44438,Masury,OH,Trumbull County,32.5
45652,McDermott,OH,Scioto County,32.5
45862,Mendon,OH,Mercer County,32.5
44060,Mentor,OH,Lake County,32.5
43540,Metamora,OH,Fulton County,32.5
45342,Miamisburg,OH,Montgomery County,32.5
45153,Moscow,OH,Clermont County,32.5
44441,Negley,OH,Columbiana County,32.5
45764,Nelsonville,OH,Athens County,32.5
44849,Nevada,OH,Wyandot County,32.5
43762,New Concord,OH,Muskingum County,32.5
45870,New Hampshire,OH,Auglaize County,32.5
45654,New Plymouth,OH,Vinton County,32.5
44857,Norwalk,OH,Huron County,32.5
43061,Ostrander,OH,Delaware County,32.5
45353,Pemberton,OH,Shelby County,32.5
45354,Phillipsburg,OH,Montgomery County,32.5
45661,Piketon,OH,Pike County,32.5
45770,Portland,OH,Meigs County,32.5
44085,Rome,OH,Ashtabula County,32.5
43460,Rossford,OH,Wood County,32.5
44870,Sandusky,OH,Erie County,32.5
45886,Scott,OH,Van Wert County,32.5
45678,Scottown,OH,Lawrence County,32.5
43782,Shawnee,OH,Perry County,32.5
45506,Springfield,OH,Clark County,32.5
43953,Steubenville,OH,Jefferson County,32.5
43154,Stoutsville,OH,Fairfield County,32.5
43612,Toledo,OH,Lucas County,32.5
43158,Union Furnace,OH,Hocking County,32.5
43351,Upper Sandusky,OH,Wyandot County,32.5
44280,Valley City,OH,Medina County,32.5
44281,Wadsworth,OH,Medina County,32.5
44482,Warren,OH,Trumbull County,32.5
45688,Waterloo,OH,Lawrence County,32.5
44090,Wellington,OH,Lorain County,32.5
45381,West Alexandria,OH,Preble County,32.5
45663,West Portsmouth,OH,Scioto County,32.5
43082,Westerville,OH,Delaware County,32.5
44888,Willard,OH,Huron County,32.5
44096,Willoughby,OH,Lake County,32.5
44288,Windham,OH,Portage County,32.5
44502,Youngstown,OH,Mahoning County,32.5
44514,Youngstown,OH,Mahoning County,32.5
45698,Zaleski,OH,Vinton County,32.5
