zip,city,state,county,payout
74820,Ada,OK,Pontotoc County,32.5
74821,Ada,OK,Pontotoc County,32.5
73520,Addington,OK,Jefferson County,32.5
73001,Albert,OK,Caddo County,32.5
74522,Alderson,OK,Pittsburg County,32.5
73006,Apache,OK,Caddo County,32.5
74826,Asher,OK,Pottawatomie County,32.5
73624,Burns Flat,OK,Washita County,32.5
74531,Calvin,OK,Hughes County,32.5
74015,Catoosa,OK,Rogers County,32.5
73528,Chattanooga,OK,Comanche County,32.5
74021,Collinsville,OK,Tulsa County,32.5
73022,Concho,OK,Canadian County,32.5
74636,Deer Creek,OK,Grant County,32.5
73531,Devol,OK,Cotton County,32.5
73036,El Reno,OK,Canadian County,32.5
74936,Gans,OK,Sequoyah County,32.5
73738,Garber,OK,Garfield County,32.5
74345,Grove,OK,Delaware County,32.5
74937,Heavener,OK,Le Flore County,32.5
73741,Helena,OK,Alfalfa County,32.5
74035,Hominy,OK,Osage County,32.5
74440,Hoyt,OK,Haskell County,32.5
73552,Indiahoma,OK,Comanche County,32.5
74349,Ketchum,OK,Craig County,32.5
73439,Kingston,OK,Marshall County,32.5
74644,Marland,OK,Noble County,32.5
73558,Meers,OK,Comanche County,32.5
73064,Mustang,OK,Canadian County,32.5
73069,Norman,OK,Cleveland County,32.5
73111,Oklahoma City,OK,Oklahoma County,32.5
73121,Oklahoma City,OK,Oklahoma County,32.5
73135,Oklahoma City,OK,Oklahoma County,32.5
73151,Oklahoma City,OK,Oklahoma County,32.5
73165,Oklahoma City,OK,Cleveland County,32.5
73167,Oklahoma City,OK,Oklahoma County,32.5
73179,Oklahoma City,OK,Oklahoma County,32.5
73560,Olustee,OK,Jackson County,32.5
73561,Oscar,OK,Jefferson County,32.5
74059,Perkins,OK,Payne County,32.5
74752,Pickens,OK,Mccurtain County,32.5
74454,Porter,OK,Wagoner County,32.5
74060,Prue,OK,Osage County,32.5
74754,Ringold,OK,Mccurtain County,32.5
73565,Ryan,OK,Jefferson County,32.5
74067,Sapulpa,OK,Creek County,32.5
74956,Shady Point,OK,Le Flore County,32.5
73668,Texola,OK,Beckham County,32.5
73669,Thomas,OK,Custer County,32.5
74102,Tulsa,OK,Tulsa County,32.5
74108,Tulsa,OK,Tulsa County,32.5
74120,Tulsa,OK,Tulsa County,32.5
74127,Tulsa,OK,Tulsa County,32.5
74152,Tulsa,OK,Tulsa County,32.5
74172,Tulsa,OK,Tulsa County,32.5
74186,Tulsa,OK,Tulsa County,32.5
74574,Tuskahoma,OK,Pushmataha County,32.5
74082,Vera,OK,Washington County,32.5
74472,Whitefield,OK,Haskell County,32.5
