zip,city,state,county,payout
97321,Albany,OR,Linn County,32.5
97502,Central Point,OR,Jackson County,32.5
97423,Coquille,OR,Coos County,32.5
97429,Days Creek,OR,Douglas County,32.5
97431,Dexter,OR,Lane County,32.5
97346,Gates,OR,Marion County,32.5
97030,Gresham,OR,Multnomah County,32.5
97121,Hammond,OR,Clatsop County,32.5
97086,Happy Valley,OR,Clackamas County,32.5
97350,Idanha,OR,Marion County,32.5
97601,Klamath Falls,OR,Klamath County,32.5
97367,Lincoln City,OR,Lincoln County,32.5
97130,Manzanita,OR,Tillamook County,32.5
97042,Mulino,OR,Clackamas County,32.5
97369,Otter Rock,OR,Lincoln County,32.5
97232,Portland,OR,Multnomah County,32.5
97305,Salem,OR,Marion County,32.5
97311,Salem,OR,Marion County,32.5
97312,Salem,OR,Marion County,32.5
97378,Sheridan,OR,Yamhill County,32.5
97140,Sherwood,OR,Washington County,32.5
97383,Stayton,OR,Marion County,32.5
97503,White City,OR,Jackson County,32.5
