zip,city,state,county,payout
16475,Albion,PA,Erie County,32.5
15412,Allenport,PA,Washington County,32.5
15711,Anita,PA,Jefferson County,32.5
15613,Apollo,PA,Westmoreland County,32.5
17303,Arendtsville,PA,Adams County,32.5
16720,Austin,PA,Potter County,32.5
17502,Bainbridge,PA,Lancaster County,32.5
18013,Bangor,PA,Northampton County,32.5
19020,Bensalem,PA,Bucks County,32.5
19512,Boyertown,PA,Berks County,32.5
18031,Breinigsville,PA,Lehigh County,32.5
15017,Bridgeville,PA,Allegheny County,32.5
15823,Brockport,PA,Elk County,32.5
19010,Bryn Mawr,PA,Delaware County,32.5
16023,Cabot,PA,Butler County,32.5
16403,Cambridge Springs,PA,Crawford County,32.5
15925,Cassandra,PA,Cambria County,32.5
19012,Cheltenham,PA,Montgomery County,32.5
15024,Cheswick,PA,Allegheny County,32.5
16114,Clarks Mills,PA,Mercer County,32.5
19018,Clifton Heights,PA,Delaware County,32.5
15727,Clune,PA,Indiana County,32.5
16218,Cowansville,PA,Armstrong County,32.5
15429,Denbo,PA,Washington County,32.5
17517,Denver,PA,Lancaster County,32.5
15929,Dilltown,PA,Indiana County,32.5
18221,Drifton,PA,Luzerne County,32.5
16413,Elgin,PA,Erie County,32.5
16920,Elkland,PA,Tioga County,32.5
16117,Ellwood City,PA,Lawrence County,32.5
15738,Emeigh,PA,Cambria County,32.5
17318,Emigsville,PA,York County,32.5
15840,Falls Creek,PA,Jefferson County,32.5
15437,Farmington,PA,Fayette County,32.5
15540,Fort Hill,PA,Somerset County,32.5
15333,Fredericktown,PA,Washington County,32.5
15044,Gibsonia,PA,Allegheny County,32.5
19039,Gradyville,PA,Delaware County,32.5
17030,Gratz,PA,Dauphin County,32.5
15338,Greensboro,PA,Greene County,32.5
17111,Harrisburg,PA,Dauphin County,32.5
17113,Harrisburg,PA,Dauphin County,32.5
17140,Harrisburg,PA,Dauphin County,32.5
17829,Hartleton,PA,Union County,32.5
16733,Hazel Hurst,PA,Mckean County,32.5
18431,Honesdale,PA,Wayne County,32.5
16650,Hopewell,PA,Bedford County,32.5
15342,Houston,PA,Washington County,32.5
17036,Hummelstown,PA,Dauphin County,32.5
17037,Ickesburg,PA,Perry County,32.5
16134,Jamestown,PA,Crawford County,32.5
18434,Jessup,PA,Lackawanna County,32.5
15053,Joffre,PA,Washington County,32.5
15909,Johnstown,PA,Cambria County,32.5
17038,Jonestown,PA,Lebanon County,32.5
16201,Kittanning,PA,Armstrong County,32.5
16331,Kossuth,PA,Clarion County,32.5
19350,Landenberg,PA,Chester County,32.5
18827,Lanesboro,PA,Susquehanna County,32.5
19047,Langhorne,PA,Bucks County,32.5
18627,Lehman,PA,Luzerne County,32.5
19351,Lewisville,PA,Chester County,32.5
19353,Lionville,PA,Chester County,32.5
17840,Locust Gap,PA,Northumberland County,32.5
