zip,city,state,county,payout
57214,Badger,SD,Kingsbury County,32.5
57006,Brookings,SD,Brookings County,32.5
57010,Burbank,SD,Clay County,32.5
57015,Chancellor,SD,Turner County,32.5
57026,Elkton,SD,Brookings County,32.5
57334,Ethan,SD,Davison County,32.5
57033,Hartford,SD,Minnehaha County,32.5
57249,Lake Preston,SD,Kingsbury County,32.5
57046,Mission Hill,SD,Yankton County,32.5
57780,Scenic,SD,Pennington County,32.5
57104,Sioux Falls,SD,Minnehaha County,32.5
57064,Tea,SD,Lincoln County,32.5
57069,Vermillion,SD,Clay County,32.5
57793,Whitewood,SD,Lawrence County,32.5
57076,Winfred,SD,Lake County,32.5
