zip,city,state,county,payout
37014,Arrington,TN,Williamson County,32.5
38545,Bloomington Springs,TN,Jackson County,32.5
37025,Bon Aqua,TN,Hickman County,32.5
38316,Bradford,TN,Gibson County,32.5
37024,Brentwood,TN,Williamson County,32.5
37309,Calhoun,TN,Mcminn County,32.5
37310,Charleston,TN,Bradley County,32.5
37411,Chattanooga,TN,Hamilton County,32.5
37450,Chattanooga,TN,Hamilton County,32.5
37037,Christiana,TN,Rutherford County,32.5
37715,Clairfield,TN,Claiborne County,32.5
37717,Clinton,TN,Anderson County,32.5
38450,Collinwood,TN,Wayne County,32.5
37058,Dover,TN,Stewart County,32.5
37331,Etowah,TN,Mcminn County,32.5
38562,Gainesboro,TN,Jackson County,32.5
37066,Gallatin,TN,Sumner County,32.5
37658,Hampton,TN,Carter County,32.5
37075,Hendersonville,TN,Sumner County,32.5
38041,Henning,TN,Lauderdale County,32.5
37078,Hurricane Mills,TN,Humphreys County,32.5
38301,Jackson,TN,Madison County,32.5
38308,Jackson,TN,Madison County,32.5
37602,Johnson City,TN,Washington County,32.5
38233,Kenton,TN,Gibson County,32.5
37660,Kingsport,TN,Sullivan County,32.5
37764,Kodak,TN,Sevier County,32.5
38472,Lynnville,TN,Giles County,32.5
38101,Memphis,TN,Shelby County,32.5
38104,Memphis,TN,Shelby County,32.5
38119,Memphis,TN,Shelby County,32.5
38122,Memphis,TN,Shelby County,32.5
38125,Memphis,TN,Shelby County,32.5
38136,Memphis,TN,Shelby County,32.5
38167,Memphis,TN,Shelby County,32.5
38357,Michie,TN,Mcnairy County,32.5
38359,Milledgeville,TN,Mcnairy County,32.5
37356,Monteagle,TN,Grundy County,32.5
37811,Mooresburg,TN,Hawkins County,32.5
37815,Morristown,TN,Hamblen County,32.5
37818,Mosheim,TN,Greene County,32.5
38474,Mount Pleasant,TN,Maury County,32.5
37206,Nashville,TN,Davidson County,32.5
37250,Nashville,TN,Davidson County,32.5
37143,Pegram,TN,Cheatham County,32.5
37699,Piney Flats,TN,Sullivan County,32.5
37849,Powell,TN,Knox County,32.5
37369,Reliance,TN,Polk County,32.5
38080,Ridgely,TN,Lake County,32.5
38063,Ripley,TN,Lauderdale County,32.5
37852,Robbins,TN,Scott County,32.5
38374,Scotts Hill,TN,Henderson County,32.5
37862,Sevierville,TN,Sevier County,32.5
37383,Sewanee,TN,Franklin County,32.5
37865,Seymour,TN,Sevier County,32.5
37160,Shelbyville,TN,Bedford County,32.5
37161,Shelbyville,TN,Bedford County,32.5
37172,Springfield,TN,Robertson County,32.5
38379,Stantonville,TN,Mcnairy County,32.5
37887,Wartburg,TN,Morgan County,32.5
37888,Washburn,TN,Grainger County,32.5
38076,Williston,TN,Fayette County,32.5
