zip,city,state,county,payout
79608,Abilene,TX,Taylor County,32.5
76430,Albany,TX,Shackelford County,32.5
75925,Alto,TX,Cherokee County,32.5
76009,Alvarado,TX,Johnson County,32.5
77516,Angleton,TX,Brazoria County,32.5
75926,Apple Springs,TX,Trinity County,32.5
76094,Arlington,TX,Tarrant County,32.5
75752,Athens,TX,Henderson County,32.5
73301,Austin,TX,Travis County,32.5
78709,Austin,TX,Travis County,32.5
78716,Austin,TX,Travis County,32.5
78731,Austin,TX,Travis County,32.5
78744,Austin,TX,Travis County,32.5
78774,Austin,TX,Travis County,32.5
76098,Azle,TX,Tarrant County,32.5
75413,Bailey,TX,Fannin County,32.5
75180,Balch Springs,TX,Dallas County,32.5
78003,Bandera,TX,Bandera County,32.5
78829,Batesville,TX,Zavala County,32.5
77404,Bay City,TX,Matagorda County,32.5
76021,Bedford,TX,Tarrant County,32.5
78104,Beeville,TX,Bee County,32.5
78107,Berclair,TX,Goliad County,32.5
77419,Blessing,TX,Matagorda County,32.5
77420,Boling,TX,Wharton County,32.5
79005,Booker,TX,Lipscomb County,32.5
75421,Brookston,TX,Lamar County,32.5
75756,Brownsboro,TX,Henderson County,32.5
77805,Bryan,TX,Brazos County,32.5
76427,Bryson,TX,Jack County,32.5
78609,Buchanan Dam,TX,Llano County,32.5
78610,Buda,TX,Hays County,32.5
76828,Burkett,TX,Coleman County,32.5
77836,Caldwell,TX,Burleson County,32.5
75832,Cayuga,TX,Anderson County,32.5
75104,Cedar Hill,TX,Dallas County,32.5
77415,Cedar Lane,TX,Matagorda County,32.5
75009,Celina,TX,Collin County,32.5
77530,Channelview,TX,Harris County,32.5
76633,China Spring,TX,Mclennan County,32.5
77842,College Station,TX,Brazos County,32.5
77428,Collegeport,TX,Matagorda County,32.5
78407,Corpus Christi,TX,Nueces County,32.5
78408,Corpus Christi,TX,Nueces County,32.5
78419,Corpus Christi,TX,Nueces County,32.5
78614,Cost,TX,Gonzales County,32.5
77954,Cuero,TX,Dewitt County,32.5
75759,Cuney,TX,Cherokee County,32.5
75208,Dallas,TX,Dallas County,32.5
75218,Dallas,TX,Dallas County,32.5
75240,Dallas,TX,Dallas County,32.5
75262,Dallas,TX,Dallas County,32.5
75283,Dallas,TX,Dallas County,32.5
76523,Davilla,TX,Milam County,32.5
75639,De Berry,TX,Panola County,32.5
76202,Denton,TX,Denton County,32.5
79230,Dodson,TX,Collingsworth County,32.5
77437,El Campo,TX,Wharton County,32.5
78941,Flatonia,TX,Fayette County,32.5
75028,Flower Mound,TX,Denton County,32.5
79517,Fluvanna,TX,Scurry County,32.5
75126,Forney,TX,Kaufman County,32.5
79733,Forsan,TX,Howard County,32.5
76134,Fort Worth,TX,Tarrant County,32.5
75763,Frankston,TX,Anderson County,32.5
75041,Garland,TX,Dallas County,32.5
77442,Garwood,TX,Colorado County,32.5
77443,Glen Flora,TX,Wharton County,32.5
78629,Gonzales,TX,Gonzales County,32.5
76048,Granbury,TX,Hood County,32.5
75054,Grand Prairie,TX,Tarrant County,32.5
