zip,city,state,county,payout
05641,Barre,VT,Washington County,32.5
05340,Bondville,VT,Bennington County,32.5
05304,Brattleboro,VT,Windham County,32.5
05036,Brookfield,VT,Orange County,32.5
05043,East Thetford,VT,Orange County,32.5
05743,Fair Haven,VT,Rutland County,32.5
05601,Montpelier,VT,Washington County,32.5
05660,Moretown,VT,Washington County,32.5
05257,North Bennington,VT,Bennington County,32.5
05346,Putney,VT,Windham County,32.5
05350,Readsboro,VT,Bennington County,32.5
05767,Rochester,VT,Windsor County,32.5
05701,Rutland,VT,Rutland County,32.5
05155,South Londonderry,VT,Windham County,32.5
05677,Waterbury Center,VT,Washington County,32.5
05088,Wilder,VT,Windsor County,32.5
