zip,city,state,county,payout
53501,Afton,WI,Rock County,32.5
54102,Amberg,WI,Marinette County,32.5
54409,Antigo,WI,Langlade County,32.5
54913,Appleton,WI,Outagamie County,32.5
53913,Baraboo,WI,Sauk County,32.5
54922,Bear Creek,WI,Outagamie County,32.5
53916,Beaver Dam,WI,Dodge County,32.5
53805,Boscobel,WI,Grant County,32.5
54416,Bowler,WI,Shawano County,32.5
53005,Brookfield,WI,Waukesha County,32.5
53522,Browntown,WI,Green County,32.5
54515,Catawba,WI,Price County,32.5
54728,Chetek,WI,Barron County,32.5
54729,Chippewa Falls,WI,Chippewa County,32.5
54930,Coloma,WI,Waushara County,32.5
54114,Crivitz,WI,Marinette County,32.5
54931,Dale,WI,Outagamie County,32.5
53118,Dousman,WI,Waukesha County,32.5
54932,Eldorado,WI,Fond Du Lac County,32.5
54210,Ellison Bay,WI,Door County,32.5
54430,Elton,WI,Langlade County,32.5
54934,Eureka,WI,Winnebago County,32.5
53125,Fontana,WI,Walworth County,32.5
54837,Frederic,WI,Polk County,32.5
54940,Fremont,WI,Waupaca County,32.5
54125,Goodman,WI,Marinette County,32.5
54324,Green Bay,WI,Brown County,32.5
54127,Green Valley,WI,Shawano County,32.5
54015,Hammond,WI,St. Croix County,32.5
53811,Hazel Green,WI,Grant County,32.5
54634,Hillsboro,WI,Vernon County,32.5
53034,Hustisford,WI,Dodge County,32.5
54637,Hustler,WI,Juneau County,32.5
53036,Ixonia,WI,Jefferson County,32.5
53144,Kenosha,WI,Kenosha County,32.5
54135,Keshena,WI,Menominee County,32.5
54749,Knapp,WI,Dunn County,32.5
53941,La Valle,WI,Sauk County,32.5
53147,Lake Geneva,WI,Walworth County,32.5
54141,Little Suamico,WI,Oconto County,32.5
54446,Loyal,WI,Clark County,32.5
53794,Madison,WI,Dane County,32.5
53049,Malone,WI,Fond Du Lac County,32.5
54543,Mc Naughton,WI,Oneida County,32.5
53221,Milwaukee,WI,Milwaukee County,32.5
53263,Milwaukee,WI,Milwaukee County,32.5
53278,Milwaukee,WI,Milwaukee County,32.5
53290,Milwaukee,WI,Milwaukee County,32.5
53150,Muskego,WI,Waukesha County,32.5
54457,Nekoosa,WI,Wood County,32.5
53061,New Holstein,WI,Calumet County,32.5
54962,Ogdensburg,WI,Waupaca County,32.5
53069,Okauchee,WI,Waukesha County,32.5
53156,Palmyra,WI,Jefferson County,32.5
54464,Phlox,WI,Langlade County,32.5
54467,Plover,WI,Portage County,32.5
54160,Potter,WI,Calumet County,32.5
54968,Princeton,WI,Green Lake County,32.5
53957,Randolph,WI,Columbia County,32.5
54470,Rib Lake,WI,Taylor County,32.5
54169,Sherwood,WI,Calumet County,32.5
54872,Siren,WI,Burnett County,32.5
53086,Slinger,WI,Washington County,32.5
54479,Spencer,WI,Marathon County,32.5
54767,Spring Valley,WI,Pierce County,32.5
53596,Sun Prairie,WI,Dane County,32.5
54240,Tisch Mills,WI,Manitowoc County,32.5
54563,Tony,WI,Rusk County,32.5
54566,Wabeno,WI,Forest County,32.5
54246,Washington Island,WI,Door County,32.5
53095,West Bend,WI,Washington County,32.5
54494,Wisconsin Rapids,WI,Wood County,32.5
53099,Woodland,WI,Dodge County,32.5
53969,Wyocena,WI,Columbia County,32.5
