zip,city,state,county,payout
35440,Abernant,AL,Tuscaloosa County,35.0
35005,Adamsville,AL,Jefferson County,37.13
35540,Addison,AL,Winston County,33.25
35006,Adger,AL,Jefferson County,37.13
35007,Alabaster,AL,Shelby County,42.52
35114,Alabaster,AL,Shelby County,37.13
35010,Alexander City,AL,Tallapoosa County,63.0
35011,Alexander City,AL,Tallapoosa County,63.0
36250,Alexandria,AL,Calhoun County,35.0
35013,Allgood,AL,Blount County,35.0
35015,Alton,AL,Jefferson County,42.0
35610,Anderson,AL,Lauderdale County,47.25
36201,Anniston,AL,Calhoun County,35.0
36202,Anniston,AL,Calhoun County,35.0
36204,Anniston,AL,Calhoun County,35.0
36205,Anniston,AL,Calhoun County,35.0
36206,Anniston,AL,Calhoun County,35.0
36207,Anniston,AL,Calhoun County,35.0
35016,Arab,AL,Marshall County,61.25
35739,Ardmore,AL,Limestone County,48.13
35541,Arley,AL,Winston County,33.25
35953,Ashville,AL,St. Clair County,35.0
35611,Athens,AL,Limestone County,47.25
35612,Athens,AL,Limestone County,47.25
35613,Athens,AL,Limestone County,47.25
35614,Athens,AL,Limestone County,47.25
36830,Auburn,AL,Lee County,63.0
36831,Auburn,AL,Lee County,63.0
36832,Auburn,AL,Lee County,63.0
36849,Auburn University,AL,Lee County,63.0
36505,Axis,AL,Mobile County,41.3
35019,Baileyton,AL,Cullman County,33.25
36507,Bay Minette,AL,Baldwin County,41.3
35615,Belle Mina,AL,Limestone County,47.25
35020,Bessemer,AL,Jefferson County,42.52
35021,Bessemer,AL,Jefferson County,37.13
35022,Bessemer,AL,Jefferson County,40.95
35023,Bessemer,AL,Jefferson County,37.13
35201,Birmingham,AL,Jefferson County,42.0
35202,Birmingham,AL,Jefferson County,42.0
35203,Birmingham,AL,Jefferson County,42.0
35204,Birmingham,AL,Jefferson County,42.52
35205,Birmingham,AL,Jefferson County,42.0
35206,Birmingham,AL,Jefferson County,42.0
35207,Birmingham,AL,Jefferson County,42.0
35208,Birmingham,AL,Jefferson County,42.0
35209,Birmingham,AL,Jefferson County,42.0
35210,Birmingham,AL,Jefferson County,42.0
35211,Birmingham,AL,Jefferson County,37.13
35212,Birmingham,AL,Jefferson County,42.0
35213,Birmingham,AL,Jefferson County,42.52
35214,Birmingham,AL,Jefferson County,37.13
35215,Birmingham,AL,Jefferson County,42.52
35216,Birmingham,AL,Jefferson County,42.0
35217,Birmingham,AL,Jefferson County,42.0
35218,Birmingham,AL,Jefferson County,37.13
35219,Birmingham,AL,Jefferson County,42.0
35220,Birmingham,AL,Jefferson County,42.0
35221,Birmingham,AL,Jefferson County,37.13
35222,Birmingham,AL,Jefferson County,42.0
35223,Birmingham,AL,Jefferson County,42.0
35224,Birmingham,AL,Jefferson County,37.13
35226,Birmingham,AL,Jefferson County,42.52
35228,Birmingham,AL,Jefferson County,42.52
35229,Birmingham,AL,Jefferson County,42.0
35231,Birmingham,AL,Jefferson County,37.13
35232,Birmingham,AL,Jefferson County,42.0
35233,Birmingham,AL,Jefferson County,42.0
35234,Birmingham,AL,Jefferson County,42.52
35235,Birmingham,AL,Jefferson County,42.0
35236,Birmingham,AL,Jefferson County,42.0
35237,Birmingham,AL,Jefferson County,42.0
35238,Birmingham,AL,Jefferson County,42.0
35242,Birmingham,AL,Shelby County,42.0
35243,Birmingham,AL,Jefferson County,42.0
35244,Birmingham,AL,Jefferson County,42.0
35246,Birmingham,AL,Jefferson County,42.0
35249,Birmingham,AL,Jefferson County,42.0
35253,Birmingham,AL,Jefferson County,42.0
35254,Birmingham,AL,Jefferson County,37.13
35255,Birmingham,AL,Jefferson County,42.0
35259,Birmingham,AL,Jefferson County,42.0
35260,Birmingham,AL,Jefferson County,42.0
35261,Birmingham,AL,Jefferson County,42.0
