zip,city,state,county,payout
06230,Abington,CT,Windham County,38.5
06232,Andover,CT,Tolland County,38.5
06278,Ashford,CT,Windham County,38.5
06043,Bolton,CT,Tolland County,38.5
06016,Broad Brook,CT,Hartford County,38.5
06234,Brooklyn,CT,Windham County,38.5
06331,Canterbury,CT,Windham County,38.5
06332,Central Village,CT,Windham County,38.5
06235,Chaplin,CT,Windham County,38.5
06238,Coventry,CT,Tolland County,38.5
06239,Danielson,CT,Windham County,38.5
06241,Dayville,CT,Windham County,38.5
06108,East Hartford,CT,Hartford County,38.5
06118,East Hartford,CT,Hartford County,38.5
06243,East Killingly,CT,Windham County,38.5
06088,East Windsor,CT,Hartford County,38.5
06242,Eastford,CT,Windham County,38.5
06029,Ellington,CT,Tolland County,38.5
06082,Enfield,CT,Hartford County,38.5
06335,Gales Ferry,CT,New London County,38.5
06340,Groton,CT,New London County,38.5
06349,Groton,CT,New London County,38.5
06247,Hampton,CT,Windham County,38.5
06351,Jewett City,CT,New London County,38.5
06339,Ledyard,CT,New London County,38.5
06040,Manchester,CT,Hartford County,38.5
06041,Manchester,CT,Hartford County,38.5
06042,Manchester,CT,Hartford County,38.5
06250,Mansfield Center,CT,Tolland County,38.5
06338,Mashantucket,CT,New London County,38.5
06354,Moosup,CT,Windham County,38.5
06355,Mystic,CT,New London County,38.5
06320,New London,CT,New London County,38.5
06357,Niantic,CT,New London County,38.5
06255,North Grosvenordale,CT,Windham County,38.5
06359,North Stonington,CT,New London County,38.5
06256,North Windham,CT,Windham County,38.5
06370,Oakdale,CT,New London County,38.5
06371,Old Lyme,CT,New London County,38.5
06475,Old Saybrook,CT,Middlesex County,38.5
06373,Oneco,CT,Windham County,38.5
06379,Pawcatuck,CT,New London County,38.5
06374,Plainfield,CT,Windham County,38.5
06259,Pomfret Center,CT,Windham County,38.5
06365,Preston,CT,New London County,38.5
06260,Putnam,CT,Windham County,38.5
06375,Quaker Hill,CT,New London County,38.5
06262,Quinebaug,CT,Windham County,38.5
06263,Rogers,CT,Windham County,38.5
06482,Sandy Hook,CT,Fairfield County,35.44
06071,Somers,CT,Tolland County,38.5
06074,South Windsor,CT,Hartford County,38.5
06076,Stafford Springs,CT,Tolland County,38.5
06377,Sterling,CT,Windham County,38.5
06378,Stonington,CT,New London County,38.5
06268,Storrs Mansfield,CT,Tolland County,38.5
06269,Storrs Mansfield,CT,Tolland County,38.5
06277,Thompson,CT,Windham County,38.5
06084,Tolland,CT,Tolland County,38.5
06382,Uncasville,CT,New London County,38.5
06066,Vernon Rockville,CT,Tolland County,38.5
06384,Voluntown,CT,New London County,38.5
06385,Waterford,CT,New London County,38.5
06279,Willington,CT,Tolland County,38.5
06281,Woodstock,CT,Windham County,38.5
06282,Woodstock Valley,CT,Windham County,38.5
