zip,city,state,county,payout
20001,Washington,DC,District Of Columbia County,56.7
20002,Washington,DC,District Of Columbia County,56.7
20003,Washington,DC,District Of Columbia County,52.5
20004,Washington,DC,District Of Columbia County,52.5
20005,Washington,DC,District Of Columbia County,56.0
20006,Washington,DC,District Of Columbia County,52.5
20007,Washington,DC,District Of Columbia County,39.38
20008,Washington,DC,District Of Columbia County,39.38
20009,Washington,DC,District Of Columbia County,39.38
20010,Washington,DC,District Of Columbia County,52.5
20011,Washington,DC,District Of Columbia County,39.38
20012,Washington,DC,District Of Columbia County,39.38
20013,Washington,DC,District Of Columbia County,52.5
20015,Washington,DC,District Of Columbia County,39.38
20016,Washington,DC,District Of Columbia County,39.38
20017,Washington,DC,District Of Columbia County,52.5
20018,Washington,DC,District Of Columbia County,52.5
20019,Washington,DC,District Of Columbia County,56.7
20020,Washington,DC,District Of Columbia County,52.5
20022,Washington,DC,District Of Columbia County,52.5
20024,Washington,DC,District Of Columbia County,52.5
20030,Washington,DC,District Of Columbia County,52.5
20032,Washington,DC,District Of Columbia County,52.5
20036,Washington,DC,District Of Columbia County,39.38
20037,Washington,DC,District Of Columbia County,56.0
20038,Washington,DC,District Of Columbia County,52.5
20039,Washington,DC,District Of Columbia County,52.5
20040,Washington,DC,District Of Columbia County,52.5
20041,Washington,DC,District Of Columbia County,52.5
20042,Washington,DC,District Of Columbia County,52.5
20043,Washington,DC,District Of Columbia County,52.5
20044,Washington,DC,District Of Columbia County,52.5
20045,Washington,DC,District Of Columbia County,52.5
20047,Washington,DC,District Of Columbia County,52.5
20049,Washington,DC,District Of Columbia County,52.5
20050,Washington,DC,District Of Columbia County,52.5
20052,Washington,DC,District Of Columbia County,52.5
20053,Washington,DC,District Of Columbia County,52.5
20055,Washington,DC,District Of Columbia County,52.5
20056,Washington,DC,District Of Columbia County,52.5
20057,Washington,DC,District Of Columbia County,52.5
20058,Washington,DC,District Of Columbia County,52.5
20059,Washington,DC,District Of Columbia County,52.5
20060,Washington,DC,District Of Columbia County,52.5
20061,Washington,DC,District Of Columbia County,52.5
20062,Washington,DC,District Of Columbia County,52.5
20063,Washington,DC,District Of Columbia County,52.5
20064,Washington,DC,District Of Columbia County,52.5
20210,Washington,DC,District Of Columbia County,34.3
20217,Washington,DC,District Of Columbia County,34.3
20220,Washington,DC,District Of Columbia County,34.3
20224,Washington,DC,District Of Columbia County,34.3
20230,Washington,DC,District Of Columbia County,34.3
20240,Washington,DC,District Of Columbia County,34.3
20245,Washington,DC,District Of Columbia County,34.3
20303,Washington,DC,District Of Columbia County,34.3
20306,Washington,DC,District Of Columbia County,34.3
20317,Washington,DC,District Of Columbia County,34.3
20372,Washington,DC,District Of Columbia County,34.3
20390,Washington,DC,District Of Columbia County,34.3
20392,Washington,DC,District Of Columbia County,34.3
20401,Washington,DC,District Of Columbia County,34.3
20405,Washington,DC,District Of Columbia County,34.3
20408,Washington,DC,District Of Columbia County,34.3
20415,Washington,DC,District Of Columbia County,34.3
20418,Washington,DC,District Of Columbia County,34.3
20422,Washington,DC,District Of Columbia County,34.3
20431,Washington,DC,District Of Columbia County,34.3
20433,Washington,DC,District Of Columbia County,34.3
20500,Washington,DC,District Of Columbia County,34.3
20502,Washington,DC,District Of Columbia County,34.3
20510,Washington,DC,District Of Columbia County,34.3
20520,Washington,DC,District Of Columbia County,34.3
20529,Washington,DC,District Of Columbia County,34.3
20530,Washington,DC,District Of Columbia County,34.3
20534,Washington,DC,District Of Columbia County,34.3
20535,Washington,DC,District Of Columbia County,34.3
20540,Washington,DC,District Of Columbia County,34.3
20543,Washington,DC,District Of Columbia County,34.3
20544,Washington,DC,District Of Columbia County,34.3
20548,Washington,DC,District Of Columbia County,34.3
20549,Washington,DC,District Of Columbia County,34.3
20551,Washington,DC,District Of Columbia County,34.3
20560,Washington,DC,District Of Columbia County,34.3
20565,Washington,DC,District Of Columbia County,34.3
20566,Washington,DC,District Of Columbia County,34.3
20580,Washington,DC,District Of Columbia County,34.3
20590,Washington,DC,District Of Columbia County,34.3
20374,Washington Navy Yard,DC,District Of Columbia County,34.3
20376,Washington Navy Yard,DC,District Of Columbia County,34.3
