zip,city,state,county,payout
19701,Bear,DE,New Castle County,60.5
19933,Bridgeville,DE,Sussex County,49.0
19934,Camden Wyoming,DE,Kent County,49.0
19703,Claymont,DE,New Castle County,60.5
19706,Delaware City,DE,New Castle County,60.5
19940,Delmar,DE,Sussex County,49.0
19901,Dover,DE,Kent County,49.0
19904,Dover,DE,Kent County,49.0
19902,Dover Afb,DE,Kent County,49.0
19941,Ellendale,DE,Sussex County,49.0
19943,Felton,DE,Kent County,49.0
19947,Georgetown,DE,Sussex County,49.0
19952,Harrington,DE,Kent County,49.0
19953,Hartly,DE,Kent County,49.0
19707,Hockessin,DE,New Castle County,60.5
19708,Kirkwood,DE,New Castle County,60.5
19956,Laurel,DE,Sussex County,49.0
19958,Lewes,DE,Sussex County,49.0
19709,Middletown,DE,New Castle County,60.5
19963,Milford,DE,Sussex County,49.0
19966,Millsboro,DE,Sussex County,49.0
19968,Milton,DE,Sussex County,49.0
19710,Montchanin,DE,New Castle County,60.5
19720,New Castle,DE,New Castle County,69.3
19721,New Castle,DE,New Castle County,60.5
19726,New Castle,DE,New Castle County,60.5
19702,Newark,DE,New Castle County,60.5
19711,Newark,DE,New Castle County,69.3
19712,Newark,DE,New Castle County,60.5
19713,Newark,DE,New Castle County,60.5
19714,Newark,DE,New Castle County,60.5
19715,Newark,DE,New Castle County,60.5
19716,Newark,DE,New Castle County,60.5
19717,Newark,DE,New Castle County,60.5
19718,Newark,DE,New Castle County,60.5
19725,Newark,DE,New Castle County,60.5
19970,Ocean View,DE,Sussex County,49.0
19730,Odessa,DE,New Castle County,60.5
19731,Port Penn,DE,New Castle County,60.5
19732,Rockland,DE,New Castle County,60.5
19733,Saint Georges,DE,New Castle County,60.5
19973,Seaford,DE,Sussex County,49.0
19975,Selbyville,DE,Sussex County,49.0
19977,Smyrna,DE,Kent County,49.0
19734,Townsend,DE,New Castle County,60.5
19801,Wilmington,DE,New Castle County,36.75
19802,Wilmington,DE,New Castle County,36.75
19803,Wilmington,DE,New Castle County,60.5
19804,Wilmington,DE,New Castle County,60.5
19805,Wilmington,DE,New Castle County,36.75
19806,Wilmington,DE,New Castle County,36.75
19807,Wilmington,DE,New Castle County,60.5
19808,Wilmington,DE,New Castle County,69.3
19809,Wilmington,DE,New Castle County,36.75
19810,Wilmington,DE,New Castle County,60.5
19850,Wilmington,DE,New Castle County,36.75
19880,Wilmington,DE,New Castle County,36.75
19884,Wilmington,DE,New Castle County,36.75
19885,Wilmington,DE,New Castle County,36.75
19886,Wilmington,DE,New Castle County,36.75
19890,Wilmington,DE,New Castle County,36.75
19891,Wilmington,DE,New Castle County,36.75
19892,Wilmington,DE,New Castle County,60.5
19893,Wilmington,DE,New Castle County,36.75
19894,Wilmington,DE,New Castle County,36.75
19895,Wilmington,DE,New Castle County,36.75
19896,Wilmington,DE,New Castle County,36.75
19897,Wilmington,DE,New Castle County,60.5
19898,Wilmington,DE,New Castle County,36.75
19899,Wilmington,DE,New Castle County,36.75
19735,Winterthur,DE,New Castle County,60.5
19736,Yorklyn,DE,New Castle County,60.5
