zip,city,state,county,payout
32420,Alford,FL,Jackson County,53.9
32701,Altamonte Springs,FL,Seminole County,32.81
32714,Altamonte Springs,FL,Seminole County,38.27
32715,Altamonte Springs,FL,Seminole County,35.75
32716,Altamonte Springs,FL,Seminole County,35.75
32421,Altha,FL,Calhoun County,33.69
32702,Altoona,FL,Lake County,35.75
33820,Alturas,FL,Polk County,48.13
33920,Alva,FL,Lee County,78.75
34216,Anna Maria,FL,Manatee County,59.5
32617,Anthony,FL,Marion County,35.0
32320,Apalachicola,FL,Franklin County,53.9
33572,Apollo Beach,FL,Hillsborough County,59.85
32703,Apopka,FL,Orange County,32.81
32704,Apopka,FL,Orange County,35.75
32712,Apopka,FL,Orange County,32.81
34265,Arcadia,FL,Desoto County,35.0
34266,Arcadia,FL,Desoto County,50.4
34269,Arcadia,FL,Desoto County,35.0
32422,Argyle,FL,Walton County,39.88
34679,Aripeka,FL,Pasco County,41.25
34705,Astatula,FL,Lake County,35.0
32102,Astor,FL,Lake County,35.75
32233,Atlantic Beach,FL,Duval County,77.55
33823,Auburndale,FL,Polk County,49.28
33825,Avon Park,FL,Highlands County,55.13
33827,Babson Park,FL,Polk County,48.13
32530,Bagdad,FL,Santa Rosa County,39.88
32531,Baker,FL,Okaloosa County,42.27
33503,Balm,FL,Hillsborough County,41.25
32105,Barberville,FL,Volusia County,36.75
33830,Bartow,FL,Polk County,53.9
33831,Bartow,FL,Polk County,48.13
33744,Bay Pines,FL,Pinellas County,41.25
33430,Belle Glade,FL,Palm Beach County,71.75
33786,Belleair Beach,FL,Pinellas County,41.25
34420,Belleview,FL,Marion County,35.0
34421,Belleview,FL,Marion County,34.3
34465,Beverly Hills,FL,Citrus County,35.44
32424,Blountstown,FL,Calhoun County,53.9
33427,Boca Raton,FL,Palm Beach County,71.75
33428,Boca Raton,FL,Palm Beach County,71.75
33429,Boca Raton,FL,Palm Beach County,71.75
33431,Boca Raton,FL,Palm Beach County,78.75
33432,Boca Raton,FL,Palm Beach County,71.75
33433,Boca Raton,FL,Palm Beach County,78.75
33434,Boca Raton,FL,Palm Beach County,71.75
33464,Boca Raton,FL,Palm Beach County,71.75
33481,Boca Raton,FL,Palm Beach County,71.75
33486,Boca Raton,FL,Palm Beach County,71.75
33487,Boca Raton,FL,Palm Beach County,71.75
33488,Boca Raton,FL,Palm Beach County,71.75
33496,Boca Raton,FL,Palm Beach County,78.75
33497,Boca Raton,FL,Palm Beach County,71.75
33498,Boca Raton,FL,Palm Beach County,71.75
33499,Boca Raton,FL,Palm Beach County,71.75
32425,Bonifay,FL,Holmes County,53.9
34133,Bonita Springs,FL,Lee County,47.91
34134,Bonita Springs,FL,Lee County,78.75
34135,Bonita Springs,FL,Lee County,78.75
34136,Bonita Springs,FL,Lee County,47.25
33834,Bowling Green,FL,Hardee County,38.98
33424,Boynton Beach,FL,Palm Beach County,71.75
33425,Boynton Beach,FL,Palm Beach County,71.75
33426,Boynton Beach,FL,Palm Beach County,71.75
33435,Boynton Beach,FL,Palm Beach County,94.5
33436,Boynton Beach,FL,Palm Beach County,78.75
33437,Boynton Beach,FL,Palm Beach County,71.75
33472,Boynton Beach,FL,Palm Beach County,71.75
33473,Boynton Beach,FL,Palm Beach County,71.75
33474,Boynton Beach,FL,Palm Beach County,71.75
34201,Bradenton,FL,Manatee County,59.5
34202,Bradenton,FL,Manatee County,59.5
34203,Bradenton,FL,Manatee County,59.5
34204,Bradenton,FL,Manatee County,59.5
34205,Bradenton,FL,Manatee County,59.5
34206,Bradenton,FL,Manatee County,59.5
34207,Bradenton,FL,Manatee County,59.5
34208,Bradenton,FL,Manatee County,59.5
34209,Bradenton,FL,Manatee County,59.5
34210,Bradenton,FL,Manatee County,59.85
34211,Bradenton,FL,Manatee County,59.5
34212,Bradenton,FL,Manatee County,59.5
34280,Bradenton,FL,Manatee County,59.5
34281,Bradenton,FL,Manatee County,59.5
34282,Bradenton,FL,Manatee County,59.5
34217,Bradenton Beach,FL,Manatee County,59.5
33835,Bradley,FL,Polk County,38.98
33508,Brandon,FL,Hillsborough County,50.15
33509,Brandon,FL,Hillsborough County,41.25
33510,Brandon,FL,Hillsborough County,49.82
33511,Brandon,FL,Hillsborough County,50.15
32321,Bristol,FL,Liberty County,41.3
