zip,city,state,county,payout
70420,Abita Springs,LA,St. Tammany County,64.75
70710,Addis,LA,West. Baton Rouge County,45.5
70421,Akers,LA,Tangipahoa County,64.75
70711,Albany,LA,Livingston County,45.5
70031,Ama,LA,St. Charles County,66.5
70426,Angie,LA,Washington County,45.38
70032,Arabi,LA,St. Bernard County,66.5
70704,Baker,LA,East. Baton Rouge County,45.5
70714,Baker,LA,East. Baton Rouge County,45.5
70036,Barataria,LA,Jefferson County,66.5
70801,Baton Rouge,LA,East. Baton Rouge County,45.5
70802,Baton Rouge,LA,East. Baton Rouge County,50.4
70803,Baton Rouge,LA,East. Baton Rouge County,45.5
70804,Baton Rouge,LA,East. Baton Rouge County,45.5
70805,Baton Rouge,LA,East. Baton Rouge County,45.5
70806,Baton Rouge,LA,East. Baton Rouge County,45.5
70807,Baton Rouge,LA,East. Baton Rouge County,45.5
70808,Baton Rouge,LA,East. Baton Rouge County,45.5
70809,Baton Rouge,LA,East. Baton Rouge County,45.5
70810,Baton Rouge,LA,East. Baton Rouge County,50.4
70811,Baton Rouge,LA,East. Baton Rouge County,45.5
70812,Baton Rouge,LA,East. Baton Rouge County,45.5
70813,Baton Rouge,LA,East. Baton Rouge County,45.5
70814,Baton Rouge,LA,East. Baton Rouge County,45.5
70815,Baton Rouge,LA,East. Baton Rouge County,45.5
70816,Baton Rouge,LA,East. Baton Rouge County,45.5
70817,Baton Rouge,LA,East. Baton Rouge County,50.4
70818,Baton Rouge,LA,East. Baton Rouge County,45.5
70819,Baton Rouge,LA,East. Baton Rouge County,45.5
70820,Baton Rouge,LA,East. Baton Rouge County,45.5
70821,Baton Rouge,LA,East. Baton Rouge County,45.5
70822,Baton Rouge,LA,East. Baton Rouge County,45.5
70823,Baton Rouge,LA,East. Baton Rouge County,45.5
70825,Baton Rouge,LA,East. Baton Rouge County,45.5
70826,Baton Rouge,LA,East. Baton Rouge County,45.5
70827,Baton Rouge,LA,East. Baton Rouge County,45.5
70831,Baton Rouge,LA,East. Baton Rouge County,45.5
70833,Baton Rouge,LA,East. Baton Rouge County,45.5
70835,Baton Rouge,LA,East. Baton Rouge County,45.5
70836,Baton Rouge,LA,East. Baton Rouge County,45.5
70837,Baton Rouge,LA,East. Baton Rouge County,45.5
70873,Baton Rouge,LA,East. Baton Rouge County,45.5
70874,Baton Rouge,LA,East. Baton Rouge County,45.5
70879,Baton Rouge,LA,East. Baton Rouge County,45.5
70884,Baton Rouge,LA,East. Baton Rouge County,45.5
70891,Baton Rouge,LA,East. Baton Rouge County,45.5
70892,Baton Rouge,LA,East. Baton Rouge County,50.4
70893,Baton Rouge,LA,East. Baton Rouge County,45.5
70894,Baton Rouge,LA,East. Baton Rouge County,45.5
70895,Baton Rouge,LA,East. Baton Rouge County,45.5
70896,Baton Rouge,LA,East. Baton Rouge County,45.5
70898,Baton Rouge,LA,East. Baton Rouge County,45.5
70037,Belle Chasse,LA,Plaquemines County,66.5
70427,Bogalusa,LA,Washington County,45.38
70429,Bogalusa,LA,Washington County,52.18
71111,Bossier City,LA,Bossier County,36.75
71112,Bossier City,LA,Bossier County,36.75
70039,Boutte,LA,St. Charles County,66.5
70040,Braithwaite,LA,Plaquemines County,64.75
70718,Brittany,LA,Ascension County,45.5
70719,Brusly,LA,West. Baton Rouge County,45.5
70041,Buras,LA,Plaquemines County,45.38
70431,Bush,LA,St. Tammany County,64.75
70721,Carville,LA,Iberville County,45.5
70043,Chalmette,LA,St. Bernard County,66.5
70044,Chalmette,LA,St. Bernard County,66.5
70433,Covington,LA,St. Tammany County,75.81
70434,Covington,LA,St. Tammany County,52.18
70435,Covington,LA,St. Tammany County,64.75
70725,Darrow,LA,Ascension County,45.5
70706,Denham Springs,LA,Livingston County,50.4
70726,Denham Springs,LA,Livingston County,45.5
70727,Denham Springs,LA,Livingston County,45.5
70030,Des Allemands,LA,St. Charles County,64.75
70047,Destrehan,LA,St. Charles County,66.5
70728,Duplessis,LA,Ascension County,45.5
70729,Erwinville,LA,West. Baton Rouge County,45.5
70730,Ethel,LA,East. Feliciana County,45.5
70437,Folsom,LA,St. Tammany County,75.81
70438,Franklinton,LA,Washington County,45.38
70733,French Settlement,LA,Livingston County,45.5
70051,Garyville,LA,St. John The Baptist County,64.75
70734,Geismar,LA,Ascension County,45.5
70736,Glynn,LA,Pointe Coupee County,45.5
70707,Gonzales,LA,Ascension County,45.5
70737,Gonzales,LA,Ascension County,45.5
70052,Gramercy,LA,St. James County,64.75
70739,Greenwell Springs,LA,East. Baton Rouge County,45.5
70053,Gretna,LA,Jefferson County,66.5
70056,Gretna,LA,Jefferson County,66.5
70057,Hahnville,LA,St. Charles County,64.75
70401,Hammond,LA,Tangipahoa County,64.75
70402,Hammond,LA,Tangipahoa County,45.5
70403,Hammond,LA,Tangipahoa County,45.5
70404,Hammond,LA,Tangipahoa County,45.5
70058,Harvey,LA,Jefferson County,66.5
71037,Haughton,LA,Bossier County,36.75
70744,Holden,LA,Livingston County,50.4
70443,Independence,LA,Tangipahoa County,45.5
70748,Jackson,LA,East. Feliciana County,45.5
70749,Jarreau,LA,Pointe Coupee County,45.5
70062,Kenner,LA,Jefferson County,66.5
70065,Kenner,LA,Jefferson County,66.5
70068,La Place,LA,St. John The Baptist County,66.5
70069,La Place,LA,St. John The Baptist County,66.5
70445,Lacombe,LA,St. Tammany County,75.81
70067,Lafitte,LA,Jefferson County,64.75
70752,Lakeland,LA,Pointe Coupee County,45.5
70754,Livingston,LA,Livingston County,45.5
70755,Livonia,LA,Pointe Coupee County,45.5
70446,Loranger,LA,Tangipahoa County,45.5
70070,Luling,LA,St. Charles County,64.75
70071,Lutcher,LA,St. James County,64.75
70447,Madisonville,LA,St. Tammany County,75.81
70448,Mandeville,LA,St. Tammany County,75.81
70470,Mandeville,LA,St. Tammany County,66.5
70471,Mandeville,LA,St. Tammany County,75.81
70072,Marrero,LA,Jefferson County,66.5
70449,Maurepas,LA,Livingston County,45.5
70075,Meraux,LA,St. Bernard County,66.5
70001,Metairie,LA,Jefferson County,66.5
70002,Metairie,LA,Jefferson County,66.5
70003,Metairie,LA,Jefferson County,66.5
70005,Metairie,LA,Jefferson County,66.5
70006,Metairie,LA,Jefferson County,66.5
70759,Morganza,LA,Pointe Coupee County,45.5
70076,Mount Airy,LA,St. John The Baptist County,64.75
70450,Mount Hermon,LA,Washington County,45.38
70451,Natalbany,LA,Tangipahoa County,45.5
70112,New Orleans,LA,Orleans County,66.5
70113,New Orleans,LA,Orleans County,66.5
70114,New Orleans,LA,Orleans County,66.5
70115,New Orleans,LA,Orleans County,66.5
70116,New Orleans,LA,Orleans County,66.5
70117,New Orleans,LA,Orleans County,64.75
70118,New Orleans,LA,Orleans County,66.5
70119,New Orleans,LA,Orleans County,66.5
70121,New Orleans,LA,Jefferson County,66.5
70122,New Orleans,LA,Orleans County,66.5
70123,New Orleans,LA,Jefferson County,66.5
70124,New Orleans,LA,Orleans County,66.5
70125,New Orleans,LA,Orleans County,66.5
70126,New Orleans,LA,Orleans County,66.5
70127,New Orleans,LA,Orleans County,66.5
70128,New Orleans,LA,Orleans County,66.5
70129,New Orleans,LA,Orleans County,66.5
70130,New Orleans,LA,Orleans County,66.5
70131,New Orleans,LA,Orleans County,66.5
70148,New Orleans,LA,Orleans County,66.5
70760,New Roads,LA,Pointe Coupee County,45.5
70079,Norco,LA,St. Charles County,64.75
70762,Oscar,LA,Pointe Coupee County,45.5
70080,Paradis,LA,St. Charles County,64.75
70452,Pearl River,LA,St. Tammany County,64.75
70453,Pine Grove,LA,St. Helena County,45.5
70765,Plaquemine,LA,Iberville County,45.5
70454,Ponchatoula,LA,Tangipahoa County,64.75
70767,Port Allen,LA,West. Baton Rouge County,45.5
70769,Prairieville,LA,Ascension County,45.5
70770,Pride,LA,East. Baton Rouge County,45.5
70084,Reserve,LA,St. John The Baptist County,64.75
70455,Robert,LA,Tangipahoa County,64.75
70772,Rosedale,LA,Iberville County,45.5
70773,Rougon,LA,Pointe Coupee County,45.5
70774,Saint Amant,LA,Ascension County,45.5
70457,Saint Benedict,LA,St. Tammany County,75.81
70085,Saint Bernard,LA,St. Bernard County,64.75
70776,Saint Gabriel,LA,Iberville County,45.5
70087,Saint Rose,LA,St. Charles County,64.75
71101,Shreveport,LA,Caddo County,36.75
71104,Shreveport,LA,Caddo County,36.75
71106,Shreveport,LA,Caddo County,36.75
71107,Shreveport,LA,Caddo County,36.75
71109,Shreveport,LA,Caddo County,36.75
71118,Shreveport,LA,Caddo County,36.75
71119,Shreveport,LA,Caddo County,36.75
70777,Slaughter,LA,East. Feliciana County,45.5
70458,Slidell,LA,St. Tammany County,73.15
70459,Slidell,LA,St. Tammany County,66.5
70460,Slidell,LA,St. Tammany County,73.15
70461,Slidell,LA,St. Tammany County,75.81
70469,Slidell,LA,St. Tammany County,52.18
70778,Sorrento,LA,Ascension County,45.5
70462,Springfield,LA,Livingston County,45.5
70780,Sunshine,LA,Iberville County,45.5
70464,Talisheek,LA,St. Tammany County,45.5
70466,Tickfaw,LA,Tangipahoa County,45.5
70783,Ventress,LA,Pointe Coupee County,45.5
70092,Violet,LA,St. Bernard County,64.75
70785,Walker,LA,Livingston County,45.5
70786,Watson,LA,Livingston County,45.5
70094,Westwego,LA,Jefferson County,66.5
70791,Zachary,LA,East. Baton Rouge County,45.5
