zip,city,state,county,payout
21001,Aberdeen,MD,Harford County,41.48
21009,Abingdon,MD,Harford County,41.48
20607,Accokeek,MD,Prince George'S County,34.3
21710,Adamstown,MD,Frederick County,42.0
20762,Andrews Air Force Base,MD,Prince George'S County,34.3
21401,Annapolis,MD,Anne Arundel County,45.5
21402,Annapolis,MD,Anne Arundel County,45.5
21403,Annapolis,MD,Anne Arundel County,45.5
21405,Annapolis,MD,Anne Arundel County,45.5
21409,Annapolis,MD,Anne Arundel County,45.5
20701,Annapolis Junction,MD,Anne Arundel County,45.5
21012,Arnold,MD,Anne Arundel County,45.5
20861,Ashton,MD,Montgomery County,42.0
21013,Baldwin,MD,Baltimore County,35.75
21203,Baltimore,MD,Baltimore city,35.75
21206,Baltimore,MD,Baltimore city,34.3
21209,Baltimore,MD,Baltimore County,34.3
21210,Baltimore,MD,Baltimore city,34.3
21212,Baltimore,MD,Baltimore city,34.3
21224,Baltimore,MD,Baltimore city,45.5
21229,Baltimore,MD,Baltimore city,34.3
21230,Baltimore,MD,Baltimore city,35.75
21231,Baltimore,MD,Baltimore city,35.75
21233,Baltimore,MD,Baltimore city,35.75
21235,Baltimore,MD,Baltimore city,35.75
21239,Baltimore,MD,Baltimore city,34.3
21240,Baltimore,MD,Anne Arundel County,42.0
21241,Baltimore,MD,Baltimore city,35.75
21250,Baltimore,MD,Baltimore County,35.75
21251,Baltimore,MD,Baltimore city,35.75
21263,Baltimore,MD,Baltimore city,35.75
21264,Baltimore,MD,Baltimore city,35.75
21270,Baltimore,MD,Baltimore city,35.75
21273,Baltimore,MD,Baltimore city,35.75
21275,Baltimore,MD,Baltimore city,35.75
21278,Baltimore,MD,Baltimore city,35.75
21279,Baltimore,MD,Baltimore city,35.75
21281,Baltimore,MD,Baltimore city,35.75
21287,Baltimore,MD,Baltimore city,35.75
21289,Baltimore,MD,Baltimore city,35.75
21290,Baltimore,MD,Baltimore city,35.75
21297,Baltimore,MD,Baltimore city,35.75
21298,Baltimore,MD,Baltimore city,35.75
20838,Barnesville,MD,Montgomery County,42.0
20839,Beallsville,MD,Montgomery County,42.0
21014,Bel Air,MD,Harford County,41.48
21015,Bel Air,MD,Harford County,41.48
21017,Belcamp,MD,Harford County,41.48
20705,Beltsville,MD,Prince George'S County,42.0
21018,Benson,MD,Harford County,41.48
21811,Berlin,MD,Worcester County,49.0
20810,Bethesda,MD,Montgomery County,42.0
20811,Bethesda,MD,Montgomery County,42.0
20813,Bethesda,MD,Montgomery County,42.0
20814,Bethesda,MD,Montgomery County,42.0
20816,Bethesda,MD,Montgomery County,56.0
20817,Bethesda,MD,Montgomery County,56.0
20824,Bethesda,MD,Montgomery County,42.0
20827,Bethesda,MD,Montgomery County,42.0
20889,Bethesda,MD,Montgomery County,42.0
20892,Bethesda,MD,Montgomery County,52.5
20894,Bethesda,MD,Montgomery County,52.5
20710,Bladensburg,MD,Prince George'S County,42.0
20715,Bowie,MD,Prince George'S County,42.0
20716,Bowie,MD,Prince George'S County,42.0
