zip,city,state,county,payout
49301,Ada,MI,Kent County,34.65
49401,Allendale,MI,Ottawa County,39.38
48809,Belding,MI,Ionia County,34.65
49306,Belmont,MI,Kent County,34.65
49022,Benton Harbor,MI,Berrien County,42.7
48072,Berkley,MI,Oakland County,42.7
48009,Birmingham,MI,Oakland County,38.5
48301,Bloomfield Hills,MI,Oakland County,38.5
48302,Bloomfield Hills,MI,Oakland County,38.5
48304,Bloomfield Hills,MI,Oakland County,38.5
48529,Burton,MI,Genesee County,42.7
49315,Byron Center,MI,Kent County,39.38
49316,Caledonia,MI,Kent County,39.38
49031,Cassopolis,MI,Cass County,33.25
49319,Cedar Springs,MI,Kent County,34.65
49032,Centreville,MI,St. Joseph County,33.25
49040,Colon,MI,St. Joseph County,33.25
48382,Commerce Township,MI,Oakland County,35.44
49321,Comstock Park,MI,Kent County,39.38
49042,Constantine,MI,St. Joseph County,33.25
48216,Detroit,MI,Wayne County,42.52
49047,Dowagiac,MI,Cass County,33.25
49112,Edwardsburg,MI,Cass County,33.25
48331,Farmington,MI,Oakland County,38.5
48334,Farmington,MI,Oakland County,38.5
48335,Farmington,MI,Oakland County,38.5
48025,Franklin,MI,Oakland County,38.5
49417,Grand Haven,MI,Ottawa County,42.7
49503,Grand Rapids,MI,Kent County,39.38
49504,Grand Rapids,MI,Kent County,39.38
49505,Grand Rapids,MI,Kent County,39.38
49506,Grand Rapids,MI,Kent County,39.38
49507,Grand Rapids,MI,Kent County,39.38
49508,Grand Rapids,MI,Kent County,39.38
49525,Grand Rapids,MI,Kent County,39.38
49534,Grand Rapids,MI,Kent County,39.38
49544,Grand Rapids,MI,Kent County,39.38
49546,Grand Rapids,MI,Kent County,42.7
49548,Grand Rapids,MI,Kent County,39.38
49418,Grandville,MI,Kent County,39.38
48843,Howell,MI,Livingston County,37.8
49426,Hudsonville,MI,Ottawa County,39.38
49428,Jenison,MI,Ottawa County,39.38
49061,Jones,MI,Cass County,33.25
49330,Kent City,MI,Kent County,34.65
48911,Lansing,MI,Ingham County,37.8
48915,Lansing,MI,Ingham County,42.7
49331,Lowell,MI,Kent County,34.65
49067,Marcellus,MI,Cass County,33.25
49435,Marne,MI,Ottawa County,39.38
49072,Mendon,MI,St. Joseph County,33.25
49120,Niles,MI,Berrien County,33.25
48167,Northville,MI,Oakland County,35.44
49075,Nottawa,MI,St. Joseph County,33.25
48375,Novi,MI,Oakland County,38.5
48376,Novi,MI,Oakland County,38.5
48377,Novi,MI,Oakland County,38.5
48073,Royal Oak,MI,Oakland County,35.44
48034,Southfield,MI,Oakland County,35.44
49091,Sturgis,MI,St. Joseph County,33.25
49093,Three Rivers,MI,St. Joseph County,33.25
48083,Troy,MI,Oakland County,35.44
48084,Troy,MI,Oakland County,38.5
48098,Troy,MI,Oakland County,38.5
49130,Union,MI,Cass County,42.7
49095,Vandalia,MI,Cass County,33.25
48390,Walled Lake,MI,Oakland County,38.5
48322,West Bloomfield,MI,Oakland County,38.5
48323,West Bloomfield,MI,Oakland County,38.5
48324,West Bloomfield,MI,Oakland County,38.5
48325,West Bloomfield,MI,Oakland County,38.5
49460,West Olive,MI,Ottawa County,39.38
49099,White Pigeon,MI,St. Joseph County,33.25
49509,Wyoming,MI,Kent County,39.38
49519,Wyoming,MI,Kent County,39.38
