zip,city,state,county,payout
55001,Afton,MN,Washington County,42.63
55301,Albertville,MN,Wright County,42.63
55304,Andover,MN,Anoka County,42.63
55302,Annandale,MN,Wright County,42.63
55303,Anoka,MN,Anoka County,42.63
55003,Bayport,MN,Washington County,42.63
55308,Becker,MN,Sherburne County,42.63
56011,Belle Plaine,MN,Scott County,35.75
55005,Bethel,MN,Anoka County,42.63
55309,Big Lake,MN,Sherburne County,42.63
55313,Buffalo,MN,Wright County,42.63
55306,Burnsville,MN,Dakota County,42.63
55337,Burnsville,MN,Dakota County,42.63
55008,Cambridge,MN,Isanti County,42.63
55315,Carver,MN,Carver County,42.63
55010,Castle Rock,MN,Dakota County,35.75
55011,Cedar,MN,Anoka County,42.63
55316,Champlin,MN,Hennepin County,42.63
55317,Chanhassen,MN,Carver County,42.63
55318,Chaska,MN,Carver County,42.63
55013,Chisago City,MN,Chisago County,42.63
55014,Circle Pines,MN,Anoka County,42.63
55319,Clear Lake,MN,Sherburne County,42.63
55320,Clearwater,MN,Wright County,42.63
55321,Cokato,MN,Wright County,35.75
55322,Cologne,MN,Carver County,35.75
55016,Cottage Grove,MN,Washington County,42.63
55323,Crystal Bay,MN,Hennepin County,35.75
55327,Dayton,MN,Hennepin County,42.63
55328,Delano,MN,Wright County,42.63
55344,Eden Prairie,MN,Hennepin County,42.63
55346,Eden Prairie,MN,Hennepin County,42.63
55347,Eden Prairie,MN,Hennepin County,42.63
55330,Elk River,MN,Sherburne County,42.63
55020,Elko New Market,MN,Scott County,35.75
55054,Elko New Market,MN,Scott County,35.75
55331,Excelsior,MN,Hennepin County,42.63
55024,Farmington,MN,Dakota County,42.63
55025,Forest Lake,MN,Washington County,42.63
55339,Hamburg,MN,Carver County,35.75
55340,Hamel,MN,Hennepin County,42.63
55031,Hampton,MN,Dakota County,35.75
55341,Hanover,MN,Wright County,42.63
55032,Harris,MN,Chisago County,42.63
55033,Hastings,MN,Dakota County,35.75
55305,Hopkins,MN,Hennepin County,42.63
55343,Hopkins,MN,Hennepin County,42.63
55349,Howard Lake,MN,Wright County,42.63
55575,Howard Lake,MN,Wright County,35.75
55038,Hugo,MN,Washington County,42.63
55076,Inver Grove Heights,MN,Dakota County,42.63
55077,Inver Grove Heights,MN,Dakota County,42.63
55040,Isanti,MN,Isanti County,42.63
55352,Jordan,MN,Scott County,35.75
55042,Lake Elmo,MN,Washington County,42.63
55043,Lakeland,MN,Washington County,42.63
55044,Lakeville,MN,Dakota County,42.63
55045,Lindstrom,MN,Chisago County,42.63
55356,Long Lake,MN,Hennepin County,42.63
55357,Loretto,MN,Hennepin County,42.63
55595,Loretto,MN,Hennepin County,35.75
55596,Loretto,MN,Hennepin County,35.75
55597,Loretto,MN,Hennepin County,35.75
55598,Loretto,MN,Hennepin County,35.75
55599,Loretto,MN,Hennepin County,35.75
55311,Maple Grove,MN,Hennepin County,42.63
55358,Maple Lake,MN,Wright County,42.63
55380,Maple Lake,MN,Wright County,35.75
55348,Maple Plain,MN,Hennepin County,35.75
55359,Maple Plain,MN,Hennepin County,42.63
55393,Maple Plain,MN,Hennepin County,35.75
55570,Maple Plain,MN,Hennepin County,35.75
55571,Maple Plain,MN,Hennepin County,35.75
55574,Maple Plain,MN,Hennepin County,35.75
55576,Maple Plain,MN,Hennepin County,35.75
55578,Maple Plain,MN,Hennepin County,35.75
55579,Maple Plain,MN,Hennepin County,35.75
55592,Maple Plain,MN,Hennepin County,35.75
55593,Maple Plain,MN,Hennepin County,35.75
55047,Marine On Saint Croix,MN,Washington County,42.63
55360,Mayer,MN,Carver County,42.63
55150,Mendota,MN,Dakota County,42.63
55401,Minneapolis,MN,Hennepin County,42.63
55402,Minneapolis,MN,Hennepin County,42.63
55403,Minneapolis,MN,Hennepin County,42.63
55404,Minneapolis,MN,Hennepin County,42.63
55405,Minneapolis,MN,Hennepin County,42.63
55406,Minneapolis,MN,Hennepin County,42.63
55407,Minneapolis,MN,Hennepin County,42.63
55408,Minneapolis,MN,Hennepin County,42.63
55409,Minneapolis,MN,Hennepin County,42.63
55410,Minneapolis,MN,Hennepin County,42.63
55411,Minneapolis,MN,Hennepin County,42.63
55412,Minneapolis,MN,Hennepin County,42.63
55413,Minneapolis,MN,Hennepin County,42.63
55414,Minneapolis,MN,Hennepin County,42.63
55415,Minneapolis,MN,Hennepin County,42.63
55416,Minneapolis,MN,Hennepin County,42.63
55417,Minneapolis,MN,Hennepin County,42.63
55418,Minneapolis,MN,Hennepin County,42.63
55419,Minneapolis,MN,Hennepin County,42.63
55420,Minneapolis,MN,Hennepin County,42.63
55421,Minneapolis,MN,Anoka County,42.63
55422,Minneapolis,MN,Hennepin County,42.63
55423,Minneapolis,MN,Hennepin County,42.63
55424,Minneapolis,MN,Hennepin County,42.63
55425,Minneapolis,MN,Hennepin County,42.63
55426,Minneapolis,MN,Hennepin County,42.63
55427,Minneapolis,MN,Hennepin County,42.63
55428,Minneapolis,MN,Hennepin County,42.63
55429,Minneapolis,MN,Hennepin County,42.63
55430,Minneapolis,MN,Hennepin County,42.63
55431,Minneapolis,MN,Hennepin County,42.63
55432,Minneapolis,MN,Anoka County,42.63
55433,Minneapolis,MN,Anoka County,42.63
55434,Minneapolis,MN,Anoka County,42.63
55435,Minneapolis,MN,Hennepin County,42.63
55436,Minneapolis,MN,Hennepin County,42.63
55437,Minneapolis,MN,Hennepin County,42.63
55438,Minneapolis,MN,Hennepin County,42.63
55439,Minneapolis,MN,Hennepin County,42.63
55440,Minneapolis,MN,Hennepin County,35.75
55441,Minneapolis,MN,Hennepin County,42.63
55442,Minneapolis,MN,Hennepin County,42.63
55443,Minneapolis,MN,Hennepin County,42.63
55444,Minneapolis,MN,Hennepin County,42.63
55445,Minneapolis,MN,Hennepin County,42.63
55446,Minneapolis,MN,Hennepin County,42.63
55447,Minneapolis,MN,Hennepin County,42.63
55448,Minneapolis,MN,Anoka County,42.63
55449,Minneapolis,MN,Anoka County,42.63
55450,Minneapolis,MN,Hennepin County,35.75
55454,Minneapolis,MN,Hennepin County,42.63
55455,Minneapolis,MN,Hennepin County,42.63
55458,Minneapolis,MN,Hennepin County,35.75
55459,Minneapolis,MN,Hennepin County,35.75
55460,Minneapolis,MN,Hennepin County,35.75
55467,Minneapolis,MN,Hennepin County,35.75
55470,Minneapolis,MN,Hennepin County,35.75
55472,Minneapolis,MN,Hennepin County,35.75
