zip,city,state,county,payout
64401,Agency,MO,Buchanan County,49.0
64620,Altamont,MO,Daviess County,45.5
64421,Amazonia,MO,Andrew County,45.5
64422,Amity,MO,Dekalb County,45.5
63821,Arbyrd,MO,Dunklin County,32.9
63011,Ballwin,MO,St. Louis County,41.25
63021,Ballwin,MO,St. Louis County,41.25
63022,Ballwin,MO,St. Louis County,41.25
63024,Ballwin,MO,St. Louis County,41.25
64423,Barnard,MO,Nodaway County,45.5
64011,Bates City,MO,Lafayette County,59.5
64012,Belton,MO,Cass County,44.0
64013,Blue Springs,MO,Jackson County,41.3
64014,Blue Springs,MO,Jackson County,59.5
64015,Blue Springs,MO,Jackson County,59.5
64427,Bolckow,MO,Andrew County,45.5
63827,Bragg City,MO,Pemiscot County,32.9
63826,Braggadocio,MO,Pemiscot County,32.9
64016,Buckner,MO,Jackson County,59.5
64017,Camden,MO,Ray County,59.5
64018,Camden Point,MO,Platte County,59.5
64429,Cameron,MO,Clinton County,49.0
63701,Cape Girardeau,MO,Cape Girardeau County,38.85
63703,Cape Girardeau,MO,Cape Girardeau County,36.75
63829,Cardwell,MO,Dunklin County,32.9
63830,Caruthersville,MO,Pemiscot County,38.85
63740,Chaffee,MO,Scott County,38.85
63834,Charleston,MO,Mississippi County,38.85
63005,Chesterfield,MO,St. Louis County,47.25
63006,Chesterfield,MO,St. Louis County,41.25
63017,Chesterfield,MO,St. Louis County,41.25
64430,Clarksdale,MO,Dekalb County,45.5
63837,Clarkton,MO,Dunklin County,32.9
64734,Cleveland,MO,Cass County,59.5
64432,Clyde,MO,Nodaway County,45.5
64433,Conception,MO,Nodaway County,45.5
64434,Conception Junction,MO,Nodaway County,45.5
63839,Cooter,MO,Pemiscot County,32.9
64436,Cosby,MO,Andrew County,45.5
63338,Cottleville,MO,St. Charles County,41.25
64437,Craig,MO,Holt County,45.5
64438,Darlington,MO,Gentry County,45.5
64440,De Kalb,MO,Buchanan County,49.0
64439,Dearborn,MO,Platte County,49.0
63840,Deering,MO,Pemiscot County,32.9
63341,Defiance,MO,St. Charles County,41.25
63841,Dexter,MO,Stoddard County,38.85
64443,Easton,MO,Buchanan County,45.5
64444,Edgerton,MO,Platte County,49.0
63846,Essex,MO,Stoddard County,36.75
63025,Eureka,MO,St. Louis County,41.25
64024,Excelsior Springs,MO,Clay County,59.5
64446,Fairfax,MO,Atchison County,45.5
64028,Farley,MO,Platte County,59.5
63640,Farmington,MO,St. Francois County,38.85
64448,Faucett,MO,Buchanan County,49.0
63026,Fenton,MO,St. Louis County,41.25
63099,Fenton,MO,St. Louis County,41.25
64449,Fillmore,MO,Andrew County,45.5
64451,Forest City,MO,Holt County,45.5
63645,Fredericktown,MO,Madison County,38.85
64746,Freeman,MO,Cass County,59.5
63747,Friedheim,MO,Cape Girardeau County,38.85
63748,Frohna,MO,Perry County,36.75
64640,Gallatin,MO,Daviess County,45.5
64747,Garden City,MO,Cass County,59.5
63847,Gibson,MO,Dunklin County,32.9
63849,Gobler,MO,Dunklin County,32.9
64454,Gower,MO,Clinton County,49.0
64455,Graham,MO,Nodaway County,45.5
64029,Grain Valley,MO,Jackson County,59.5
64030,Grandview,MO,Jackson County,59.5
64034,Greenwood,MO,Jackson County,59.5
63040,Grover,MO,St. Louis County,47.25
64457,Guilford,MO,Nodaway County,45.5
64644,Hamilton,MO,Caldwell County,45.5
64701,Harrisonville,MO,Cass County,59.5
63945,Harviell,MO,Butler County,36.75
